epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,398.999,0.37482,0.89279,1,0.27018,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,638.388,0.25921,0.91075,1,0.23033,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013
3,875.677,0.25987,0.88804,1,0.2769,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748
4,1112.72,0.27788,0.90062,1,0.25234,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1349.67,0.2701,0.89971,1,0.25105,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1589.59,0.26545,0.91171,1,0.22838,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1828.9,0.26461,0.90458,1,0.24386,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2067.61,0.26369,0.91367,1,0.22288,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2307.23,0.2626,0.917,1,0.21342,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2545.61,0.26168,0.91804,1,0.21024,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2784.52,0.2635,0.91921,1,0.20746,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3023.13,0.25997,0.9205,1,0.20974,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3263.65,0.26099,0.92283,1,0.20757,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3500.69,0.25899,0.92158,1,0.21045,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3736.6,0.26008,0.92246,1,0.20896,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3968.05,0.25655,0.92254,1,0.20887,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4197.43,0.25857,0.92292,1,0.20949,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4427.24,0.25727,0.92342,1,0.20991,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4656.77,0.25348,0.92275,1,0.21141,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4886.25,0.25451,0.92221,1,0.2116,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5115.85,0.25371,0.92146,1,0.21199,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,5345.85,0.25322,0.9205,1,0.2121,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,5575.77,0.25289,0.92025,1,0.21264,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5806.33,0.25207,0.91904,1,0.21329,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,6035.69,0.25263,0.91879,1,0.21372,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,6264.29,0.25095,0.91821,1,0.21343,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,6494.18,0.25103,0.91779,1,0.21352,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,6723.8,0.24909,0.91792,1,0.21379,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6953.86,0.24875,0.91717,1,0.21411,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,7183.27,0.24789,0.91642,1,0.2147,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,7412.22,0.24745,0.91558,1,0.2155,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,7640.91,0.2476,0.91529,1,0.21662,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,7871.14,0.24752,0.91479,1,0.21737,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8100.54,0.24673,0.91446,1,0.2185,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,8329.87,0.24379,0.91417,1,0.21914,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,8558.73,0.24346,0.91329,1,0.22014,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,8787.59,0.24582,0.91296,1,0.22081,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,9017.6,0.24255,0.91212,1,0.2213,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,9246.81,0.24249,0.91154,1,0.22226,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,9476.7,0.24353,0.91192,1,0.22222,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,9706.23,0.24089,0.91208,1,0.22212,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,9936.66,0.24105,0.91263,1,0.22242,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,10165.4,0.2393,0.91258,1,0.22222,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,10394.5,0.23937,0.91271,1,0.22214,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,10624.1,0.23897,0.913,1,0.22209,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,10853.3,0.23939,0.91263,1,0.22225,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,11083.3,0.23761,0.91279,1,0.22197,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,11311.7,0.2369,0.91296,1,0.22143,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,11540.4,0.23829,0.91317,1,0.22094,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,11768.5,0.23599,0.91308,1,0.22097,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,11997.6,0.23461,0.91317,1,0.22006,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,12226.4,0.23414,0.91338,1,0.21961,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,12456.8,0.23462,0.91346,1,0.2187,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,12687.4,0.23258,0.91367,1,0.21783,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,12918.2,0.23267,0.91425,1,0.21702,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,13148.1,0.23438,0.91454,1,0.21637,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,13379.4,0.23117,0.915,1,0.21581,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,13611,0.23188,0.91504,1,0.21543,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
