epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,363.848,0.38835,0.88313,1,0.28705,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,595.109,0.29438,0.88667,1,0.28299,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013,0.0198904,0.00663013
3,801.742,0.29676,0.85479,1,0.36605,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748,0.0296924,0.00989748
4,1006.96,0.30467,0.88337,1,0.28583,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1212.68,0.29373,0.89058,1,0.27045,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1418.92,0.28613,0.90075,1,0.25382,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1624.74,0.28284,0.90283,1,0.24686,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1830.71,0.28268,0.90613,1,0.23974,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2037.57,0.28182,0.90696,1,0.23546,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2243.77,0.28145,0.9055,1,0.23662,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2450.11,0.28065,0.90879,1,0.22967,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2655.66,0.28073,0.91137,1,0.22784,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2861.54,0.27963,0.91071,1,0.22962,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3067.04,0.27809,0.91146,1,0.22784,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3272.79,0.27811,0.9125,1,0.22599,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3479.9,0.27509,0.91142,1,0.22707,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3685.8,0.2753,0.91229,1,0.22656,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,3892.31,0.2749,0.91208,1,0.22581,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4098.8,0.27337,0.91183,1,0.22682,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4305.09,0.27338,0.91062,1,0.22706,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,4510.79,0.272,0.91075,1,0.22713,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,4716.43,0.2712,0.91058,1,0.22734,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,4922.33,0.27159,0.91058,1,0.22708,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5128.86,0.27116,0.91075,1,0.22725,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,5335.63,0.27175,0.91054,1,0.2275,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,5541.65,0.26872,0.91029,1,0.22675,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,5747.76,0.26851,0.91058,1,0.22592,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,5953.69,0.26681,0.91037,1,0.22583,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,6159.6,0.26706,0.90987,1,0.22587,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,6366.5,0.26621,0.90938,1,0.22593,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,6572.73,0.26621,0.9095,1,0.22558,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,6779.37,0.26555,0.909,1,0.22585,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
