fold,manifest_dir,train_target_n,train_normal_n,holdout_target_n,holdout_normal_n,suggested_train_command
0,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_00\manifests,53980,53984,6020,6016,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_00\manifests --work-root data/stage1_oof_workdir/fold_00 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_00
1,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_01\manifests,53988,54009,6012,5991,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_01\manifests --work-root data/stage1_oof_workdir/fold_01 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_01
2,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_02\manifests,53961,54000,6039,6000,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_02\manifests --work-root data/stage1_oof_workdir/fold_02 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_02
3,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_03\manifests,53993,54003,6007,5997,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_03\manifests --work-root data/stage1_oof_workdir/fold_03 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_03
4,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_04\manifests,54013,54000,5987,6000,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_04\manifests --work-root data/stage1_oof_workdir/fold_04 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_04
5,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_05\manifests,54024,54017,5976,5983,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_05\manifests --work-root data/stage1_oof_workdir/fold_05 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_05
6,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_06\manifests,54006,53997,5994,6003,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_06\manifests --work-root data/stage1_oof_workdir/fold_06 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_06
7,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_07\manifests,54075,53980,5925,6020,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_07\manifests --work-root data/stage1_oof_workdir/fold_07 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_07
8,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_08\manifests,53993,54006,6007,5994,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_08\manifests --work-root data/stage1_oof_workdir/fold_08 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_08
9,C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_09\manifests,53967,54004,6033,5996,uv run python scripts/train_stage1_cls_sweep.py --mode full --models l --epochs 200 --imgsz 224 --batch 128 --workers 4 --save-period 1 --keep-data --device 0 --dataset-root C:\Github\YOLO-CV\data\final_sewerml_dataset --manifest-dir C:\Github\YOLO-CV\artifacts\stage1_oof_folds_10fold_20260617\folds\fold_09\manifests --work-root data/stage1_oof_workdir/fold_09 --runs-root YOLOv11/runs/stage1_oof_10fold/fold_09
