epoch,epoch_gap_group,row_count,normal_count,defect_count,normal_q68,normal_q90,normal_mean,defect_q50,defect_q05,defect_mean,gap_q68_q050,tail_gap_q90_q05
1,bad_gap_bottom20pct,120000,60000,60000,0.1462525576,0.5848080516,0.1729724348,0.9774278998,0.2870265543,0.8745297784,0.8311753422,-0.2977814973
2,bad_gap_bottom20pct,120000,60000,60000,0.1049872562,0.5040872693,0.1450794362,0.9779984951,0.2627686560,0.8694457442,0.8730112389,-0.2413186133
3,bad_gap_bottom20pct,120000,60000,60000,0.1343424022,0.5344174504,0.1605590834,0.9689854980,0.1997286826,0.8414424698,0.8346430958,-0.3346887678
4,bad_gap_bottom20pct,120000,60000,60000,0.1060132384,0.4614635706,0.1410927562,0.9596425891,0.1847541332,0.8331304688,0.8536293507,-0.2767094374
5,bad_gap_bottom20pct,120000,60000,60000,0.1323995292,0.5333596468,0.1592465144,0.9771842360,0.2938259840,0.8719248009,0.8447847068,-0.2395336628
6,bad_gap_bottom20pct,120000,60000,60000,0.0989288017,0.5078306794,0.1441417130,0.9766592383,0.2346087247,0.8647983218,0.8777304366,-0.2732219547
7,bad_gap_bottom20pct,120000,60000,60000,0.1092169359,0.5472793579,0.1535147913,0.9834358096,0.3161642849,0.8876348618,0.8742188737,-0.2311150730
8,bad_gap_bottom20pct,120000,60000,60000,0.0845958441,0.4531193674,0.1314177405,0.9801135063,0.2743489444,0.8768030741,0.8955176622,-0.1787704230
9,bad_gap_bottom20pct,120000,60000,60000,0.0811599493,0.4649044871,0.1315795007,0.9842775464,0.2890176773,0.8843416473,0.9031175971,-0.1758868098
10,middle,120000,60000,60000,0.0737574771,0.4484455287,0.1273381611,0.9856098294,0.2939831018,0.8890674480,0.9118523523,-0.1544624269
11,middle,120000,60000,60000,0.0786118880,0.4799148738,0.1333442676,0.9887863398,0.3311893046,0.8974837106,0.9101744518,-0.1487255692
12,middle,120000,60000,60000,0.0673277453,0.4691815376,0.1273409953,0.9893347621,0.3226539195,0.8979648421,0.9220070168,-0.1465276181
13,middle,120000,60000,60000,0.0608674213,0.4514023066,0.1227619502,0.9910021424,0.3127896488,0.8994816102,0.9301347211,-0.1386126578
14,middle,120000,60000,60000,0.0578773282,0.4505542219,0.1215077037,0.9917542934,0.3086710274,0.9004971489,0.9338769652,-0.1418831945
15,middle,120000,60000,60000,0.0501812063,0.4377030134,0.1176987900,0.9927474856,0.3021417260,0.9021806752,0.9425662793,-0.1355612874
16,middle,120000,60000,60000,0.0470497347,0.4245342016,0.1151054440,0.9936125875,0.2979241312,0.9031444002,0.9465628528,-0.1266100704
