group_id,source,fold,total_n,positive_n,negative_n
filename_bucket_1000:1010,numeric_filename_bucket,0,89,27,62
filename_bucket_1000:1012,numeric_filename_bucket,0,119,7,112
filename_bucket_1000:1023,numeric_filename_bucket,0,145,82,63
filename_bucket_1000:1038,numeric_filename_bucket,0,95,17,78
filename_bucket_1000:1043,numeric_filename_bucket,0,90,31,59
filename_bucket_1000:1044,numeric_filename_bucket,0,103,75,28
filename_bucket_1000:1054,numeric_filename_bucket,0,97,16,81
filename_bucket_1000:1066,numeric_filename_bucket,0,101,65,36
filename_bucket_1000:1068,numeric_filename_bucket,0,109,43,66
filename_bucket_1000:1088,numeric_filename_bucket,0,108,67,41
filename_bucket_1000:1101,numeric_filename_bucket,0,154,77,77
filename_bucket_1000:1106,numeric_filename_bucket,0,102,70,32
filename_bucket_1000:1109,numeric_filename_bucket,0,108,88,20
filename_bucket_1000:1115,numeric_filename_bucket,0,76,30,46
filename_bucket_1000:1130,numeric_filename_bucket,0,125,41,84
filename_bucket_1000:1140,numeric_filename_bucket,0,107,22,85
filename_bucket_1000:1151,numeric_filename_bucket,0,121,34,87
filename_bucket_1000:1156,numeric_filename_bucket,0,89,11,78
filename_bucket_1000:1158,numeric_filename_bucket,0,81,50,31
filename_bucket_1000:1194,numeric_filename_bucket,0,146,123,23
filename_bucket_1000:1201,numeric_filename_bucket,0,153,109,44
filename_bucket_1000:1214,numeric_filename_bucket,0,95,13,82
filename_bucket_1000:1226,numeric_filename_bucket,0,131,38,93
filename_bucket_1000:1229,numeric_filename_bucket,0,99,36,63
filename_bucket_1000:1243,numeric_filename_bucket,0,129,59,70
filename_bucket_1000:1261,numeric_filename_bucket,0,121,19,102
filename_bucket_1000:1262,numeric_filename_bucket,0,125,79,46
filename_bucket_1000:1269,numeric_filename_bucket,0,71,0,71
filename_bucket_1000:1272,numeric_filename_bucket,0,82,32,50
filename_bucket_1000:1284,numeric_filename_bucket,0,123,74,49
filename_bucket_1000:1286,numeric_filename_bucket,0,142,45,97
filename_bucket_1000:1298,numeric_filename_bucket,0,99,4,95
filename_bucket_1000:150,numeric_filename_bucket,0,100,74,26
filename_bucket_1000:153,numeric_filename_bucket,0,82,66,16
filename_bucket_1000:155,numeric_filename_bucket,0,87,87,0
filename_bucket_1000:159,numeric_filename_bucket,0,94,89,5
filename_bucket_1000:179,numeric_filename_bucket,0,123,117,6
filename_bucket_1000:185,numeric_filename_bucket,0,104,71,33
filename_bucket_1000:203,numeric_filename_bucket,0,96,95,1
filename_bucket_1000:210,numeric_filename_bucket,0,125,26,99
filename_bucket_1000:221,numeric_filename_bucket,0,57,26,31
filename_bucket_1000:222,numeric_filename_bucket,0,62,8,54
filename_bucket_1000:224,numeric_filename_bucket,0,288,261,27
filename_bucket_1000:232,numeric_filename_bucket,0,102,11,91
filename_bucket_1000:248,numeric_filename_bucket,0,95,0,95
filename_bucket_1000:261,numeric_filename_bucket,0,85,9,76
filename_bucket_1000:272,numeric_filename_bucket,0,86,6,80
filename_bucket_1000:278,numeric_filename_bucket,0,118,86,32
filename_bucket_1000:285,numeric_filename_bucket,0,123,57,66
filename_bucket_1000:290,numeric_filename_bucket,0,81,21,60
filename_bucket_1000:292,numeric_filename_bucket,0,140,91,49
filename_bucket_1000:309,numeric_filename_bucket,0,99,84,15
filename_bucket_1000:324,numeric_filename_bucket,0,111,13,98
filename_bucket_1000:325,numeric_filename_bucket,0,95,10,85
filename_bucket_1000:330,numeric_filename_bucket,0,134,72,62
filename_bucket_1000:332,numeric_filename_bucket,0,128,61,67
filename_bucket_1000:333,numeric_filename_bucket,0,114,46,68
filename_bucket_1000:338,numeric_filename_bucket,0,85,56,29
filename_bucket_1000:344,numeric_filename_bucket,0,72,32,40
filename_bucket_1000:349,numeric_filename_bucket,0,62,20,42
filename_bucket_1000:354,numeric_filename_bucket,0,96,40,56
filename_bucket_1000:361,numeric_filename_bucket,0,95,23,72
filename_bucket_1000:365,numeric_filename_bucket,0,116,8,108
filename_bucket_1000:371,numeric_filename_bucket,0,90,15,75
filename_bucket_1000:376,numeric_filename_bucket,0,112,36,76
filename_bucket_1000:382,numeric_filename_bucket,0,109,97,12
filename_bucket_1000:388,numeric_filename_bucket,0,96,36,60
filename_bucket_1000:402,numeric_filename_bucket,0,62,49,13
filename_bucket_1000:407,numeric_filename_bucket,0,122,87,35
filename_bucket_1000:410,numeric_filename_bucket,0,98,5,93
filename_bucket_1000:426,numeric_filename_bucket,0,108,86,22
filename_bucket_1000:443,numeric_filename_bucket,0,94,45,49
filename_bucket_1000:465,numeric_filename_bucket,0,110,103,7
filename_bucket_1000:471,numeric_filename_bucket,0,83,44,39
filename_bucket_1000:472,numeric_filename_bucket,0,108,91,17
filename_bucket_1000:477,numeric_filename_bucket,0,103,11,92
filename_bucket_1000:498,numeric_filename_bucket,0,120,100,20
filename_bucket_1000:501,numeric_filename_bucket,0,102,89,13
filename_bucket_1000:523,numeric_filename_bucket,0,128,7,121
filename_bucket_1000:548,numeric_filename_bucket,0,92,40,52
filename_bucket_1000:575,numeric_filename_bucket,0,137,99,38
filename_bucket_1000:587,numeric_filename_bucket,0,106,18,88
filename_bucket_1000:602,numeric_filename_bucket,0,132,132,0
filename_bucket_1000:606,numeric_filename_bucket,0,61,14,47
filename_bucket_1000:616,numeric_filename_bucket,0,90,17,73
filename_bucket_1000:638,numeric_filename_bucket,0,90,76,14
filename_bucket_1000:660,numeric_filename_bucket,0,119,77,42
filename_bucket_1000:671,numeric_filename_bucket,0,130,101,29
filename_bucket_1000:682,numeric_filename_bucket,0,112,66,46
filename_bucket_1000:694,numeric_filename_bucket,0,134,90,44
filename_bucket_1000:717,numeric_filename_bucket,0,126,78,48
filename_bucket_1000:739,numeric_filename_bucket,0,90,49,41
filename_bucket_1000:746,numeric_filename_bucket,0,123,107,16
filename_bucket_1000:774,numeric_filename_bucket,0,180,142,38
filename_bucket_1000:780,numeric_filename_bucket,0,115,64,51
filename_bucket_1000:784,numeric_filename_bucket,0,123,63,60
filename_bucket_1000:790,numeric_filename_bucket,0,55,35,20
filename_bucket_1000:812,numeric_filename_bucket,0,73,7,66
filename_bucket_1000:816,numeric_filename_bucket,0,111,37,74
filename_bucket_1000:831,numeric_filename_bucket,0,227,174,53
filename_bucket_1000:840,numeric_filename_bucket,0,155,85,70
filename_bucket_1000:844,numeric_filename_bucket,0,94,8,86
filename_bucket_1000:853,numeric_filename_bucket,0,77,16,61
filename_bucket_1000:897,numeric_filename_bucket,0,108,48,60
filename_bucket_1000:899,numeric_filename_bucket,0,65,41,24
filename_bucket_1000:909,numeric_filename_bucket,0,84,18,66
filename_bucket_1000:916,numeric_filename_bucket,0,132,86,46
filename_bucket_1000:926,numeric_filename_bucket,0,104,30,74
filename_bucket_1000:941,numeric_filename_bucket,0,144,56,88
filename_bucket_1000:982,numeric_filename_bucket,0,101,79,22
filename_bucket_1000:991,numeric_filename_bucket,0,111,16,95
filename_bucket_1000:1003,numeric_filename_bucket,1,68,30,38
filename_bucket_1000:1007,numeric_filename_bucket,1,80,51,29
filename_bucket_1000:1013,numeric_filename_bucket,1,87,0,87
filename_bucket_1000:1018,numeric_filename_bucket,1,117,62,55
filename_bucket_1000:1024,numeric_filename_bucket,1,104,15,89
filename_bucket_1000:1025,numeric_filename_bucket,1,92,30,62
filename_bucket_1000:1035,numeric_filename_bucket,1,87,54,33
filename_bucket_1000:1036,numeric_filename_bucket,1,96,63,33
filename_bucket_1000:1039,numeric_filename_bucket,1,120,6,114
filename_bucket_1000:1041,numeric_filename_bucket,1,106,87,19
filename_bucket_1000:1042,numeric_filename_bucket,1,151,109,42
filename_bucket_1000:1052,numeric_filename_bucket,1,91,26,65
filename_bucket_1000:1055,numeric_filename_bucket,1,110,78,32
filename_bucket_1000:1060,numeric_filename_bucket,1,73,31,42
filename_bucket_1000:1077,numeric_filename_bucket,1,46,39,7
filename_bucket_1000:1084,numeric_filename_bucket,1,135,2,133
filename_bucket_1000:1089,numeric_filename_bucket,1,91,27,64
filename_bucket_1000:1095,numeric_filename_bucket,1,95,80,15
filename_bucket_1000:1098,numeric_filename_bucket,1,60,49,11
filename_bucket_1000:1108,numeric_filename_bucket,1,97,40,57
filename_bucket_1000:1119,numeric_filename_bucket,1,89,20,69
filename_bucket_1000:1131,numeric_filename_bucket,1,111,46,65
filename_bucket_1000:1154,numeric_filename_bucket,1,93,9,84
filename_bucket_1000:1167,numeric_filename_bucket,1,94,23,71
filename_bucket_1000:1173,numeric_filename_bucket,1,114,61,53
filename_bucket_1000:1174,numeric_filename_bucket,1,79,0,79
filename_bucket_1000:1177,numeric_filename_bucket,1,92,72,20
filename_bucket_1000:1181,numeric_filename_bucket,1,133,128,5
filename_bucket_1000:1188,numeric_filename_bucket,1,98,30,68
filename_bucket_1000:1193,numeric_filename_bucket,1,111,48,63
filename_bucket_1000:1210,numeric_filename_bucket,1,75,61,14
filename_bucket_1000:1216,numeric_filename_bucket,1,79,27,52
filename_bucket_1000:1220,numeric_filename_bucket,1,109,20,89
filename_bucket_1000:1225,numeric_filename_bucket,1,155,76,79
filename_bucket_1000:1230,numeric_filename_bucket,1,100,3,97
filename_bucket_1000:1235,numeric_filename_bucket,1,105,39,66
filename_bucket_1000:1246,numeric_filename_bucket,1,114,39,75
filename_bucket_1000:1250,numeric_filename_bucket,1,94,61,33
filename_bucket_1000:1255,numeric_filename_bucket,1,92,92,0
filename_bucket_1000:1266,numeric_filename_bucket,1,113,92,21
filename_bucket_1000:1276,numeric_filename_bucket,1,99,9,90
filename_bucket_1000:1289,numeric_filename_bucket,1,103,20,83
filename_bucket_1000:1297,numeric_filename_bucket,1,100,80,20
filename_bucket_1000:149,numeric_filename_bucket,1,93,90,3
filename_bucket_1000:151,numeric_filename_bucket,1,89,51,38
filename_bucket_1000:174,numeric_filename_bucket,1,116,17,99
filename_bucket_1000:186,numeric_filename_bucket,1,94,52,42
filename_bucket_1000:202,numeric_filename_bucket,1,100,98,2
filename_bucket_1000:207,numeric_filename_bucket,1,78,5,73
filename_bucket_1000:208,numeric_filename_bucket,1,103,13,90
filename_bucket_1000:225,numeric_filename_bucket,1,88,15,73
filename_bucket_1000:242,numeric_filename_bucket,1,77,6,71
filename_bucket_1000:247,numeric_filename_bucket,1,71,2,69
filename_bucket_1000:266,numeric_filename_bucket,1,100,1,99
filename_bucket_1000:275,numeric_filename_bucket,1,68,44,24
filename_bucket_1000:284,numeric_filename_bucket,1,100,25,75
filename_bucket_1000:296,numeric_filename_bucket,1,83,11,72
filename_bucket_1000:299,numeric_filename_bucket,1,112,77,35
filename_bucket_1000:311,numeric_filename_bucket,1,96,56,40
filename_bucket_1000:313,numeric_filename_bucket,1,101,34,67
filename_bucket_1000:316,numeric_filename_bucket,1,84,3,81
filename_bucket_1000:318,numeric_filename_bucket,1,94,5,89
filename_bucket_1000:320,numeric_filename_bucket,1,119,30,89
filename_bucket_1000:355,numeric_filename_bucket,1,88,16,72
filename_bucket_1000:377,numeric_filename_bucket,1,81,19,62
filename_bucket_1000:386,numeric_filename_bucket,1,87,50,37
filename_bucket_1000:387,numeric_filename_bucket,1,102,96,6
filename_bucket_1000:389,numeric_filename_bucket,1,74,46,28
filename_bucket_1000:393,numeric_filename_bucket,1,78,57,21
filename_bucket_1000:429,numeric_filename_bucket,1,74,50,24
filename_bucket_1000:435,numeric_filename_bucket,1,69,56,13
filename_bucket_1000:450,numeric_filename_bucket,1,71,51,20
filename_bucket_1000:467,numeric_filename_bucket,1,85,70,15
filename_bucket_1000:469,numeric_filename_bucket,1,81,72,9
filename_bucket_1000:478,numeric_filename_bucket,1,77,13,64
filename_bucket_1000:481,numeric_filename_bucket,1,63,51,12
filename_bucket_1000:487,numeric_filename_bucket,1,91,74,17
filename_bucket_1000:497,numeric_filename_bucket,1,91,19,72
filename_bucket_1000:502,numeric_filename_bucket,1,139,123,16
filename_bucket_1000:526,numeric_filename_bucket,1,130,92,38
filename_bucket_1000:530,numeric_filename_bucket,1,78,3,75
filename_bucket_1000:557,numeric_filename_bucket,1,177,130,47
filename_bucket_1000:560,numeric_filename_bucket,1,157,96,61
filename_bucket_1000:586,numeric_filename_bucket,1,105,7,98
filename_bucket_1000:595,numeric_filename_bucket,1,114,45,69
filename_bucket_1000:600,numeric_filename_bucket,1,99,98,1
filename_bucket_1000:601,numeric_filename_bucket,1,137,137,0
filename_bucket_1000:605,numeric_filename_bucket,1,89,49,40
filename_bucket_1000:611,numeric_filename_bucket,1,95,33,62
filename_bucket_1000:615,numeric_filename_bucket,1,76,26,50
filename_bucket_1000:642,numeric_filename_bucket,1,90,76,14
filename_bucket_1000:647,numeric_filename_bucket,1,82,36,46
filename_bucket_1000:659,numeric_filename_bucket,1,158,116,42
filename_bucket_1000:677,numeric_filename_bucket,1,127,75,52
filename_bucket_1000:687,numeric_filename_bucket,1,133,104,29
filename_bucket_1000:703,numeric_filename_bucket,1,156,136,20
filename_bucket_1000:710,numeric_filename_bucket,1,134,107,27
filename_bucket_1000:712,numeric_filename_bucket,1,110,58,52
filename_bucket_1000:718,numeric_filename_bucket,1,246,240,6
filename_bucket_1000:719,numeric_filename_bucket,1,114,82,32
filename_bucket_1000:734,numeric_filename_bucket,1,142,122,20
filename_bucket_1000:753,numeric_filename_bucket,1,87,67,20
filename_bucket_1000:772,numeric_filename_bucket,1,166,77,89
filename_bucket_1000:773,numeric_filename_bucket,1,174,97,77
filename_bucket_1000:783,numeric_filename_bucket,1,132,44,88
filename_bucket_1000:795,numeric_filename_bucket,1,88,37,51
filename_bucket_1000:846,numeric_filename_bucket,1,104,0,104
filename_bucket_1000:851,numeric_filename_bucket,1,83,6,77
filename_bucket_1000:857,numeric_filename_bucket,1,131,66,65
filename_bucket_1000:858,numeric_filename_bucket,1,129,44,85
filename_bucket_1000:887,numeric_filename_bucket,1,74,10,64
filename_bucket_1000:912,numeric_filename_bucket,1,141,113,28
filename_bucket_1000:918,numeric_filename_bucket,1,96,16,80
filename_bucket_1000:934,numeric_filename_bucket,1,64,12,52
filename_bucket_1000:950,numeric_filename_bucket,1,91,23,68
filename_bucket_1000:978,numeric_filename_bucket,1,108,41,67
filename_bucket_1000:980,numeric_filename_bucket,1,111,58,53
filename_bucket_1000:1020,numeric_filename_bucket,2,97,7,90
filename_bucket_1000:1032,numeric_filename_bucket,2,102,34,68
filename_bucket_1000:1061,numeric_filename_bucket,2,93,69,24
filename_bucket_1000:1063,numeric_filename_bucket,2,76,45,31
filename_bucket_1000:1079,numeric_filename_bucket,2,83,27,56
filename_bucket_1000:1082,numeric_filename_bucket,2,117,104,13
filename_bucket_1000:1091,numeric_filename_bucket,2,106,44,62
filename_bucket_1000:1103,numeric_filename_bucket,2,113,32,81
filename_bucket_1000:1118,numeric_filename_bucket,2,94,55,39
filename_bucket_1000:1121,numeric_filename_bucket,2,90,42,48
filename_bucket_1000:1125,numeric_filename_bucket,2,85,17,68
filename_bucket_1000:1138,numeric_filename_bucket,2,139,43,96
filename_bucket_1000:1153,numeric_filename_bucket,2,61,10,51
filename_bucket_1000:1168,numeric_filename_bucket,2,140,66,74
filename_bucket_1000:1176,numeric_filename_bucket,2,88,8,80
filename_bucket_1000:1178,numeric_filename_bucket,2,102,95,7
filename_bucket_1000:1185,numeric_filename_bucket,2,122,55,67
filename_bucket_1000:1190,numeric_filename_bucket,2,115,63,52
filename_bucket_1000:1207,numeric_filename_bucket,2,84,47,37
filename_bucket_1000:1212,numeric_filename_bucket,2,128,14,114
filename_bucket_1000:1215,numeric_filename_bucket,2,144,90,54
filename_bucket_1000:1221,numeric_filename_bucket,2,122,51,71
filename_bucket_1000:1228,numeric_filename_bucket,2,118,91,27
filename_bucket_1000:1242,numeric_filename_bucket,2,92,7,85
filename_bucket_1000:1247,numeric_filename_bucket,2,136,22,114
filename_bucket_1000:1256,numeric_filename_bucket,2,123,45,78
filename_bucket_1000:1282,numeric_filename_bucket,2,140,83,57
filename_bucket_1000:156,numeric_filename_bucket,2,99,97,2
filename_bucket_1000:162,numeric_filename_bucket,2,84,68,16
filename_bucket_1000:171,numeric_filename_bucket,2,88,61,27
filename_bucket_1000:178,numeric_filename_bucket,2,119,81,38
filename_bucket_1000:189,numeric_filename_bucket,2,99,17,82
filename_bucket_1000:200,numeric_filename_bucket,2,83,76,7
filename_bucket_1000:230,numeric_filename_bucket,2,79,46,33
filename_bucket_1000:238,numeric_filename_bucket,2,74,8,66
filename_bucket_1000:258,numeric_filename_bucket,2,144,84,60
filename_bucket_1000:305,numeric_filename_bucket,2,82,69,13
filename_bucket_1000:312,numeric_filename_bucket,2,96,63,33
filename_bucket_1000:331,numeric_filename_bucket,2,117,37,80
filename_bucket_1000:340,numeric_filename_bucket,2,81,48,33
filename_bucket_1000:342,numeric_filename_bucket,2,68,29,39
filename_bucket_1000:343,numeric_filename_bucket,2,69,27,42
filename_bucket_1000:353,numeric_filename_bucket,2,77,14,63
filename_bucket_1000:363,numeric_filename_bucket,2,65,4,61
filename_bucket_1000:366,numeric_filename_bucket,2,100,2,98
filename_bucket_1000:368,numeric_filename_bucket,2,79,6,73
filename_bucket_1000:379,numeric_filename_bucket,2,109,0,109
filename_bucket_1000:383,numeric_filename_bucket,2,113,95,18
filename_bucket_1000:391,numeric_filename_bucket,2,93,74,19
filename_bucket_1000:424,numeric_filename_bucket,2,75,53,22
filename_bucket_1000:425,numeric_filename_bucket,2,93,44,49
filename_bucket_1000:430,numeric_filename_bucket,2,75,61,14
filename_bucket_1000:438,numeric_filename_bucket,2,97,91,6
filename_bucket_1000:444,numeric_filename_bucket,2,113,20,93
filename_bucket_1000:459,numeric_filename_bucket,2,63,14,49
filename_bucket_1000:461,numeric_filename_bucket,2,56,8,48
filename_bucket_1000:482,numeric_filename_bucket,2,89,43,46
filename_bucket_1000:489,numeric_filename_bucket,2,89,53,36
filename_bucket_1000:511,numeric_filename_bucket,2,79,9,70
filename_bucket_1000:514,numeric_filename_bucket,2,91,3,88
filename_bucket_1000:524,numeric_filename_bucket,2,68,16,52
filename_bucket_1000:533,numeric_filename_bucket,2,106,15,91
filename_bucket_1000:535,numeric_filename_bucket,2,173,91,82
filename_bucket_1000:536,numeric_filename_bucket,2,105,12,93
filename_bucket_1000:551,numeric_filename_bucket,2,114,43,71
filename_bucket_1000:569,numeric_filename_bucket,2,127,123,4
filename_bucket_1000:570,numeric_filename_bucket,2,110,107,3
filename_bucket_1000:580,numeric_filename_bucket,2,116,58,58
filename_bucket_1000:581,numeric_filename_bucket,2,117,64,53
filename_bucket_1000:596,numeric_filename_bucket,2,90,26,64
filename_bucket_1000:604,numeric_filename_bucket,2,71,25,46
filename_bucket_1000:622,numeric_filename_bucket,2,101,82,19
filename_bucket_1000:633,numeric_filename_bucket,2,131,114,17
filename_bucket_1000:640,numeric_filename_bucket,2,107,73,34
filename_bucket_1000:641,numeric_filename_bucket,2,45,32,13
filename_bucket_1000:646,numeric_filename_bucket,2,87,77,10
filename_bucket_1000:651,numeric_filename_bucket,2,87,56,31
filename_bucket_1000:653,numeric_filename_bucket,2,106,94,12
filename_bucket_1000:654,numeric_filename_bucket,2,135,70,65
filename_bucket_1000:658,numeric_filename_bucket,2,183,148,35
filename_bucket_1000:662,numeric_filename_bucket,2,169,122,47
filename_bucket_1000:673,numeric_filename_bucket,2,106,95,11
filename_bucket_1000:699,numeric_filename_bucket,2,240,225,15
filename_bucket_1000:706,numeric_filename_bucket,2,137,98,39
filename_bucket_1000:723,numeric_filename_bucket,2,124,113,11
filename_bucket_1000:737,numeric_filename_bucket,2,158,113,45
filename_bucket_1000:738,numeric_filename_bucket,2,98,9,89
filename_bucket_1000:743,numeric_filename_bucket,2,86,68,18
filename_bucket_1000:750,numeric_filename_bucket,2,76,68,8
filename_bucket_1000:770,numeric_filename_bucket,2,99,61,38
filename_bucket_1000:778,numeric_filename_bucket,2,115,30,85
filename_bucket_1000:781,numeric_filename_bucket,2,121,30,91
filename_bucket_1000:782,numeric_filename_bucket,2,137,105,32
filename_bucket_1000:802,numeric_filename_bucket,2,78,28,50
filename_bucket_1000:811,numeric_filename_bucket,2,99,23,76
filename_bucket_1000:814,numeric_filename_bucket,2,79,31,48
filename_bucket_1000:818,numeric_filename_bucket,2,124,40,84
filename_bucket_1000:823,numeric_filename_bucket,2,106,1,105
filename_bucket_1000:825,numeric_filename_bucket,2,92,9,83
filename_bucket_1000:833,numeric_filename_bucket,2,146,97,49
filename_bucket_1000:835,numeric_filename_bucket,2,265,203,62
filename_bucket_1000:837,numeric_filename_bucket,2,131,85,46
filename_bucket_1000:852,numeric_filename_bucket,2,88,11,77
filename_bucket_1000:893,numeric_filename_bucket,2,75,37,38
filename_bucket_1000:907,numeric_filename_bucket,2,91,11,80
filename_bucket_1000:921,numeric_filename_bucket,2,70,0,70
filename_bucket_1000:922,numeric_filename_bucket,2,91,1,90
filename_bucket_1000:931,numeric_filename_bucket,2,131,34,97
filename_bucket_1000:955,numeric_filename_bucket,2,90,65,25
filename_bucket_1000:957,numeric_filename_bucket,2,117,49,68
filename_bucket_1000:959,numeric_filename_bucket,2,82,22,60
filename_bucket_1000:960,numeric_filename_bucket,2,101,63,38
filename_bucket_1000:971,numeric_filename_bucket,2,82,0,82
filename_bucket_1000:975,numeric_filename_bucket,2,94,24,70
filename_bucket_1000:984,numeric_filename_bucket,2,114,71,43
filename_bucket_1000:1015,numeric_filename_bucket,3,115,55,60
filename_bucket_1000:1022,numeric_filename_bucket,3,115,71,44
filename_bucket_1000:1037,numeric_filename_bucket,3,115,106,9
filename_bucket_1000:1046,numeric_filename_bucket,3,110,72,38
filename_bucket_1000:1058,numeric_filename_bucket,3,87,77,10
filename_bucket_1000:1059,numeric_filename_bucket,3,83,40,43
filename_bucket_1000:1072,numeric_filename_bucket,3,86,11,75
filename_bucket_1000:1080,numeric_filename_bucket,3,111,60,51
