run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_004,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1385197443,1344845072,discovery
RUN_005,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1385197443,1367143950,discovery
RUN_006,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1385197443,1383653485,discovery
RUN_034,TRIAD_012,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,T,1343723075,1223378721,discovery
RUN_035,TRIAD_012,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R1,1343723075,358501163,discovery
RUN_036,TRIAD_012,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R2,1343723075,1659700040,discovery
RUN_064,TRIAD_022,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,T,1829910790,1855776552,discovery
RUN_065,TRIAD_022,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R1,1829910790,1140665071,discovery
RUN_066,TRIAD_022,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R2,1829910790,681057044,discovery
RUN_094,TRIAD_032,A,A11,A11_EndpointTrend_B600,EndpointTrend,600,0.0,T,1385197443,723676492,discovery
RUN_095,TRIAD_032,A,A11,A11_EndpointTrend_B600,EndpointTrend,600,0.0,R1,1385197443,936867673,discovery
RUN_096,TRIAD_032,A,A11,A11_EndpointTrend_B600,EndpointTrend,600,0.0,R2,1385197443,1573257447,discovery
RUN_124,TRIAD_042,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,T,1343723075,1765600260,discovery
RUN_125,TRIAD_042,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,R1,1343723075,719055643,discovery
RUN_126,TRIAD_042,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,R2,1343723075,2003189019,discovery
RUN_154,TRIAD_052,A,A18,A18_GapCritical-Global-B6000_B6000,GapCritical-Global-B6000,6000,0.0,T,1829910790,1640521278,discovery
RUN_155,TRIAD_052,A,A18,A18_GapCritical-Global-B6000_B6000,GapCritical-Global-B6000,6000,0.0,R1,1829910790,1400331710,discovery
RUN_156,TRIAD_052,A,A18,A18_GapCritical-Global-B6000_B6000,GapCritical-Global-B6000,6000,0.0,R2,1829910790,831282207,discovery
RUN_184,TRIAD_062,B,B02,B02_Persistent-FN_B3000,Persistent-FN,3000,0.1,T,1385197443,434524595,discovery
RUN_185,TRIAD_062,B,B02,B02_Persistent-FN_B3000,Persistent-FN,3000,0.1,R1,1385197443,1071502693,discovery
RUN_186,TRIAD_062,B,B02,B02_Persistent-FN_B3000,Persistent-FN,3000,0.1,R2,1385197443,2092163834,discovery
RUN_214,TRIAD_072,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,T,1343723075,347492978,discovery
RUN_215,TRIAD_072,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,R1,1343723075,625327780,discovery
RUN_216,TRIAD_072,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,R2,1343723075,176344252,discovery
