rank,sample_id,y_true,oof_fold,oof_group_id,train_primary_class,dynamic_bucket,mean_p_defect,correct_rate,std_p_defect,raw_score,method,method_eligible_pool_id
1,Det/images/normal_train/00187453.png,0,03,filename_bucket_1000:187,Normal,learnable_hard,0.4998536413,0.365,0.2568906407,0.9997072826,Boundary-0.5-Clean,clean_normal
2,Det/images/normal_train/00230688.png,0,02,filename_bucket_1000:230,Normal,unstable_boundary,0.4998021978,0.44,0.1658454003,0.9996043956,Boundary-0.5-Clean,clean_normal
3,Det/images/normal_train/00285913.png,0,00,filename_bucket_1000:285,Normal,unstable_boundary,0.4997990423,0.49,0.1474015956,0.9995980846,Boundary-0.5-Clean,clean_normal
4,Det/images/normal_train/00392586.png,0,08,filename_bucket_1000:392,Normal,learnable_hard,0.5003591143,0.41,0.3196986462,0.9992817714,Boundary-0.5-Clean,clean_normal
5,Det/images/normal_train/00351236.png,0,03,filename_bucket_1000:351,Normal,learnable_hard,0.4996360881,0.525,0.2180637866,0.9992721762,Boundary-0.5-Clean,clean_normal
6,Det/images/normal_train/00548054.png,0,00,filename_bucket_1000:548,Normal,learnable_hard,0.4995881954,0.3,0.2832173693,0.9991763908,Boundary-0.5-Clean,clean_normal
7,Det/images/normal_train/01163790.png,0,08,filename_bucket_1000:1163,Normal,ordinary,0.499572372,0.51,0.2717209368,0.999144744,Boundary-0.5-Clean,clean_normal
8,Det/images/normal_train/00415105.png,0,04,filename_bucket_1000:415,Normal,learnable_hard,0.5005342256,0.365,0.2519667874,0.9989315487999999,Boundary-0.5-Clean,clean_normal
9,Det/images/normal_train/01014986.png,0,04,filename_bucket_1000:1014,Normal,unstable_boundary,0.4994364369,0.61,0.1853276565,0.9988728738,Boundary-0.5-Clean,clean_normal
10,Det/images/normal_train/00231248.png,0,08,filename_bucket_1000:231,Normal,learnable_hard,0.499400359,0.275,0.2448320714,0.998800718,Boundary-0.5-Clean,clean_normal
11,Det/images/normal_train/00809919.png,0,05,filename_bucket_1000:809,Normal,unstable_boundary,0.500599967,0.36,0.1759781779,0.998800066,Boundary-0.5-Clean,clean_normal
12,Det/images/normal_train/00914142.png,0,04,filename_bucket_1000:914,Normal,ordinary,0.500742549,0.505,0.2837262461,0.9985149019999999,Boundary-0.5-Clean,clean_normal
13,Det/images/normal_train/01124906.png,0,08,filename_bucket_1000:1124,Normal,learnable_hard,0.5007754131,0.405,0.202888888,0.9984491738000001,Boundary-0.5-Clean,clean_normal
14,Det/images/normal_train/01151736.png,0,00,filename_bucket_1000:1151,Normal,unstable_boundary,0.5008558938,0.43,0.181429256,0.9982882124000001,Boundary-0.5-Clean,clean_normal
15,Det/images/normal_train/00375406.png,0,04,filename_bucket_1000:375,Normal,ordinary,0.5008985118,0.58,0.2021588209,0.9982029764,Boundary-0.5-Clean,clean_normal
16,Det/images/normal_train/01261971.png,0,00,filename_bucket_1000:1261,Normal,learnable_hard,0.50101542,0.415,0.2881445066,0.99796916,Boundary-0.5-Clean,clean_normal
17,Det/images/normal_train/00620602.png,0,06,filename_bucket_1000:620,Normal,unstable_boundary,0.4989844873,0.49,0.110336565,0.9979689746,Boundary-0.5-Clean,clean_normal
18,Det/images/normal_train/00840471.png,0,00,filename_bucket_1000:840,Normal,persistent_hard,0.5010417072,0.43,0.1934686201,0.9979165856000001,Boundary-0.5-Clean,clean_normal
19,Det/images/normal_train/00988273.png,0,07,filename_bucket_1000:988,Normal,learnable_hard,0.4988712281,0.41,0.2857780944,0.9977424562,Boundary-0.5-Clean,clean_normal
20,Det/images/normal_train/00783120.png,0,01,filename_bucket_1000:783,Normal,ordinary,0.5011588823,0.555,0.3937845763,0.9976822353999999,Boundary-0.5-Clean,clean_normal
21,Det/images/normal_train/00967586.png,0,04,filename_bucket_1000:967,Normal,learnable_hard,0.4988258907,0.405,0.3211381905,0.9976517814,Boundary-0.5-Clean,clean_normal
