rank,sample_id,y_true,oof_fold,oof_group_id,train_primary_class,dynamic_bucket,mean_p_defect,correct_rate,std_p_defect,raw_score,method,method_eligible_pool_id
1,Det/images/normal_train/00385479.png,0,06,filename_bucket_1000:385,Normal,learnable_hard,0.2153530189,0.955,0.1726271188,0.9919591963000001,EndpointTrend,learnable_normal
2,Det/images/normal_train/00712967.png,0,01,filename_bucket_1000:712,Normal,learnable_hard,0.6817141599,0.26,0.337050719,0.9898510045,EndpointTrend,learnable_normal
3,Det/images/normal_train/01058187.png,0,03,filename_bucket_1000:1058,Normal,learnable_hard,0.4653572396,0.455,0.3055917567,0.9891711161,EndpointTrend,learnable_normal
4,Det/images/normal_train/00916488.png,0,00,filename_bucket_1000:916,Normal,learnable_hard,0.4941881212,0.465,0.380000949,0.9876322321000001,EndpointTrend,learnable_normal
5,Det/images/normal_train/00227265.png,0,04,filename_bucket_1000:227,Normal,learnable_hard,0.2849718292,0.64,0.272395256,0.9874450820999999,EndpointTrend,learnable_normal
6,Det/images/normal_train/00987614.png,0,05,filename_bucket_1000:987,Normal,learnable_hard,0.7661845435,0.16,0.2878554469,0.9872037578,EndpointTrend,learnable_normal
7,Det/images/normal_train/00808733.png,0,03,filename_bucket_1000:808,Normal,learnable_hard,0.7317385839,0.215,0.3288100458,0.9867831217,EndpointTrend,learnable_normal
8,Det/images/normal_train/00248553.png,0,00,filename_bucket_1000:248,Normal,learnable_hard,0.565820445,0.345,0.3526505286,0.9862719428000001,EndpointTrend,learnable_normal
9,Det/images/normal_train/00728049.png,0,03,filename_bucket_1000:728,Normal,learnable_hard,0.8138054611,0.1,0.2252582238,0.9831473291999999,EndpointTrend,learnable_normal
10,Det/images/normal_train/00696589.png,0,03,filename_bucket_1000:696,Normal,learnable_hard,0.0974060225,0.95,0.1872430254,0.9819320774,EndpointTrend,learnable_normal
11,Det/images/normal_train/00584717.png,0,05,filename_bucket_1000:584,Normal,learnable_hard,0.4881047186,0.465,0.2880273776,0.9814830259,EndpointTrend,learnable_normal
12,Det/images/normal_train/00679763.png,0,07,filename_bucket_1000:679,Normal,learnable_hard,0.1381750635,0.975,0.1640869384,0.9811309966,EndpointTrend,learnable_normal
13,Det/images/normal_train/01037989.png,0,03,filename_bucket_1000:1037,Normal,learnable_hard,0.4164824297,0.515,0.3025996612,0.9811007723999999,EndpointTrend,learnable_normal
14,Det/images/normal_train/01063434.png,0,02,filename_bucket_1000:1063,Normal,learnable_hard,0.8323747095,0.15,0.2526541632,0.9762530978,EndpointTrend,learnable_normal
15,Det/images/normal_train/00353011.png,0,02,filename_bucket_1000:353,Normal,learnable_hard,0.1849436234,0.935,0.1854092312,0.9751638858999999,EndpointTrend,learnable_normal
16,Det/images/normal_train/01151343.png,0,00,filename_bucket_1000:1151,Normal,learnable_hard,0.3002586373,0.875,0.2003976576,0.9722653569,EndpointTrend,learnable_normal
17,Det/images/normal_train/00228476.png,0,06,filename_bucket_1000:228,Normal,learnable_hard,0.1630391507,0.99,0.1673512934,0.9709263184,EndpointTrend,learnable_normal
18,Det/images/normal_train/00916476.png,0,00,filename_bucket_1000:916,Normal,learnable_hard,0.420817886,0.495,0.3706822688,0.9703783789,EndpointTrend,learnable_normal
19,Det/images/normal_train/01136962.png,0,07,filename_bucket_1000:1136,Normal,learnable_hard,0.3088337341,0.715,0.2340230785,0.9703582470000001,EndpointTrend,learnable_normal
20,Det/images/normal_train/00746445.png,0,00,filename_bucket_1000:746,Normal,learnable_hard,0.5572056929,0.385,0.3788440146,0.9702844335,EndpointTrend,learnable_normal
21,Det/images/normal_train/00249032.png,0,09,filename_bucket_1000:249,Normal,learnable_hard,0.2920111032,0.7,0.291364548,0.9701329832,EndpointTrend,learnable_normal
22,Det/images/normal_train/01251785.png,0,04,filename_bucket_1000:1251,Normal,learnable_hard,0.7261588955,0.22,0.3021891669,0.9696697853,EndpointTrend,learnable_normal
23,Det/images/normal_train/01262926.png,0,00,filename_bucket_1000:1262,Normal,learnable_hard,0.5926658719,0.29,0.2948031194,0.9695397159,EndpointTrend,learnable_normal
24,Det/images/normal_train/01278209.png,0,05,filename_bucket_1000:1278,Normal,learnable_hard,0.5201865841,0.435,0.4069800831,0.9683965768,EndpointTrend,learnable_normal
25,Det/images/normal_train/00707710.png,0,07,filename_bucket_1000:707,Normal,learnable_hard,0.3897504694,0.49,0.2879917859,0.9681842159999999,EndpointTrend,learnable_normal
26,Det/images/normal_train/01284358.png,0,00,filename_bucket_1000:1284,Normal,learnable_hard,0.6996666618,0.175,0.2683676294,0.9671994625,EndpointTrend,learnable_normal
27,Det/images/normal_train/00248276.png,0,00,filename_bucket_1000:248,Normal,learnable_hard,0.4504818956,0.505,0.3205744351,0.9649244645,EndpointTrend,learnable_normal
28,Det/images/normal_train/00617732.png,0,05,filename_bucket_1000:617,Normal,learnable_hard,0.1367889493,0.965,0.1549270137,0.9644935698,EndpointTrend,learnable_normal
29,Det/images/normal_train/01164736.png,0,08,filename_bucket_1000:1164,Normal,learnable_hard,0.2957475993,0.775,0.2018843559,0.9639666643,EndpointTrend,learnable_normal
30,Det/images/normal_train/00619250.png,0,04,filename_bucket_1000:619,Normal,learnable_hard,0.5268571068,0.385,0.3137601614,0.9630336393,EndpointTrend,learnable_normal
31,Det/images/normal_train/00886572.png,0,09,filename_bucket_1000:886,Normal,learnable_hard,0.8708451399,0.09,0.2458082492,0.9626153819000001,EndpointTrend,learnable_normal
32,Det/images/normal_train/00164703.png,0,06,filename_bucket_1000:164,Normal,learnable_hard,0.1670132244,0.995,0.1541788732,0.9618033599,EndpointTrend,learnable_normal
33,Det/images/normal_train/00493395.png,0,03,filename_bucket_1000:493,Normal,learnable_hard,0.7869414131,0.11,0.2434684373,0.961603913,EndpointTrend,learnable_normal
34,Det/images/normal_train/00509182.png,0,08,filename_bucket_1000:509,Normal,learnable_hard,0.2756966186,0.9,0.1921086908,0.9612045661,EndpointTrend,learnable_normal
35,Det/images/normal_train/00897444.png,0,00,filename_bucket_1000:897,Normal,learnable_hard,0.4247024653,0.5,0.222176688,0.9607107254,EndpointTrend,learnable_normal
36,Det/images/normal_train/00355422.png,0,01,filename_bucket_1000:355,Normal,learnable_hard,0.803351034,0.145,0.3013915869,0.9606681326000001,EndpointTrend,learnable_normal
37,Det/images/normal_train/00382051.png,0,00,filename_bucket_1000:382,Normal,learnable_hard,0.7539430711,0.2,0.344410282,0.9605393538,EndpointTrend,learnable_normal
38,Det/images/normal_train/00248638.png,0,00,filename_bucket_1000:248,Normal,learnable_hard,0.3849276365,0.6,0.2861214555,0.9598247098,EndpointTrend,learnable_normal
39,Det/images/normal_train/00920430.png,0,09,filename_bucket_1000:920,Normal,learnable_hard,0.6085432326,0.295,0.3522674768,0.9592097522999999,EndpointTrend,learnable_normal
40,Det/images/normal_train/00355474.png,0,01,filename_bucket_1000:355,Normal,learnable_hard,0.4734564191,0.335,0.3182119011,0.9591182038,EndpointTrend,learnable_normal
41,Det/images/normal_train/00219461.png,0,09,filename_bucket_1000:219,Normal,learnable_hard,0.6168148655,0.365,0.3071115781,0.9590724222,EndpointTrend,learnable_normal
42,Det/images/normal_train/00173895.png,0,04,filename_bucket_1000:173,Normal,learnable_hard,0.1117451937,0.985,0.1328273074,0.9587728966000001,EndpointTrend,learnable_normal
43,Det/images/normal_train/00396828.png,0,05,filename_bucket_1000:396,Normal,learnable_hard,0.5971590709,0.26,0.2810039165,0.9581537122,EndpointTrend,learnable_normal
44,Det/images/normal_train/00945248.png,0,08,filename_bucket_1000:945,Normal,learnable_hard,0.7661068852,0.08,0.2155333436,0.9576143045,EndpointTrend,learnable_normal
45,Det/images/normal_train/00483397.png,0,06,filename_bucket_1000:483,Normal,learnable_hard,0.4694098635,0.455,0.3338396866,0.9574320408,EndpointTrend,learnable_normal
46,Det/images/normal_train/00971024.png,0,02,filename_bucket_1000:971,Normal,learnable_hard,0.1562444533,0.975,0.1451559892,0.9572653081,EndpointTrend,learnable_normal
47,Det/images/normal_train/00286710.png,0,06,filename_bucket_1000:286,Normal,learnable_hard,0.1862274079,0.955,0.1894779549,0.9570216654,EndpointTrend,learnable_normal
48,Det/images/normal_train/00205093.png,0,08,filename_bucket_1000:205,Normal,learnable_hard,0.2730869793,0.795,0.2418001827,0.9560349668,EndpointTrend,learnable_normal
49,Det/images/normal_train/00190019.png,0,09,filename_bucket_1000:190,Normal,learnable_hard,0.6259476782,0.26,0.2371428095,0.9560136199,EndpointTrend,learnable_normal
50,Det/images/normal_train/00232553.png,0,00,filename_bucket_1000:232,Normal,learnable_hard,0.0383400403,0.99,0.0833394371,0.955996891,EndpointTrend,learnable_normal
