rank,sample_id,y_true,oof_fold,oof_group_id,train_primary_class,dynamic_bucket,mean_p_defect,correct_rate,std_p_defect,raw_score,method,method_eligible_pool_id
1,Det/images/train/00320295.png,1,01,filename_bucket_1000:320,FS,learnable_hard,0.3457053327,0.335,0.4237047012,1.0000000000009797,GapGuard-ClassStrat,clean_defect_positive_guard
2,Det/images/train/00333102.png,1,00,filename_bucket_1000:333,OB,learnable_hard,0.3169687177,0.295,0.4205572771,1.000000000000975,GapGuard-ClassStrat,clean_defect_positive_guard
3,Det/images/train/01117129.png,1,07,filename_bucket_1000:1117,DE,learnable_hard,0.3414256102,0.3,0.3901853023,1.000000000000946,GapGuard-ClassStrat,clean_defect_positive_guard
4,Det/images/train/00644277.png,1,09,filename_bucket_1000:644,RB,learnable_hard,0.4235116587,0.455,0.4078600271,1.0000000000009395,GapGuard-ClassStrat,clean_defect_positive_guard
5,Det/images/train/00763611.png,1,07,filename_bucket_1000:763,PF,learnable_hard,0.568032153,0.59,0.4190276048,1.0000000000009106,GapGuard-ClassStrat,clean_defect_positive_guard
6,Det/images/train/01104408.png,1,08,filename_bucket_1000:1104,AF,learnable_hard,0.4090529857,0.405,0.3568360824,1.0000000000008733,GapGuard-ClassStrat,clean_defect_positive_guard
7,Det/images/train/01001409.png,1,05,filename_bucket_1000:1001,RB,learnable_hard,0.5528228671,0.465,0.3714126591,0.9998957790524516,GapGuard-ClassStrat,clean_defect_positive_guard
8,Det/images/train/01003134.png,1,01,filename_bucket_1000:1003,OB,learnable_hard,0.2966328371,0.275,0.3929190649,0.9998953537054397,GapGuard-ClassStrat,clean_defect_positive_guard
9,Det/images/train/00453504.png,1,03,filename_bucket_1000:453,FS,learnable_hard,0.4395738057,0.38,0.4012824889,0.9998944591037984,GapGuard-ClassStrat,clean_defect_positive_guard
10,Det/images/train/00712914.png,1,01,filename_bucket_1000:712,PF,learnable_hard,0.5115589091,0.515,0.4322981139,0.9998942917556547,GapGuard-ClassStrat,clean_defect_positive_guard
11,Det/images/train/00853448.png,1,00,filename_bucket_1000:853,AF,learnable_hard,0.4260838773,0.37,0.3502607464,0.9998934696929764,GapGuard-ClassStrat,clean_defect_positive_guard
12,Det/images/train/00717561.png,1,00,filename_bucket_1000:717,DE,learnable_hard,0.564070178,0.555,0.4024513237,0.9998806255231961,GapGuard-ClassStrat,clean_defect_positive_guard
13,Det/images/train/00275950.png,1,01,filename_bucket_1000:275,RB,learnable_hard,0.3734487008,0.34,0.3836973525,0.9997915581040332,GapGuard-ClassStrat,clean_defect_positive_guard
14,Det/images/train/01161831.png,1,06,filename_bucket_1000:1161,OB,learnable_hard,0.2864858977,0.235,0.37963278,0.9997907074099129,GapGuard-ClassStrat,clean_defect_positive_guard
15,Det/images/train/00287443.png,1,08,filename_bucket_1000:287,FS,learnable_hard,0.2998182809,0.245,0.3512968349,0.9997889182066961,GapGuard-ClassStrat,clean_defect_positive_guard
16,Det/images/train/00764793.png,1,08,filename_bucket_1000:764,PF,learnable_hard,0.4811801841,0.425,0.4183645516,0.9997885835104057,GapGuard-ClassStrat,clean_defect_positive_guard
17,Det/images/train/01170958.png,1,09,filename_bucket_1000:1170,AF,learnable_hard,0.3479041998,0.315,0.327161597,0.9997869393850862,GapGuard-ClassStrat,clean_defect_positive_guard
18,Det/images/train/00699690.png,1,02,filename_bucket_1000:699,DE,learnable_hard,0.5284458219,0.485,0.4332331487,0.9997612510454532,GapGuard-ClassStrat,clean_defect_positive_guard
19,Det/images/train/00202277.png,1,01,filename_bucket_1000:202,RB,learnable_hard,0.501982374,0.485,0.3702438763,0.9996873371556164,GapGuard-ClassStrat,clean_defect_positive_guard
20,Det/images/train/00449957.png,1,03,filename_bucket_1000:449,OB,learnable_hard,0.3537067696,0.32,0.4169689873,0.9996860611143876,GapGuard-ClassStrat,clean_defect_positive_guard
21,Det/images/train/00639436.png,1,06,filename_bucket_1000:639,FS,learnable_hard,0.5650720606,0.54,0.3625013655,0.9996833773095829,GapGuard-ClassStrat,clean_defect_positive_guard
22,Det/images/train/00763530.png,1,07,filename_bucket_1000:763,PF,learnable_hard,0.5081905398,0.535,0.3668707526,0.9996828752651518,GapGuard-ClassStrat,clean_defect_positive_guard
23,Det/images/train/01215117.png,1,02,filename_bucket_1000:1215,AF,learnable_hard,0.4173928744,0.39,0.3424743281,0.9996804090772046,GapGuard-ClassStrat,clean_defect_positive_guard
24,Det/images/train/00381243.png,1,05,filename_bucket_1000:381,DE,learnable_hard,0.3035276986,0.28,0.3784740217,0.9996418765677146,GapGuard-ClassStrat,clean_defect_positive_guard
25,Det/images/train/00339974.png,1,09,filename_bucket_1000:339,RB,learnable_hard,0.4179592042,0.395,0.3412568387,0.9995831162072003,GapGuard-ClassStrat,clean_defect_positive_guard
26,Det/images/train/00333420.png,1,00,filename_bucket_1000:333,OB,learnable_hard,0.4304422299,0.34,0.3822522198,0.999581414818836,GapGuard-ClassStrat,clean_defect_positive_guard
27,Det/images/train/00454891.png,1,05,filename_bucket_1000:454,FS,learnable_hard,0.3921222945,0.39,0.3526337621,0.9995778364124588,GapGuard-ClassStrat,clean_defect_positive_guard
28,Det/images/train/00656549.png,1,08,filename_bucket_1000:656,PF,learnable_hard,0.40717893,0.32,0.3698870684,0.9995771670199018,GapGuard-ClassStrat,clean_defect_positive_guard
29,Det/images/train/01189390.png,1,05,filename_bucket_1000:1189,AF,learnable_hard,0.4715553604,0.365,0.3273729956,0.9995738787693266,GapGuard-ClassStrat,clean_defect_positive_guard
30,Det/images/train/00654602.png,1,02,filename_bucket_1000:654,DE,learnable_hard,0.2384264335,0.25,0.3743736182,0.9995225020899672,GapGuard-ClassStrat,clean_defect_positive_guard
31,Det/images/train/01003145.png,1,01,filename_bucket_1000:1003,RB,learnable_hard,0.3954671702,0.335,0.3419075192,0.9994788952587841,GapGuard-ClassStrat,clean_defect_positive_guard
32,Det/images/train/01107277.png,1,09,filename_bucket_1000:1107,OB,learnable_hard,0.4653847957,0.395,0.399103482,0.9994767685233003,GapGuard-ClassStrat,clean_defect_positive_guard
