artifact_id,expected_filename,observed_path,present_or_missing,size_bytes,sha256,expected_sha256,hash_match,archive_integrity,manifest_member_count,extraction_result,evidence_role,required_source,status,validation_error
EXPERT-001,Stage1_BudgetedReplay_Learnability_20260809_v1.0.0.tar.gz,,MISSING,,,929726EA04938CC5AF35194EFEA73DF8062D6C396C2652E4A8403B1976D5E64C,not_available,NOT_ARCHIVE,,NOT_ARCHIVE,budgeted_replay_source_tar,true,REPORT_ONLY_SOURCE_MISSING,
EXPERT-002,Stage1_BudgetedReplay_Learnability_20260809_v1.0.0.zip,,MISSING,,,14502ED82B25CB3A3D3FD056E5412633E9CC7415F6E7A0562478904CE61AE371,not_available,NOT_ARCHIVE,,NOT_ARCHIVE,budgeted_replay_source_zip,true,REPORT_ONLY_SOURCE_MISSING,
EXPERT-003,Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_DELIVERY_REPORT.md,C:\Users\28898\Downloads\Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_DELIVERY_REPORT.md,PRESENT,10853,75AD2BE097360C2EB5C9C73C819AA2B0628BBE9241A40E9D5B2493E5C463115E,75AD2BE097360C2EB5C9C73C819AA2B0628BBE9241A40E9D5B2493E5C463115E,true,NOT_ARCHIVE,,NOT_ARCHIVE,budgeted_replay_delivery_report,false,PRESENT_AND_VERIFIED,
EXPERT-004,Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_POSTPACKAGE_VALIDATION.json,C:\Users\28898\Downloads\Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_POSTPACKAGE_VALIDATION.json,PRESENT,920,E5C1B5B8E0AD021102C7FB77652F29221E61069B8CEAEFDD2EB81A28296929D7,E5C1B5B8E0AD021102C7FB77652F29221E61069B8CEAEFDD2EB81A28296929D7,true,NOT_ARCHIVE,,NOT_ARCHIVE,budgeted_replay_postpackage_validation,false,PRESENT_AND_VERIFIED,
EXPERT-005,Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_RELEASE_VALIDATION.json,C:\Users\28898\Downloads\Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_RELEASE_VALIDATION.json,PRESENT,9197,93CED45892AD55E7016B8BF687445FDF0CE73BCDC60F83621E90C69330F6205E,93CED45892AD55E7016B8BF687445FDF0CE73BCDC60F83621E90C69330F6205E,true,NOT_ARCHIVE,,NOT_ARCHIVE,budgeted_replay_release_validation,false,PRESENT_AND_VERIFIED,
EXPERT-006,Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_SHA256SUMS.txt,C:\Users\28898\Downloads\Stage1_BudgetedReplay_Learnability_20260809_v1.0.0_SHA256SUMS.txt,PRESENT,779,669A1B6B3457F5F4BDDE6DA9FEDD0238AFBD19B9CEACC17B6FFBFCE100EBEBC7,,not_available,NOT_ARCHIVE,,NOT_ARCHIVE,budgeted_replay_release_sha_ledger,false,PRESENT_UNVERIFIED_NO_EXPECTED_HASH,
EXPERT-007,Stage1_BudgetedReplay_v1.0.0_Code_Evidence.txt,Stage1_BudgetedReplay_v1.0.0_Review_Evidence.zip::Stage1_BudgetedReplay_v1.0.0_Code_Evidence.txt,PRESENT,47218,B8E695F76D1DF826B36E89E7131EFD095DA4D1926CA11BD9EC7E2EB2937EBD45,B8E695F76D1DF826B36E89E7131EFD095DA4D1926CA11BD9EC7E2EB2937EBD45,true,PASS,5,FULL_EXTRACT_PASS,independent_review_code_evidence,false,PRESENT_AS_ARCHIVE_MEMBER_VERIFIED,
EXPERT-008,Stage1_BudgetedReplay_v1.0.0_Findings.json,C:\Users\28898\Downloads\Stage1_BudgetedReplay_v1.0.0_Findings.json,PRESENT,19067,22356DBB5C973BF5AFD72A75D6A454CB749417D9677DC64E680030E7E6959840,22356DBB5C973BF5AFD72A75D6A454CB749417D9677DC64E680030E7E6959840,true,NOT_ARCHIVE,,NOT_ARCHIVE,independent_review_findings,false,PRESENT_AND_VERIFIED,
EXPERT-009,Stage1_BudgetedReplay_v1.0.0_GO_NO_GO_Checklist.md,C:\Users\28898\Downloads\Stage1_BudgetedReplay_v1.0.0_GO_NO_GO_Checklist.md,PRESENT,3931,51389F3B26C3A8E0B8946062265DD59CB4E93F737E8C7DB9B58267012218BD2E,51389F3B26C3A8E0B8946062265DD59CB4E93F737E8C7DB9B58267012218BD2E,true,NOT_ARCHIVE,,NOT_ARCHIVE,independent_review_checklist,false,PRESENT_AND_VERIFIED,
EXPERT-010,Stage1_BudgetedReplay_v1.0.0_Independent_Review.md,C:\Users\28898\Downloads\Stage1_BudgetedReplay_v1.0.0_Independent_Review.md,PRESENT,16131,54D2B6F30DEC6A144248356440B121238218F90A63794CE689E138BAEC9371A5,54D2B6F30DEC6A144248356440B121238218F90A63794CE689E138BAEC9371A5,true,NOT_ARCHIVE,,NOT_ARCHIVE,independent_no_go_review,false,PRESENT_AND_VERIFIED,
