requirement_id,overall_status,expert_source_status,expert_claim_refs,expert_source_refs,v3_status,v3_source_refs,reproduction_command,exit_code,result_artifact_sha,observed_result,remaining_risk,required_action
DYNAMIC:F01,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:25-31,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_worker.py:502-502;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_engineering_gate.py:46-69,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/provenance.py:91-117,rg -n _untracked_importable_source stage1_dynamic_replay_v3/provenance.py,0,FECA4E3D3B4CD853583249C9946B1893E7350EA1A00D9F342AFD5504484A3982,Current v3 compares live HEAD and source-tree hash and rejects importable untracked source before execution. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F01.json],The check is not yet wired through a released formal worker.,Make provenance verification a mandatory pre-GPU worker step.
DYNAMIC:F02,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:33-41,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_lease.py:264-278,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/assignment.py:1-68,rg -n expected_source_tree_sha256 stage1_dynamic_replay_v3/assignment.py,0,15EBA915C873375F2A90CAFB5474C89E0461D1E28E96289E0BF94B6CB98152AB,v3 removes cross-machine wall-clock leases and uses centrally issued immutable assignment generations. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F02.json],Operational supersession tooling is not yet complete.,Keep ownership generation-based and forbid reintroducing client-clock expiry.
DYNAMIC:F03,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:43-51,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_lease.py:458-485;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_lease.py:488-540,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/completion.py:67-85,rg -n canonical_completions stage1_dynamic_replay_v3/completion.py,0,1750F3F9D3A20224B42DF798A521557D0F386117CBC4FCB01A926AC9C7823272,v3 publishes a durable canonical completion and rejects conflicting re-completion within the active generation. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F03.json],A complete supersession ledger remains to be implemented.,Require explicit higher-generation supersession for any legal rerun.
DYNAMIC:F04,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:53-61,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:18-19;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:200-213,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/completion.py:88-102,rg -n validate_closeout stage1_dynamic_replay_v3/completion.py,0,2F16E50E7CBA4AA9D8CD36DD230154A605A9A21C01E625883081FE468EAC522B,v3 closeout requires exactly one canonical COMPLETE for every expected job; FAILED does not satisfy completion. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F04.json],Artifact and release identities still need final cycle-level aggregation.,Keep FAILED FENCED and SUPERSEDED as attempt history only.
DYNAMIC:F05,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:63-73,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_checkpoint_predictions.py:182-215,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/evaluation.py:182-235;stage1_dynamic_replay_v3/evaluation.py:263-287,rg -n validate_prediction_identity stage1_dynamic_replay_v3/evaluation.py,0,328400DEE649BFEAD558A8AD38E9DD8B6F57104B6D894D85AA4D25496B61F8B7,v3 binds exact sample-label identity plus checkpoint and both manifest hashes and rejects wrong IDs. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F05.json],Formal key-checkpoint inference has not yet been released end to end.,Re-hash endpoint manifests immediately before every key prediction.
DYNAMIC:F06,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:77-81,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_worker.py:979-1022,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/completion.py:77-83,rg -n idempotent_events stage1_dynamic_replay_v3/completion.py,0,28986A9A7DEF750121E198C31354536854EE02C0976F9A5EDF52E6CC9A1AD10F,Idempotent replay writes a separate event and never overwrites a differing canonical completion. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F06.json],The future worker must reference rather than rewrite the original result file.,Preserve canonical result immutability in the worker CLI.
DYNAMIC:F07,PARTIALLY_MITIGATED,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:83-91,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_all_epoch_validation.py:75-114;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_all_epoch_validation.py:192-205,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/epoch_transaction.py:20-33;stage1_dynamic_replay_v3/training_runtime.py:30-49,rg -n optimizer_step_before stage1_dynamic_replay_v3/epoch_transaction.py,0,4CAA7782D1D092A4DD99F6CDF7B7D1BB4017F1614B1B2F4603779E99B2A233A7,v3 records run attempt job batch sample and optimizer-step identity and enforces all 120000 base rows. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F07.json],Epoch receipt manifests do not yet bind the full release selection schedule and source-tree identity chain.,Extend receipt identity before formal release and validate all roles and lineage.
DYNAMIC:F08,NOT_APPLICABLE,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:93-99,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_dynamic_training.py:1181-1260;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_worker.py:947-954,NOT_APPLICABLE,stage1_dynamic_replay_v3/matrix.py:52-109,rg -n TRACE_MATCHED_CURRENT_LOSS stage1_dynamic_replay_v3/matrix.py,0,B48ED129C40751DD80A1F45622C7692B99566F044962FCC6821D64A828E61A5A,Current v3 has no shared-prefix branch clone so it cannot orphan inherited checkpoint predictions in this way. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F08.json],Future branch optimization could recreate the problem.,If branching is introduced publish a six-epoch logical-run artifact index with parent lineage and hashes.
DYNAMIC:F09,CONFIRMED_PRESENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:101-114,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:110-150;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_aiops_reporting.py:200-213,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/training_runtime.py:211-253;stage1_dynamic_replay_v3/completion.py:88-102,rg -n write_controller_decision stage1_dynamic_replay_v3/training_runtime.py,0,5C4FC6ECE0323A846AB0E95E2F13BA98E142BB208A5B622B2ED9C19243AB7E13,v3 has per-run artifacts and closeout but no append-only fleet event materializer daily report or dependency-aware scheduler. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F09.json],Ten-machine monitoring would require manual reconstruction and could misstate readiness.,Build canonical status events and evaluated stop scale and ready-block logic before fleet use.
DYNAMIC:F10,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:116-124,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_resource_validation.py:199-218;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_resource_validation.py:290-291,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/epoch_transaction.py:211-240;stage1_dynamic_replay_v3/resource_monitor.py:145-160,rg -n dataloader_wait_seconds stage1_dynamic_replay_v3/epoch_transaction.py,0,52916B96F9558E664A954384E9848C37C41D0116CFC60D55E873C468BD142ADC,v3 rejects nonpositive measured write wait and disk values and rejects empty or all-zero resource telemetry. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F10.json],A real GPU canary is still required to prove measurements are populated correctly.,Bind measured counters to canary acceptance and retain post-OOM samples.
DYNAMIC:F11,PARTIALLY_MITIGATED,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:126-134,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_preregistration.py:852-854;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_assignment.py:149-152,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/assignment.py:43-58,rg -n expected_source_tree_sha256 stage1_dynamic_replay_v3/assignment.py,0,846E641DA90C95FEDC09D881007A94A727378AC3EEA75EF669CE6D93B147B304,v3 assignment data is identity-bound and the loader itself does not freeze a controller path. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F11.json],No formal builder currently rejects absolute path fields in assignment payloads.,Specify repo-relative logical assets plus hashes and reject absolute scientific asset paths.
DYNAMIC:F12,CONFIRMED_PRESENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:138-153,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_run_queue.py:221-221;artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_run_queue.py:305-318,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/controller.py:154-160,rg -n _normal_observations stage1_dynamic_replay_v3/controller.py,0,82D5DB0F1792EDCF7B0FC555F70B702D17FF7D16C3468FC9C1DD9AA4F977EC4A,Current taper changes selected top-k membership as k_t changes so it estimates a dynamic policy effect rather than timing alone. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F12.json],Calling the comparison a pure replay-timing effect would be causally wrong.,Name the estimand dynamic state-conditioned top-k replay policy or add a fixed-core frequency-only arm.
DYNAMIC:F13,CONFIRMED_ABSENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:155-163,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_preregistration.py:315-343,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/controller.py:108-122,rg -n SUPPORTED_ENVELOPES stage1_dynamic_replay_v3/controller.py,0,7DD936F868220F4CD693E54D1CAED3F78B73913B6035437C6865888DD2944035,v3 computes a true per-epoch linear taper from epoch 141 through 160. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F13.json],The schedule still changes dynamic membership as recorded in F12.,Keep the per-epoch formula and publish each realized envelope value.
DYNAMIC:F14,NOT_APPLICABLE,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:165-173,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_preregistration.py:292-300,NOT_APPLICABLE,stage1_dynamic_replay_v3/matrix.py:10-11;stage1_dynamic_replay_v3/matrix.py:52-109,rg -n LINEAR_TAPER_E141_E160 stage1_dynamic_replay_v3/matrix.py,0,8C10666A6ECB5709F15877E233473EC127A5C551955A8CC6F0C48EAD774AEE97,Current v3 does not include the reviewed dose-matched taper arm. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F14.json],Any future equal-dose timing arm can still differ in optimizer steps because of batch rounding.,Match or report optimizer steps explicitly in every equal-dose comparison.
DYNAMIC:F15,CONFIRMED_PRESENT,CONFIRMED_PRESENT,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_review_v1/YOLO_review_20260808.md:175-179,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/src_dynamic_code_v1/REPOSITORY/stage1_gapvalue240/campaign_gradient_queue.py:236-295,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/matrix.py:30-31;stage1_dynamic_replay_v3/matrix.py:127-128,rg -n key_prediction_epochs stage1_dynamic_replay_v3/matrix.py,0,47FD0BD6CEBA36DC80714887BEAC963233F032EB2CAB52EB6D6DDE48ED922E64,Current v3 explicitly contains zero gradient arms and no released A mechanism. [STATIC_REPRODUCTION_ARTIFACT=artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/tripartite_reproduction_v2/results/DYNAMIC_F15.json],The central target-direction hypothesis cannot be tested.,Add a bounded last-layer local-alignment diagnostic with immutable target candidate and checkpoint manifests.
