paper_id,artifact_role,url,destination,source_authority
LEGACY-P002,DEEP_FULL_TEXT,https://proceedings.mlr.press/v130/zhou21a/zhou21a.pdf,sources/legacy_core/P002_DoCL_2021.pdf,PRIMARY_PUBLISHER
LEGACY-P009,DEEP_FULL_TEXT,https://proceedings.mlr.press/v162/mindermann22a/mindermann22a.pdf,sources/legacy_core/P009_RHO_LOSS_2022.pdf,PRIMARY_PUBLISHER
LEGACY-P008,DEEP_FULL_TEXT,https://proceedings.neurips.cc/paper/2021/file/ac56f8fe9eea3e4a365f29f0f1957c55-Paper.pdf,sources/legacy_core/P008_Data_Diet_2021.pdf,PRIMARY_PUBLISHER
LEGACY-P004,DEEP_FULL_TEXT,https://proceedings.mlr.press/v80/ren18a/ren18a.pdf,sources/legacy_core/P004_Learning_To_Reweight_2018.pdf,PRIMARY_PUBLISHER
LEGACY-P005,DEEP_FULL_TEXT,https://proceedings.mlr.press/v139/killamsetty21a/killamsetty21a.pdf,sources/legacy_core/P005_GradMatch_2021.pdf,PRIMARY_PUBLISHER
LEGACY-P006,DEEP_FULL_TEXT,https://cdn.aaai.org/ojs/16988/16988-13-20482-1-2-20210518.pdf,sources/legacy_core/P006_GLISTER_2021_AAAI.pdf,PRIMARY_PUBLISHER
LEGACY-P007,DEEP_FULL_TEXT,https://arxiv.org/pdf/1812.05159,sources/legacy_core/P007_Example_Forgetting_2019.pdf,OFFICIAL_REPOSITORY
LEGACY-P010,DEEP_FULL_TEXT,https://aclanthology.org/2020.emnlp-main.746.pdf,sources/legacy_core/P010_Dataset_Cartography_2020.pdf,PRIMARY_PUBLISHER
LEGACY-P011,DEEP_FULL_TEXT,https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf,sources/legacy_core/P011_TracIn_2020.pdf,PRIMARY_PUBLISHER
LEGACY-P012,DEEP_FULL_TEXT,https://proceedings.mlr.press/v70/koh17a/koh17a.pdf,sources/legacy_core/P012_Influence_Functions_2017.pdf,PRIMARY_PUBLISHER
