paper_id,queue_id,canonical_work_id,quota_rq,secondary_rqs,directness,relevance_class,relation,selection_phase,tie_break_key,original_source_path,source_sha256,source_bytes,merged_queue_ids
P0001,RGBAA87164263B59C0,CW6F5AA5FE3421B10A81AB,RQ8,RQ1;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,011C1D8003504F3BCE4A508D2CCA5DD483FFE67D9486A3562E9880888810FD9C,sources/broad_screen/batch_003/RGBAA87164263B59C0.pdf,DA7810DA7066E6CD42307C769241276186AFB6F89D646B9C3DC124B37A508C96,981865,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0002,RG371530A778B3A3C4,CWB253DED3AD5A39AAA7C5,RQ4,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0211A6B3602D79FA3FEFD6837756985429C2CBB061F4C1D35E898A13FB364DC7,sources/broad_screen/batch_006_corrections_v1/RG371530A778B3A3C4.html,20227EDDDA4D193A1068346CB0F0C6480D2787BA67708107ADFFA8D142240243,18605,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0003,RG5865257ECD4A5F54,CW21C35A24A1896465F6FE,RQ3,RQ1;RQ2;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0274C1B6C3CA063F339DE15966833F8E8340AD81931B9CEB7A257D9DFD9003E4,sources/broad_screen_primary/batch_013/RG5865257ECD4A5F54.pdf,DA8DD93A84E162423C516445559607FFDE6FC61F12A0CF921165BC9DD913781B,1490843,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0004,RG015FC4345AA73EEF,CW5FC42DA69418A757FE68,RQ6,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,02808E4C410F9BB992E0CEE1C0AC8FC219D89382E9F49713C2DAA39FE09CCBD0,sources/anchor_supplement_v2/RG015FC4345AA73EEF.pdf,50C03A67FDE277B2E4E0797224C2D9AEC77F0939CC9CFBB2EA24509317A4E9E6,917701,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0005,RG71345855BAAFF5D6,CW525F9371226F64AF91CD,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,02D16FB567EF90F1E0BF92237A1A0E228B950D90112A5CB236FE751E7594482D,sources/broad_screen/batch_006/RG71345855BAAFF5D6.pdf,2C994C2FCB39F5E32D1530A23839212F47D4679291DAA47F27D4C48BAE99B741,8380460,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0006,RG7533D64E4CAC51D9,CW89E64871C5FEBFFE422A,RQ4,RQ1;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,037E8B03A28AB195A8DF662D411C285180BC9A73AC6EB6EC21B8B649B88D03ED,sources/broad_screen/batch_001_corrections/RG7533D64E4CAC51D9.pdf,0A0A51B5BDD2D74498EBD2CD812FF0B85EBEB4CE570261C846B58CA363D7FCE9,859326,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0007,RGD59D4171D2347E76,CW60ECC2CC98FA2C9F6803,RQ6,RQ1;RQ3,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,03820400BC510948E397FA1C6BFCF565D4A5169D8B5B7433888514F72D61C553,sources/broad_screen/batch_007/RGD59D4171D2347E76.html,AD16885228778E3652D0E68F85BA692DD34D21638E4F47DE0CF445C05E9B00A7,43387,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0008,AX650ABBBE424F1071,CW650ABBBE424F1071637C,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,MANDATORY_ANCHOR,041FA41A81798AD3700F92E74CA1741A78A6BACD6C25977CCB5759D59431EE78,sources/anchor_supplement_v2/AX650ABBBE424F1071.pdf,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,3604674,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0009,RGD6236EB3C8AFB0E1,CW658F3FA001DE8E131A30,RQ3,RQ1;RQ4,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,REFUTED,RQ_MINIMUM,046466C5125212BE356B70C8D59BB6B1E7967A3D264475E6E451CCB6B5A82CD9,sources/broad_screen_primary/batch_017/RGD6236EB3C8AFB0E1.pdf,7FABCB36EB122F0097FBCEBB829E2DA83EFD1E4C8AD7BEBD995EABDFB50E6901,709283,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0010,RG5076E06200F9A860,CWD7855E922134B3516B5C,RQ8,RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,REFUTED,RQ_MINIMUM,055F2BC32C76EEBA7784999DF97711D95E7ABCC806EB628494BDE6920A54BA9C,sources/broad_screen_primary/batch_019/RG5076E06200F9A860.html,8587791A3CD99031B842CB6240D2E28878618E57C619CF165A52A25CE11F7A45,10078,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0011,RG8567435198F1DCE7,CW741C8AEC9F7891177D2D,RQ2,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,05D5BA90445C83B65B6F00AEC47F35F392E4A7452AE1A18175910A2B37278F64,sources/broad_screen/batch_006/RG8567435198F1DCE7.pdf,80BC7A8742C2714052D4EA6AD9D86F72BCC3EE93E4ACF8CBAFBF6D7E3F6A8687,764975,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0012,RG2343DBE30FFB1916,CWA93DE7A135ED2B908EDA,RQ6,RQ4;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,05DAF67C6D2C0BD9DADC7D1D5CB9AD5C473C39A8E60F809A13A9B904162C9CE0,sources/broad_screen/batch_004/RG2343DBE30FFB1916.pdf,32855AFE267ADAD91A96BC4A9973B372052F95E3CD28E9B5107246F890E19498,1589150,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0013,RGE2217F5FC7A86FF6,CWB568925BD9CDB2F84CDB,RQ6,RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,REFUTED,RQ_MINIMUM,066046965E6942FFC2FFCEDE2B6AE31B9F596ABE8D009F221B1A29FC991F65D8,sources/broad_screen/batch_022_corrections_v1/RGE2217F5FC7A86FF6.pdf,95DE576AD60328631D44AA26F72AA158064C1E50644368CBB607EC4D3CDB5632,1870738,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0014,RG1A1846705145CEAF,CWF880F11BCC9AEAC0B0AA,RQ3,RQ1;RQ4;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,066EDF8B376A7FB3365AA5AB0EAE32648F218272091739E5AC7336D7B78BB304,sources/broad_screen/batch_022_corrections_v1/RG1A1846705145CEAF.html,8BC024D65A85E5CBB9870DBE29A261AD032AD3B0BB180D85DF42BEFC808D3686,22055,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0015,RG6A99D9A8BA5D4438,CWEA1D5642AD3D6D71FF9A,RQ8,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,RQ_MINIMUM,07FCF010B90EF8B0AAF059E987D88CBC0B0D3ABD21E99EDCF23B75E0D0716E47,sources/broad_screen/batch_002/RG6A99D9A8BA5D4438.pdf,10901035EDC73E06CED8745C6C9F71B6FF2096F5B3824D063A0C0405281A5F69,1081214,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0016,RGC0C917E471439B6B,CW5113BD4038704C47006C,RQ8,RQ6,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,080D53E565E2031BF840CDFE17BA1B70BE0101AE6BD3C7A40CC948AF7272C9D6,sources/broad_screen/batch_008_corrections_v1/RGC0C917E471439B6B.html,D7A9375224414D013A7522E80E3B49E267BC582F8E0E170A48D05027CE678337,18354,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0017,RG119326BE6F67CAED,CW7424BF80F5443431B8D3,RQ3,RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,0B74839ACA5D2827126D78AAF996B7F355057AAE5CFFB03C90E24EF404CF8964,sources/broad_screen_primary/batch_018/RG119326BE6F67CAED.html,FDD1990ABFDD315053440597D6B0125F93921697FFA390757B36477709DAB502,23736,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0018,RGF638ECA68B9BA405,CWCEF4FDD908D5C4A34AFE,RQ5,RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,0BC09AAC897B12FE545DA20C745E81A3AA6EE118605D35A747F7C9D6B8260914,sources/broad_screen_primary/batch_018/RGF638ECA68B9BA405.pdf,DFD5FF6F45682C0F1D0DA747DB765BAB3FBDD872859E1135353D68CF0FCAB91F,752506,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0019,RG2CDE7C7830A93445,CW81993DB55DF0D5F3BB35,RQ7,RQ3,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,0C23CA1959E63594CD29DDA9F54305FF1C3C90D5C04CA320051AF37DE414528F,sources/broad_screen_primary/batch_012/RG2CDE7C7830A93445.pdf,EC79332C34B158AC06B8EF372EC1C5F0E460C2BF655AECCD7ABBD07BBDE7E78F,1325382,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0020,RG08D4BDEF38C63D1C,CWE6B9AC3B38B527C49DFD,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,0C33FA5D1AAF799D109BAC39190EA620251EED2EF54ABD3ACE068C7A4676A65D,sources/anchor_supplement_v2/RG08D4BDEF38C63D1C.pdf,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,797498,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0021,RGEE7171D25C56697E,CWF2FC081E239CD34733A4,RQ1,RQ5;RQ6,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,REFUTED,MANDATORY_ANCHOR,0C3E3D131EAB24A8D41D1BA32E43FE0AB7818EA7C9D7693C04103158749293B7,sources/anchor_supplement_v2/RGEE7171D25C56697E.pdf,02C12E6E1B066F8B604D4CE4FEBA34D84ABD71E3EE153B989B401731DB633B87,2909921,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0022,RG8605B5F5774B2C10,CW5EBF679E2094B38A468D,RQ8,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,RQ_MINIMUM,0D6A94020BB3255B3ECFF73E16AD4233AF110974C6FCA552DA6DA38A08B4B075,sources/broad_screen/batch_002_corrections_v2/RG8605B5F5774B2C10.pdf,895BD358FD2BEED01296B807AA507DD6DB60478D6601CE03F895BE4D62C2416C,2049016,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0023,RG7E9FCDBEFADDF1B3,CW008F9B65867560F6BD2D,RQ2,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0D94261371169C883AFC8BA710305EF660A0F9DBCD34EF022DD6922A47A0213B,sources/broad_screen_primary/batch_015/RG7E9FCDBEFADDF1B3.pdf,99675F6FC29B7ABC6393C9737C837BDA08CFDD7F034BEDDACFC6FF2434DCE919,17507341,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0024,RG6BE7C5D6C38BD916,CW5A10EC69FDB2A76651EF,RQ4,RQ3,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,0DF9F35D8065DCAC4B479FC411CC7DC56179D32B895494F2AD6828E534BEF1FF,sources/broad_screen/batch_006/RG6BE7C5D6C38BD916.html,A6D9016B233AA54F4810D7F2FCB227D5CE2495AA7667C5AD9599184B1CE6CD3B,25113,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0025,RGD369E86C734F9041,CW26897B89204F560002C0,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D3_INFERENCE_CONTROL,TARGET_METRIC,MIXED,RQ_MINIMUM,0E32C51F89D0692404E42A3A74DB3FF1A9BF19E507C7A0789F73FDD925BB55CF,sources/broad_screen/batch_006_corrections_v3/RGD369E86C734F9041.html,C144438AC1E0F800F97C5AC5CDC05F7D4004465B0C40B1FC9005D690923A7563,5027,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0026,RG19827FEECA4BADC0,CWF293FE2E8E5FA4BFDE2A,RQ2,RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0E422958652A956B7480FBAAC790281B90849EC945F578E5CA845BB6B8ECC2DF,sources/broad_screen/batch_001_corrections_v2/RG19827FEECA4BADC0.pdf,DDBC3E7CF4AFCD77BEAA5FFC299FCECFF7C8E77429AC21384109059F10E1621A,11428720,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0027,RGB05E82A46DB0D90C,CW83CA05A93AB7A93DBBEC,RQ5,RQ2;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,0E5C2F3B5F132DBF5A66F6E218FD7DFED2ED49DA1C544C51A8003BC94B45FFB7,sources/broad_screen/batch_019_corrections_v4/RGB05E82A46DB0D90C.html,EB3073987D61283F917207FAA3C2ABBAD25D5EB089293EAA612AB3346ED99129,12111,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0028,RGA9FF3E7C7E6293A8,CW8EF1487D7836A978EE51,RQ6,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0E6574C801E25DD3096C2B5F507269BF9A413CF2B54AD72FE9638B920BD3A6FB,sources/broad_screen/batch_005/RGA9FF3E7C7E6293A8.html,2D2935F8B1E1FB88A4F82ECAF61DCC1E7C5D2ABA17F19FAAC9297180B6EE1922,23867,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
P0029,RG05C147937B4387FC,CW8E4367C30B61743C5A9C,RQ8,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0F3EC42D6AD6A0BCACA00ED1461BE2DF96C66F8D694FE686C3D1623CA5F03DEB,sources/broad_screen/batch_018_corrections_v1/RG05C147937B4387FC.html,A219FA756220826C5DD8689411B9825B8B069AB83AC29A75260508E2B01EF25C,2563,NOT_APPLICABLE_WITH_REASON:no merged queue aliases
