paper_id,artifact_role,url,destination,attempts,error
P0148,METHOD_SOURCE,https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504,sources/screened_method_anchor_complete_v3/P0148.pdf,3,P0148: HTTP 403 from https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504
P0041,METHOD_SOURCE,https://www.mdpi.com/2079-9292/11/7/1056/pdf?version=1648453224,sources/screened_method_anchor_complete_v3/P0041.pdf,3,P0041: HTTP 403 from https://www.mdpi.com/2079-9292/11/7/1056/pdf?version=1648453224
P0213,METHOD_SOURCE,https://ieeexplore.ieee.org/ielx7/8782710/9006934/09519166.pdf,sources/screened_method_anchor_complete_v3/P0213.pdf,3,P0213: HTTP 404 from https://ieeexplore.ieee.org/ielx7/8782710/9006934/09519166.pdf
P0302,METHOD_SOURCE,https://www.tandfonline.com/doi/pdf/10.1080/19475705.2023.2285719?needAccess=true,sources/screened_method_anchor_complete_v3/P0302.pdf,3,P0302: HTTP 403 from https://www.tandfonline.com/doi/pdf/10.1080/19475705.2023.2285719?needAccess=true
P0035,METHOD_SOURCE,https://www.mdpi.com/2072-4292/10/1/124/pdf?version=1516264546,sources/screened_method_anchor_complete_v3/P0035.pdf,3,P0035: HTTP 403 from https://www.mdpi.com/2072-4292/10/1/124/pdf?version=1516264546
P0370,METHOD_SOURCE,https://www.mdpi.com/1999-4893/18/8/519/pdf?version=1755336576,sources/screened_method_anchor_complete_v3/P0370.pdf,3,P0370: HTTP 403 from https://www.mdpi.com/1999-4893/18/8/519/pdf?version=1755336576
P0014,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3617332,sources/screened_method_anchor_complete_v3/P0014.pdf,3,P0014: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3617332
P0089,METHOD_SOURCE,https://www.mdpi.com/1424-8220/21/5/1902/pdf?version=1615282803,sources/screened_method_anchor_complete_v3/P0089.pdf,3,P0089: HTTP 403 from https://www.mdpi.com/1424-8220/21/5/1902/pdf?version=1615282803
P0408,METHOD_SOURCE,https://downloads.hindawi.com/journals/complexity/2018/6531203.pdf,sources/screened_method_anchor_complete_v3/P0408.pdf,3,P0408: HTTP 403 from https://downloads.hindawi.com/journals/complexity/2018/6531203.pdf
P0338,METHOD_SOURCE,https://www.mdpi.com/1424-8220/21/22/7535/pdf?version=1637009148,sources/screened_method_anchor_complete_v3/P0338.pdf,3,P0338: HTTP 403 from https://www.mdpi.com/1424-8220/21/22/7535/pdf?version=1637009148
P0309,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3599691.3603404,sources/screened_method_anchor_complete_v3/P0309.pdf,3,P0309: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3599691.3603404
P0352,METHOD_SOURCE,https://www.mdpi.com/2076-3417/12/2/581/pdf?version=1641554193,sources/screened_method_anchor_complete_v3/P0352.pdf,3,P0352: HTTP 403 from https://www.mdpi.com/2076-3417/12/2/581/pdf?version=1641554193
P0257,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3711896.3737127,sources/screened_method_anchor_complete_v3/P0257.pdf,3,P0257: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3711896.3737127
P0475,METHOD_SOURCE,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btad589/51728113/btad589.pdf,sources/screened_method_anchor_complete_v3/P0475.pdf,3,P0475: HTTP 403 from https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btad589/51728113/btad589.pdf
P0254,METHOD_SOURCE,https://www.sciencedirect.com/science/article/pii/S0098135422000990/pdf,sources/screened_method_anchor_complete_v3/P0254.pdf,3,P0254: HTTP 403 from https://www.sciencedirect.com/science/article/pii/S0098135422000990/pdf
P0366,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3656171,sources/screened_method_anchor_complete_v3/P0366.pdf,3,P0366: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3656171
P0305,METHOD_SOURCE,https://www.mdpi.com/2071-1050/14/1/188/pdf?version=1641283266,sources/screened_method_anchor_complete_v3/P0305.pdf,3,P0305: HTTP 403 from https://www.mdpi.com/2071-1050/14/1/188/pdf?version=1641283266
P0144,METHOD_SOURCE,https://www.sciencedirect.com/science/article/pii/S1077314221000102/pdf,sources/screened_method_anchor_complete_v3/P0144.pdf,3,P0144: HTTP 403 from https://www.sciencedirect.com/science/article/pii/S1077314221000102/pdf
P0347,METHOD_SOURCE,https://www.mdpi.com/1996-1073/17/20/5183/pdf?version=1729186241,sources/screened_method_anchor_complete_v3/P0347.pdf,3,P0347: HTTP 403 from https://www.mdpi.com/1996-1073/17/20/5183/pdf?version=1729186241
P0440,METHOD_SOURCE,https://journals.kau.edu.sa/index.php/CITS/article/download/2035/887,sources/screened_method_anchor_complete_v3/P0440.pdf,3,"HTTPSConnectionPool(host='journals.kau.edu.sa', port=443): Max retries exceeded with url: /index.php/CITS/article/download/2035/887 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)')))"
P0210,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3652583.3657607,sources/screened_method_anchor_complete_v3/P0210.pdf,3,P0210: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3652583.3657607
P0002,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3709657,sources/screened_method_anchor_complete_v3/P0002.pdf,3,P0002: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3709657
P0222,METHOD_SOURCE,https://www.mdpi.com/2072-4292/10/4/574/pdf?version=1525347548,sources/screened_method_anchor_complete_v3/P0222.pdf,3,P0222: HTTP 403 from https://www.mdpi.com/2072-4292/10/4/574/pdf?version=1525347548
P0044,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3507524.3507525,sources/screened_method_anchor_complete_v3/P0044.pdf,3,P0044: HTTP 403 from https://dl.acm.org/doi/pdf/10.1145/3507524.3507525
P0317,METHOD_SOURCE,https://www.mdpi.com/2504-4990/8/1/17/pdf?version=1767885893,sources/screened_method_anchor_complete_v3/P0317.pdf,3,P0317: HTTP 403 from https://www.mdpi.com/2504-4990/8/1/17/pdf?version=1767885893
