paper_id,artifact_role,url,destination,source_authority
P0491,METHOD_SOURCE,https://www.mdpi.com/1424-8220/24/23/7792/pdf?version=1733401504,sources/screened_method_v2/P0491.pdf,PRIMARY_PUBLISHER
P0026,METHOD_SOURCE,https://www.mdpi.com/1424-8220/21/22/7535/pdf?version=1637009148,sources/screened_method_v2/P0026.pdf,PRIMARY_PUBLISHER
P0308,METHOD_SOURCE,https://www.mdpi.com/2504-4990/8/1/17/pdf?version=1767885893,sources/screened_method_v2/P0308.pdf,PRIMARY_PUBLISHER
P0458,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3709657,sources/screened_method_v2/P0458.pdf,PRIMARY_PUBLISHER
P0117,METHOD_SOURCE,https://www.mdpi.com/2072-4292/10/1/124/pdf?version=1516264546,sources/screened_method_v2/P0117.pdf,PRIMARY_PUBLISHER
P0457,METHOD_SOURCE,https://ieeexplore.ieee.org/ielx7/8782710/9006934/09519166.pdf,sources/screened_method_v2/P0457.pdf,PRIMARY_PUBLISHER
P0084,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3599691.3603404,sources/screened_method_v2/P0084.pdf,PRIMARY_PUBLISHER
P0097,METHOD_SOURCE,https://journals.kau.edu.sa/index.php/CITS/article/download/2035/887,sources/screened_method_v2/P0097.pdf,AUTHOR_HOSTED
P0322,METHOD_SOURCE,https://www.mdpi.com/1999-4893/18/8/519/pdf?version=1755336576,sources/screened_method_v2/P0322.pdf,PRIMARY_PUBLISHER
P0142,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3617332,sources/screened_method_v2/P0142.pdf,PRIMARY_PUBLISHER
P0070,METHOD_SOURCE,https://www.mdpi.com/2079-9292/11/7/1056/pdf?version=1648453224,sources/screened_method_v2/P0070.pdf,PRIMARY_PUBLISHER
P0278,METHOD_SOURCE,https://www.mdpi.com/1424-8220/21/5/1902/pdf?version=1615282803,sources/screened_method_v2/P0278.pdf,PRIMARY_PUBLISHER
P0387,METHOD_SOURCE,https://www.sciencedirect.com/science/article/pii/S0098135422000990/pdf,sources/screened_method_v2/P0387.pdf,PRIMARY_PUBLISHER
P0095,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3582571,sources/screened_method_v2/P0095.pdf,PRIMARY_PUBLISHER
P0038,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3652583.3657607,sources/screened_method_v2/P0038.pdf,PRIMARY_PUBLISHER
P0254,METHOD_SOURCE,https://downloads.hindawi.com/journals/complexity/2018/6531203.pdf,sources/screened_method_v2/P0254.pdf,AUTHOR_HOSTED
P0296,METHOD_SOURCE,https://www.mdpi.com/1996-1073/17/20/5183/pdf?version=1729186241,sources/screened_method_v2/P0296.pdf,PRIMARY_PUBLISHER
P0275,METHOD_SOURCE,https://www.tandfonline.com/doi/pdf/10.1080/19475705.2023.2285719?needAccess=true,sources/screened_method_v2/P0275.pdf,AUTHOR_HOSTED
P0094,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3711896.3737127,sources/screened_method_v2/P0094.pdf,PRIMARY_PUBLISHER
P0485,METHOD_SOURCE,https://www.mdpi.com/2072-4292/10/4/574/pdf?version=1525347548,sources/screened_method_v2/P0485.pdf,PRIMARY_PUBLISHER
P0306,METHOD_SOURCE,https://www.sciencedirect.com/science/article/pii/S1077314221000102/pdf,sources/screened_method_v2/P0306.pdf,PRIMARY_PUBLISHER
P0423,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3656171,sources/screened_method_v2/P0423.pdf,PRIMARY_PUBLISHER
P0481,METHOD_SOURCE,https://www.mdpi.com/2071-1050/14/1/188/pdf?version=1641283266,sources/screened_method_v2/P0481.pdf,PRIMARY_PUBLISHER
P0236,METHOD_SOURCE,https://www.mdpi.com/2076-3417/12/2/581/pdf?version=1641554193,sources/screened_method_v2/P0236.pdf,PRIMARY_PUBLISHER
P0130,METHOD_SOURCE,https://dl.acm.org/doi/pdf/10.1145/3507524.3507525,sources/screened_method_v2/P0130.pdf,PRIMARY_PUBLISHER
P0484,METHOD_SOURCE,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btad589/51728113/btad589.pdf,sources/screened_method_v2/P0484.pdf,PRIMARY_PUBLISHER
P0227,METHOD_SOURCE,https://www.biorxiv.org/content/biorxiv/early/2020/11/08/2020.11.07.372771.full.pdf,sources/screened_method_v2/P0227.pdf,AUTHOR_HOSTED
