reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_path,method_source_format,method_source_sha256,method_source_bytes,method_source_origin,method_source_authority,method_source_url,method_source_receipt_path,method_source_status,screened_credit
1,PRIMARY,P0082,RG6D524C9306BAED95,CW73982D015AB40FEE5E6B,Learning from Long-Tailed Noisy Data with Sample Selection and Balanced Loss,RQ2,RQ1;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,000BAE64A48F6E4C68A6B652FD06E19B5EC9BB505D404B556CAAB8F689B54713,sources/P0082.pdf,PDF,1A2E018AD69D41F13551F2AE1AFE2D478C85DA159B66A08355E51C8D959D1327,625319,sources/P0082.pdf,PDF,1A2E018AD69D41F13551F2AE1AFE2D478C85DA159B66A08355E51C8D959D1327,625319,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
2,PRIMARY,P0327,RGA82414DB45D68A66,CW346B7A0461C52C9AA731,Data-efficient flood depth prediction through domain-aware coreset selection and tabular foundation models,RQ8,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,00B052327E519B2073F2D503EBC4317F43CE1C7B790A242903AB5BEBE7BA46BD,sources/P0327.pdf,PDF,16A96B380FED4FE13F94A49F3ACC8A87B35815BD559704F2E548D147C7A8E05C,8243584,sources/P0327.pdf,PDF,16A96B380FED4FE13F94A49F3ACC8A87B35815BD559704F2E548D147C7A8E05C,8243584,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
3,PRIMARY,P0255,RG62D350DB6CD76259,CWEBFB36A95AA2316D6377,Adversarial Coreset Selection for Efficient Robust Training,RQ3,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,01202E12B8FC2A2C45665748052C1C10C0BEA6BC2FB72D14327B0F8EFD6F63D0,sources/P0255.pdf,PDF,966733F44997F9262AB853AD2DE7BA97B1858B1658119E9F2390104A9EB9B53F,1028154,sources/P0255.pdf,PDF,966733F44997F9262AB853AD2DE7BA97B1858B1658119E9F2390104A9EB9B53F,1028154,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
4,PRIMARY,P0463,RGFC6945DFC35CF021,CWA16C709B5AB5F3154204,It was the training data pruning too!,RQ4,RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,COUNTEREVIDENCE_MINIMUM,01A4457F23B0D3DF7EC87D26715DFA70E672FEDA6CF3A41CF52FD12A993BEA32,sources/P0463.pdf,PDF,4596B775218E6D02F2B3EEC87FFAFD3CBC681D54DB7453BC1626708D82745031,64044,sources/P0463.pdf,PDF,4596B775218E6D02F2B3EEC87FFAFD3CBC681D54DB7453BC1626708D82745031,64044,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
5,PRIMARY,P0059,RG7847D09333510B20,CWCD843F0ACA98CCBA1C81,Efficient Adversarial Contrastive Learning via Robustness-Aware Coreset Selection,RQ3,RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,035A29BC7E6D84533A6C68FE35A8FAD01045A28DD921B83B8FEC8233528D808D,sources/P0059.pdf,PDF,C1710EC056EE6009EA9B8B9E01876096A47399C820374700A7665BFCC7693D9B,954412,sources/P0059.pdf,PDF,C1710EC056EE6009EA9B8B9E01876096A47399C820374700A7665BFCC7693D9B,954412,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
6,PRIMARY,P0011,RG8567435198F1DCE7,CW741C8AEC9F7891177D2D,Improved Hard Example Mining Approach for Single Shot Object Detectors,RQ2,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,03825AB3E32865C21B9C4EB9330EF12B6F7AC6FF5F6A1E00795FFC584867CC88,sources/P0011.pdf,PDF,80BC7A8742C2714052D4EA6AD9D86F72BCC3EE93E4ACF8CBAFBF6D7E3F6A8687,764975,sources/P0011.pdf,PDF,80BC7A8742C2714052D4EA6AD9D86F72BCC3EE93E4ACF8CBAFBF6D7E3F6A8687,764975,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
7,PRIMARY,P0290,RGE8A424B22CF65CEC,CW50D21FC725813C0F96F7,SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise,RQ4,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,03969DA58A4BDF2C00FE2B5CBE5BB9C7BDFFD9275A9FDCFDDEF6741A2E72AD1F,sources/P0290.pdf,PDF,367B71881B372D42B8F4BF8C5CFC84EF1B1EF2DF14E239627C562F2875F3F551,8833197,sources/P0290.pdf,PDF,367B71881B372D42B8F4BF8C5CFC84EF1B1EF2DF14E239627C562F2875F3F551,8833197,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
8,PRIMARY,P0005,RG71345855BAAFF5D6,CW525F9371226F64AF91CD,Active Self-Paced Learning for Cost-Effective and Progressive Face Identification,RQ4,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,04C609194F9E9D30C4700D9F5EA241C5DEC1B5121A1C3ADE46EE6D04C05589B3,sources/P0005.pdf,PDF,2C994C2FCB39F5E32D1530A23839212F47D4679291DAA47F27D4C48BAE99B741,8380460,sources/P0005.pdf,PDF,2C994C2FCB39F5E32D1530A23839212F47D4679291DAA47F27D4C48BAE99B741,8380460,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
9,PRIMARY,P0118,RG2ED0CE82003600F6,CW9E6E57C0EF88EDC70CDC,Generic and Trend-aware Curriculum Learning for Relation Extraction,RQ2,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,05E968EFB8F0808D6D36547234A3FEC68E06E98E390C3A3070066E85BFC8748E,sources/P0118.pdf,PDF,9A7F32ACE6EA27C25B0A10BDE747F6D0E2A57B23FAF3A2C8A741E5C8680FCBF0,2022632,sources/P0118.pdf,PDF,9A7F32ACE6EA27C25B0A10BDE747F6D0E2A57B23FAF3A2C8A741E5C8680FCBF0,2022632,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
10,PRIMARY,P0379,RGBBDE7FEFA3C75C54,CW0E04DC551A9EB3F3105D,Learning to Weight Parameters for Training Data Attribution,RQ3,RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,065FDCE2422A35915A1DF2D2D1AD2171B649199C22C26E33D38B1FA3D56EF9A7,sources/P0379.pdf,PDF,F3BAE7A11099C99CB0394F3CA42CC9E7D77B6C7DABA50CEA26FEE6C232D84AF4,1924982,sources/P0379.pdf,PDF,F3BAE7A11099C99CB0394F3CA42CC9E7D77B6C7DABA50CEA26FEE6C232D84AF4,1924982,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
