seed_id,seed_scope,scope_index,training_seed,seed_derivation_sha256,eligible_cycles,prior_seed_collision,paired_within_scope
S001,DISCOVERY_TIMING_DOSE,1,775599971,D2AE77A488DDC817B5EA0464BEE1E12CC4550544C2FF2A5C9E44BC40EDBED3E0,CYCLE_1;CYCLE_2,False,True
S002,DISCOVERY_TIMING_DOSE,2,982248093,4452C14CB1E66803F053DCA32FF1DBADEC652FB17CDF03B547FE24E771FA3EB9,CYCLE_1;CYCLE_2,False,True
S003,DISCOVERY_TIMING_DOSE,3,759103031,023238EFA8DA8C58F0191C2AAC2D06CB8BC18D7CD047C8B298064C827D69E2E4,CYCLE_1;CYCLE_2,False,True
S004,DISCOVERY_TIMING_DOSE,4,1710119176,60A68D9C24A13DCF75C68DE56F2D04040D79FDBAC58C3B9C7745D969B53C8FF5,CYCLE_1;CYCLE_2,False,True
S005,DISCOVERY_TIMING_DOSE,5,1136302086,11DDA83C9FFF478DB0CDCE73C5DA646768D1C73188DE939801427FDBF0113340,CYCLE_1;CYCLE_2,False,True
S006,DISCOVERY_TIMING_DOSE,6,1239936874,78BE0F58D86BD0B71130D6816CDAF1A2B10583A6B02CFC13696AFC4D0EF17369,CYCLE_1;CYCLE_2,False,True
S007,DISCOVERY_TIMING_DOSE,7,1280388208,67BF21BA7CD2E8FADFB39629CA035B94E2E917629D16A8EE3E137C92ED166772,CYCLE_1;CYCLE_2,False,True
S008,DISCOVERY_TIMING_DOSE,8,247474179,2EC1DB60B13C7141DEB583EC062DAAD07D5444EC8B31B6CBB9FF6891127C60B1,CYCLE_1;CYCLE_2,False,True
S009,DISCOVERY_GUARD,1,2092795045,9F2D34C63E631B1763A45283C5CE417249FA1F6C7E8A6A2C07749C12C2800A44,CYCLE_3,False,True
S010,DISCOVERY_GUARD,2,683913534,11311BEC06617966AF8825A2AFE8B41E7546ABFABA0DDB48E85D72862C682F82,CYCLE_3,False,True
S011,DISCOVERY_GUARD,3,1438579979,93C23513AE3A92E24E0549295D2C2DFD898BD90ACB3788F69142EBCA9514CCEF,CYCLE_3,False,True
S012,DISCOVERY_GUARD,4,1652954292,ECD1D4E908E26ADF240B2BABE7D2F48BCB2B4B31406DE422C23BC8630D979E52,CYCLE_3,False,True
S013,DISCOVERY_GUARD,5,1455009725,25198FAA8C8690685AB9C5452AEC2D7FAC26AEC7B85E9A7FB0DCFB61E934519E,CYCLE_3,False,True
S014,DISCOVERY_GUARD,6,1628866060,76259A55F4CB515F5FB61386045321DA092B5D729F1B8F60547932EC82B91B31,CYCLE_3,False,True
S015,DISCOVERY_GUARD,7,2114252210,CD08DB5AE3F336FADE26B4D2D59A53A1E427203FCD50FF69CDD48CB5A2A0A7E2,CYCLE_3,False,True
S016,DISCOVERY_GUARD,8,808380771,AEE27357D26A02B1E617D8E3E884C73B4AECF0D1935166E8FF41453E74F11874,CYCLE_3,False,True
S017,UNSEEN_CONFIRMATION,1,1194832389,C0CFFE724597B51E4E70FA6C7962545B8D8F4453F6C63D233EFDD5B3A4016B06,CYCLE_4,False,True
S018,UNSEEN_CONFIRMATION,2,229020074,8E448D85F11D769C7FFEC73C997D3FAAAB514EA974B78E767C4EC2E3404366AF,CYCLE_4,False,True
S019,UNSEEN_CONFIRMATION,3,1768572726,2FDC41BC89B1C3BD0F594721C4E80DAB226D6D64C0CF334038478C5782B627D4,CYCLE_4,False,True
S020,UNSEEN_CONFIRMATION,4,1197081573,894306DB34D3F62D938721286E7262D2B56E52821F7DD5C35C3C7DF414CFFE3B,CYCLE_4,False,True
S021,UNSEEN_CONFIRMATION,5,657452570,03726E91204B10F8B8134DDB8AAE1729F94BF94167212087BDD669CB1F5621EF,CYCLE_4,False,True
S022,UNSEEN_CONFIRMATION,6,306190051,09FAD74EFE4A68455E9A9A4D19F7E0D74005CA77B67412C52CBB7832B5377793,CYCLE_4,False,True
S023,UNSEEN_CONFIRMATION,7,710223846,2EC06436CCD45F78048DC95D7A6966D618C8C75B8461ABACC078F78B63B79AA5,CYCLE_4,False,True
S024,UNSEEN_CONFIRMATION,8,1296693113,1E817EAE9046FA1CD33C038379DCE4325DA8AEF16BA90DC968EE0349A58C0D77,CYCLE_4,False,True
S025,UNSEEN_CONFIRMATION,9,1112440905,D81B1CB5921846DBFDDF84DDCDEDA6CAA7B3BDD2F958BEEF0B843AA532FDD945,CYCLE_4,False,True
S026,UNSEEN_CONFIRMATION,10,1464755301,84578C2E4E9F4C070564AB041A12731276D0D6FA623157F5B9565844A22EB63C,CYCLE_4,False,True
S027,UNSEEN_CONFIRMATION,11,367902785,14BF44716C6F375ED395C97D95BDC58D8A7B7B1AF701823952D38D1FE5436CD5,CYCLE_4,False,True
S028,UNSEEN_CONFIRMATION,12,1661228750,1F38EA47A492823F79DF9C8759BF5C46F60A05A30EA7D205EE8BBD6F66E1C3F7,CYCLE_4,False,True
S029,UNSEEN_CONFIRMATION,13,678316277,44BCD9C59EF495697B4A22C274B00E07533787AC512E7CBCF92D550CA943EDA6,CYCLE_4,False,True
S030,UNSEEN_CONFIRMATION,14,605222362,FAA534892EC88CC41A17134A0D82228A819F0180A2AB0374FB8F9F8663D2F1BC,CYCLE_4,False,True
