oof_fold,human_fold,epoch,checkpoint_id,checkpoint_path,exists,source
09,10,1,fold_09_epoch_001,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch0.pt,1,discovered
09,10,2,fold_09_epoch_002,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch1.pt,1,discovered
09,10,3,fold_09_epoch_003,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch2.pt,1,discovered
09,10,4,fold_09_epoch_004,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch3.pt,1,discovered
09,10,5,fold_09_epoch_005,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch4.pt,1,discovered
09,10,6,fold_09_epoch_006,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch5.pt,1,discovered
09,10,7,fold_09_epoch_007,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch6.pt,1,discovered
09,10,8,fold_09_epoch_008,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch7.pt,1,discovered
09,10,9,fold_09_epoch_009,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch8.pt,1,discovered
09,10,10,fold_09_epoch_010,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch9.pt,1,discovered
