condition_slot,control,omitted_seed,n,mean_delta_FN,std_delta_FN,worst_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_delta_TN,std_delta_TN,worst_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate
A02,R1,53303004,7,5.142857142857143,5.398412465054624,11.0,9.10773797058739,False,False,-607.4285714285714,929.0292168248992,-1940.0,-1289.756969644623,False,0.1428571428571428,0.2857142857142857
A02,R1,216172108,7,5.142857142857143,5.398412465054624,11.0,9.10773797058739,False,False,-880.2857142857143,1046.6945931973526,-2064.0,-1649.033814198658,False,0.1428571428571428,0.2857142857142857
A02,R1,440790218,7,5.714285714285714,5.82277956862201,11.0,9.990844281304213,False,False,-841.4285714285714,1071.133645122907,-2064.0,-1628.126009050477,False,0.1428571428571428,0.2857142857142857
A02,R1,1024521099,7,5.571428571428571,5.769377287516763,11.0,9.808765666971546,False,False,-625.1428571428571,959.3599304695168,-2064.0,-1329.7477423445516,False,0.1428571428571428,0.2857142857142857
A02,R1,1343723075,7,5.714285714285714,5.82277956862201,11.0,9.990844281304213,False,False,-645.1428571428571,988.937886248243,-2064.0,-1371.4713639739962,False,0.1428571428571428,0.2857142857142857
A02,R1,1385197443,7,7.571428571428571,2.699206232527312,11.0,9.553868985293697,False,False,-953.8571428571428,959.3599304695168,-2064.0,-1658.4620280588374,False,0.0,0.1428571428571428
A02,R1,1625332720,7,6.142857142857143,5.785861256216785,11.0,10.392300940488314,False,False,-943.5714285714286,975.1618424895526,-2064.0,-1659.7820772110388,False,0.1428571428571428,0.1428571428571428
A02,R1,1829910790,7,6.0,5.830951894845301,11.0,10.28256075743474,False,False,-819.1428571428571,1079.0246256954208,-2064.0,-1611.6358499926152,False,0.1428571428571428,0.2857142857142857
A02,R2,53303004,7,6.285714285714286,9.877825093178586,19.0,13.540513652220309,False,False,-730.2857142857143,1471.3448173112145,-2620.0,-1810.919492252969,False,0.2857142857142857,0.4285714285714285
A02,R2,216172108,7,3.0,8.698658900466592,15.0,9.388757088251884,False,False,-360.7142857142857,1408.768222512811,-2620.0,-1395.3884889756596,False,0.4285714285714285,0.5714285714285714
A02,R2,440790218,7,4.428571428571429,10.485818086939185,19.0,12.129913140620758,False,False,-508.2857142857143,1536.9975834166337,-2620.0,-1637.1383705442922,False,0.4285714285714285,0.5714285714285714
A02,R2,1024521099,7,4.142857142857143,10.302565561201597,19.0,11.709608467337272,False,False,-410.7142857142857,1469.0624804372928,-2620.0,-1489.671794264853,False,0.4285714285714285,0.5714285714285714
A02,R2,1343723075,7,3.571428571428572,9.692903638868025,19.0,10.690411800583458,False,False,-279.0,1265.1474222397958,-2048.0,-1208.1914597415173,False,0.4285714285714285,0.5714285714285714
A02,R2,1385197443,7,6.857142857142857,8.989411761039975,19.0,13.459444288283972,False,False,-782.8571428571429,1408.3186699715643,-2620.0,-1817.2011708561809,False,0.2857142857142857,0.4285714285714285
A02,R2,1625332720,7,5.571428571428571,10.485818086939185,19.0,13.2727702834779,False,False,-751.2857142857143,1448.63541701443,-2620.0,-1815.2405025631613,False,0.4285714285714285,0.4285714285714285
A02,R2,1829910790,7,6.142857142857143,10.04039460427347,19.0,13.517056192489653,False,False,-749.8571428571429,1450.2815161859012,-2620.0,-1815.020913791576,False,0.2857142857142857,0.4285714285714285
