reference_condition,comparator_condition,training_seed,reference_run_slot,comparator_run_slot,reference_machine_id,comparator_machine_id,machine_pair,any_resumed,direct_delta_TN,direct_delta_FN,direct_delta_gap_q68_q050,direct_delta_tail_gap_q90_q05,direct_delta_normal_q68,direct_delta_normal_q90,direct_delta_defect_q50,direct_delta_defect_q05
A01,A05,1829910790,RUN_001,RUN_037,machine_01,machine_03,cross_machine,False,-1296.0,7.0,0.000233512064017,0.0056853484464599,-0.0011557525313337,-0.0016367715724485,-0.0009222404673168,0.0040485768740113
A01,A05,1385197443,RUN_004,RUN_040,machine_02,machine_04,cross_machine,False,1313.0,-8.0,-0.0001437561245222,-0.0074532844488577,0.000454610479603,-0.0052333100676661,0.0003108543550808,-0.0126865945165238
A01,A05,1343723075,RUN_007,RUN_043,machine_03,machine_05,cross_machine,False,139.0,1.0,-0.0008411012953233,0.0029592686348352,0.0008458098271381,-0.004626201917001,4.7085318146677935e-06,-0.0016669332821658
A01,A07,1829910790,RUN_001,RUN_055,machine_01,machine_09,cross_machine,False,927.0,-1.0,0.0005383676742644,0.0071491728919166,-0.0017272505863623,0.0030266206162467,-0.0011888829120979,0.0101757935081635
A01,A07,1385197443,RUN_004,RUN_058,machine_02,machine_10,cross_machine,False,3414.0,-21.0,0.0003317227899618,-0.0061541690444378,0.0003008400358783,-0.0134477353025696,0.0006325628258401,-0.0196019043470075
A01,A07,1343723075,RUN_007,RUN_061,machine_03,machine_01,cross_machine,False,-780.0,-4.0,-0.0007504340539077,-0.0020409531047306,0.0007947505718379,-0.0061351573269065,4.431651793024294e-05,-0.0081761104316371
A01,A09,1829910790,RUN_001,RUN_073,machine_01,machine_05,cross_machine,False,-165.0,-6.0,0.0031088340616951,0.0235750444989807,-0.0023002785575206,-0.0050161784905802,0.0008085555041744,0.0185588660084004
A01,A09,1385197443,RUN_004,RUN_076,machine_02,machine_06,cross_machine,False,4013.0,-23.0,0.0009423957036747,-0.001998314466661,0.0002659383385097,-0.0022638991285418,0.0012083340421844,-0.0042622135952029
A01,A09,1343723075,RUN_007,RUN_079,machine_03,machine_07,cross_machine,True,-1034.0,2.0,0.0020058296500753,0.0016748667033348,-0.0010001119998511,-0.0087804867662587,0.0010057176502241,-0.0071056200629238
A01,A11,1829910790,RUN_001,RUN_091,machine_01,machine_01,same_machine,True,-641.0,2.0,0.0005988312330689,0.0113289377153664,-0.0006044008011181,-0.0008412668170694,-5.569568049312856e-06,0.0104876708982969
A01,A11,1385197443,RUN_004,RUN_094,machine_02,machine_02,same_machine,False,2165.0,-12.0,0.0001384911811659,-0.0082311206158006,-0.0003721084017146,-0.0055942280528449,-0.0002336172205487,-0.0138253486686455
A01,A11,1343723075,RUN_007,RUN_097,machine_03,machine_03,same_machine,False,-3104.0,15.0,0.0010423029786844,0.0148514906564814,-0.0010164019410205,-0.0105911180490368,2.5901037663866863e-05,0.0042603726074445
A02,A04,1829910790,RUN_010,RUN_028,machine_04,machine_10,cross_machine,False,3513.0,-17.0,0.0004773895542751,-0.0065309164944142,-0.0010190527213394,0.0024009014601043,-0.0005416631670642,-0.0041300150343099
A02,A04,1385197443,RUN_013,RUN_031,machine_05,machine_01,cross_machine,False,-558.0,1.0,3.8007689385777255e-06,-0.0120089246434804,0.0007107226644286,-0.0116703008699875,0.0007145234333673,-0.0236792255134679
A02,A04,1343723075,RUN_016,RUN_034,machine_06,machine_02,cross_machine,False,-1349.0,0.0,0.0018873312890189,-0.0052094056208645,-0.0018842927495058,-0.0072326548463221,3.0385395131116155e-06,-0.0124420604671867
A02,A06,1829910790,RUN_010,RUN_046,machine_04,machine_06,cross_machine,False,1022.0,0.0,0.0025208560077503,0.0041654558046425,-0.0027249450235688,-0.0038008686327673,-0.0002040890158185,0.0003645871718752
A02,A06,1385197443,RUN_013,RUN_049,machine_05,machine_07,cross_machine,False,1330.0,-12.0,0.0008583337477664,-0.0046124063544706,-0.0005896672012257,-0.0047524486865222,0.0002686665465407,-0.0093648550409928
A02,A06,1343723075,RUN_016,RUN_052,machine_06,machine_08,cross_machine,False,-1383.0,5.0,0.0029158248311488,-0.0074704111364657,-0.0028968827903187,-0.0001010307881621,1.894204083008333e-05,-0.0075714419246279
A02,A08,1829910790,RUN_010,RUN_064,machine_04,machine_02,cross_machine,False,3955.0,-16.0,0.003086429130796,0.0045570428065743,-0.0030309586725209,0.0025164517099151,5.547045827503094e-05,0.0070734945164894
A02,A08,1385197443,RUN_013,RUN_067,machine_05,machine_03,cross_machine,True,2627.0,-19.0,0.0022600744731556,-0.0165450939662637,-0.0019774597786373,-0.0026591215019125,0.0002826146945182,-0.0192042154681762
A02,A08,1343723075,RUN_016,RUN_070,machine_06,machine_04,cross_machine,False,1012.0,-9.0,0.0029057872196476,-0.0005228109632861,-0.0031965597654426,-0.0084195377783891,-0.000290772545795,-0.0089423487416753
A02,A10,1829910790,RUN_010,RUN_082,machine_04,machine_08,cross_machine,True,3004.0,-10.0,0.0015697859864793,0.0029383292324532,-0.0020572308590339,0.0005499128787923,-0.0004874448725546,0.0034882421112455
A02,A10,1385197443,RUN_013,RUN_085,machine_05,machine_09,cross_machine,False,-1501.0,9.0,0.0010992330724773,-0.008037709651061,-0.0010662095527883,-0.0121640888709005,3.3023519689145964e-05,-0.0202017985219616
A02,A10,1343723075,RUN_016,RUN_088,machine_06,machine_10,cross_machine,False,-885.0,3.0,0.00285023988073,0.0107751094716735,-0.0025433511349392,-0.0140440830327495,0.0003068887457907,-0.0032689735610759
A02,A12,1829910790,RUN_010,RUN_100,machine_04,machine_04,same_machine,True,1050.0,-3.0,-0.0003393360383038,-0.0109432438457844,-0.0005424994525227,0.0073674017257827,-0.0008818354908266,-0.0035758421200016
A02,A12,1385197443,RUN_013,RUN_103,machine_05,machine_05,same_machine,True,296.0,-1.0,0.0004944165250848,-0.0200012249617329,-0.0002054687343708,-0.0099636654618507,0.000288947790714,-0.0299648904235836
A02,A12,1343723075,RUN_016,RUN_106,machine_06,machine_06,same_machine,False,236.0,3.0,0.0004696452328315,-0.0022816857399093,-0.000389692785214,-0.0014766491566006,7.995244761749287e-05,-0.00375833489651
A02,A13,1829910790,RUN_010,RUN_109,machine_04,machine_07,cross_machine,False,2213.0,-16.0,0.0004279466237486,-0.0014993749714951,-0.0021857322459082,0.0109649553981071,-0.0017577856221596,0.009465580426612
