reference_condition,comparator_condition,training_seed,reference_run_slot,comparator_run_slot,reference_machine_id,comparator_machine_id,machine_pair,any_resumed,direct_delta_TN,direct_delta_FN,direct_delta_gap_q68_q050,direct_delta_tail_gap_q90_q05,direct_delta_normal_q68,direct_delta_normal_q90,direct_delta_defect_q50,direct_delta_defect_q05
B01,A02,1829910790,RUN_172,RUN_010,machine_08,machine_04,cross_machine,False,-2444.0,29.0,-0.0004984720862977,0.0104544866349234,0.0022690488613344,-0.0061737552409543,0.0017705767750367,0.0042807313939691
B01,A02,1385197443,RUN_175,RUN_013,machine_09,machine_05,cross_machine,False,551.0,3.0,-0.000709448469481,0.010391702097432,-0.000339971033695,0.0043817918402723,-0.0010494195031761,0.0147734939377043
B01,A02,1343723075,RUN_178,RUN_016,machine_10,machine_06,cross_machine,False,1873.0,-9.0,-0.00086811340469,0.00972238005717,0.0009663365939787,0.0045232592961138,9.822318928875971e-05,0.0142456393532839
B02,A02,1829910790,RUN_181,RUN_010,machine_01,machine_04,cross_machine,False,432.0,-3.0,0.0009484130790113,0.0099089408042313,0.0003034648518131,-0.0041534626434864,0.0012518779308245,0.0057554781607448
B02,A02,1385197443,RUN_184,RUN_013,machine_02,machine_05,cross_machine,False,-58.0,-1.0,0.0015332820961286,0.0211505623973388,-0.00179093025476,-0.002991235863494,-0.0002576481586313,0.0181593265338447
B02,A02,1343723075,RUN_187,RUN_016,machine_03,machine_06,cross_machine,False,853.0,-5.0,-0.0004306756452883,0.0051861544014621,0.0008923066954797,0.0072151961809093,0.0004616310501914,0.0124013505823715
B03,A02,1829910790,RUN_190,RUN_010,machine_04,machine_04,same_machine,False,-2306.0,11.0,0.0004319806073662,0.0167155416024437,0.0009877542592741,-0.0046650874166507,0.0014197348666404,0.0120504541857929
B03,A02,1385197443,RUN_193,RUN_013,machine_05,machine_05,same_machine,False,-3483.0,16.0,0.0011740306376843,0.0329030881163117,-0.0012259113102345,0.0014852127245176,-5.188067255024187e-05,0.0343883008408293
B03,A02,1343723075,RUN_196,RUN_016,machine_06,machine_06,same_machine,False,508.0,-9.0,-1.0509745370201884e-05,0.0170386833334226,0.0004947635344351,-0.00106791191409,0.0004842537890649,0.0159707714193326
B04,A02,1829910790,RUN_199,RUN_010,machine_07,machine_04,cross_machine,False,-1303.0,3.0,-0.0006879648464892,0.0145895880023391,0.001625568851247,7.372252085496855e-05,0.0009376040047578,0.014663310523194
B04,A02,1385197443,RUN_202,RUN_013,machine_08,machine_05,cross_machine,False,-784.0,11.0,8.91289120152905e-05,0.0146429509818671,-0.0006553984999939,0.0018369926574124,-0.0005662695879787,0.0164799436392795
B04,A02,1343723075,RUN_205,RUN_016,machine_09,machine_06,cross_machine,False,2023.0,-11.0,-0.0001556439518513,0.0075782228244781,0.0007926270029307,0.0107902175319257,0.0006369830510793,0.0183684403564038
B05,A02,1829910790,RUN_208,RUN_010,machine_10,machine_04,cross_machine,False,-2073.0,11.0,0.000473673941563,0.0214166880886338,0.0006447984718475,-0.0098341006884024,0.0011184724134105,0.0115825874002313
B05,A02,1385197443,RUN_211,RUN_013,machine_01,machine_05,cross_machine,False,-420.0,4.0,0.0005298660693959,0.0225965019190184,-0.0008825677855461,0.004361236816758,-0.0003527017161502,0.0269577387357764
B05,A02,1343723075,RUN_214,RUN_016,machine_07,machine_06,cross_machine,False,3008.0,-16.0,0.0010258127891198,0.0057560670737994,-0.0008633755047773,-4.6048951879623656e-05,0.0001624372843425,0.0057100181219198
B06,A02,1829910790,RUN_217,RUN_010,machine_03,machine_04,cross_machine,False,-1444.0,3.0,0.0002325039898167,0.0086252454293719,0.0002944883029918,-0.0042286394324117,0.0005269922928087,0.0043966059969602
B06,A02,1385197443,RUN_220,RUN_013,machine_12,machine_05,cross_machine,False,998.0,-7.0,0.0005089283508679,0.0317587189631036,-0.000673153275754,0.0111750922462341,-0.0001642249248862,0.0429338112093377
B06,A02,1343723075,RUN_223,RUN_016,machine_05,machine_06,cross_machine,False,-1282.0,4.0,0.0010063172840069,0.024777525238273,-0.0002038925451622,-0.0075250724777228,0.0008024247388446,0.0172524527605501
