run_slot,triad_id,condition_slot,phase,method,budget,guard_ratio,arm,training_seed,rows,unique_samples,overlap_count,overlap_rate,jaccard,forced_overlap_count,effective_unique_contrast,max_abs_smd,fallback_L0,fallback_L1,fallback_L2,fallback_L3,fallback_L4_forced_overlap,fallback_counts_json,fold_total_variation,bucket_total_variation
RUN_001,TRIAD_001,A01,A,GapCritical-Strict,600,0.0,T,1829910790,600,600,,,,,,,0,0,0,0,0,{},,
RUN_002,TRIAD_001,A01,A,GapCritical-Strict,600,0.0,R1,1829910790,600,600,0.0,,,,,,0,0,0,0,0,{},,
RUN_003,TRIAD_001,A01,A,GapCritical-Strict,600,0.0,R2,1829910790,600,600,552.0,0.92,0.8518518518518519,552.0,0.0799999999999999,0.0983362813837203,48,0,0,0,552,"{""L0"": 48, ""L4_FORCED_OVERLAP"": 552}",0.0266666666666666,0.0083333333333333
RUN_004,TRIAD_002,A01,A,GapCritical-Strict,600,0.0,T,1385197443,600,600,,,,,,,0,0,0,0,0,{},,
RUN_005,TRIAD_002,A01,A,GapCritical-Strict,600,0.0,R1,1385197443,600,600,0.0,,,,,,0,0,0,0,0,{},,
RUN_006,TRIAD_002,A01,A,GapCritical-Strict,600,0.0,R2,1385197443,600,600,541.0,0.9016666666666666,0.8209408194233687,541.0,0.0983333333333333,0.0996360259327087,59,0,0,0,541,"{""L0"": 59, ""L4_FORCED_OVERLAP"": 541}",0.0383333333333333,0.0133333333333333
RUN_007,TRIAD_003,A01,A,GapCritical-Strict,600,0.0,T,1343723075,600,600,,,,,,,0,0,0,0,0,{},,
RUN_008,TRIAD_003,A01,A,GapCritical-Strict,600,0.0,R1,1343723075,600,600,0.0,,,,,,0,0,0,0,0,{},,
RUN_009,TRIAD_003,A01,A,GapCritical-Strict,600,0.0,R2,1343723075,600,600,531.0,0.885,0.7937219730941704,531.0,0.1149999999999999,0.0991227192449744,69,0,0,0,531,"{""L0"": 69, ""L4_FORCED_OVERLAP"": 531}",0.0349999999999999,0.0233333333333333
RUN_010,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,T,1829910790,3000,3000,,,,,,,0,0,0,0,0,{},,
RUN_011,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R1,1829910790,3000,3000,0.0,,,,,,0,0,0,0,0,{},,
RUN_012,TRIAD_004,A02,A,GapCritical-Strict,3000,0.0,R2,1829910790,3000,3000,2753.0,0.9176666666666666,0.8478595626732368,2753.0,0.0823333333333333,0.099916071890507,231,15,0,1,2753,"{""L0"": 231, ""L1"": 15, ""L3"": 1, ""L4_FORCED_OVERLAP"": 2753}",0.0123333333333333,0.0196666666666666
RUN_013,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,T,1385197443,3000,3000,,,,,,,0,0,0,0,0,{},,
RUN_014,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R1,1385197443,3000,3000,0.0,,,,,,0,0,0,0,0,{},,
RUN_015,TRIAD_005,A02,A,GapCritical-Strict,3000,0.0,R2,1385197443,3000,3000,2744.0,0.9146666666666666,0.8427518427518428,2744.0,0.0853333333333333,0.0998952689706044,246,10,0,0,2744,"{""L0"": 246, ""L1"": 10, ""L4_FORCED_OVERLAP"": 2744}",0.0123333333333333,0.0196666666666666
RUN_016,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,T,1343723075,3000,3000,,,,,,,0,0,0,0,0,{},,
RUN_017,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R1,1343723075,3000,3000,0.0,,,,,,0,0,0,0,0,{},,
RUN_018,TRIAD_006,A02,A,GapCritical-Strict,3000,0.0,R2,1343723075,3000,3000,2759.0,0.9196666666666666,0.8512804689910521,2759.0,0.0803333333333333,0.0994493758870661,226,15,0,0,2759,"{""L0"": 226, ""L1"": 15, ""L4_FORCED_OVERLAP"": 2759}",0.0103333333333333,0.017
RUN_019,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,T,1829910790,6000,6000,,,,,,,0,0,0,0,0,{},,
RUN_020,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R1,1829910790,6000,6000,0.0,,,,,,0,0,0,0,0,{},,
RUN_021,TRIAD_007,A03,A,GapCritical-Strict,6000,0.0,R2,1829910790,6000,6000,5576.0,0.9293333333333332,0.8679950186799502,5576.0,0.0706666666666666,0.0998646644668351,133,3,223,65,5576,"{""L0"": 133, ""L1"": 3, ""L2"": 223, ""L3"": 65, ""L4_FORCED_OVERLAP"": 5576}",0.0101666666666666,0.054
RUN_022,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,T,1385197443,6000,6000,,,,,,,0,0,0,0,0,{},,
RUN_023,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R1,1385197443,6000,6000,0.0,,,,,,0,0,0,0,0,{},,
RUN_024,TRIAD_008,A03,A,GapCritical-Strict,6000,0.0,R2,1385197443,6000,6000,5578.0,0.9296666666666666,0.8685767673621925,5578.0,0.0703333333333333,0.0998618297217976,131,7,217,67,5578,"{""L0"": 131, ""L1"": 7, ""L2"": 217, ""L3"": 67, ""L4_FORCED_OVERLAP"": 5578}",0.0111666666666666,0.0533333333333333
RUN_025,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,T,1343723075,6000,6000,,,,,,,0,0,0,0,0,{},,
RUN_026,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R1,1343723075,6000,6000,0.0,,,,,,0,0,0,0,0,{},,
RUN_027,TRIAD_009,A03,A,GapCritical-Strict,6000,0.0,R2,1343723075,6000,6000,5576.0,0.9293333333333332,0.8679950186799502,5576.0,0.0706666666666666,0.0999208904812818,130,5,219,70,5576,"{""L0"": 130, ""L1"": 5, ""L2"": 219, ""L3"": 70, ""L4_FORCED_OVERLAP"": 5576}",0.0109999999999999,0.0536666666666666
RUN_028,TRIAD_010,A04,A,GapCritical-Global,3000,0.0,T,1829910790,3000,3000,,,,,,,0,0,0,0,0,{},,
