triad_id,condition_slot,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast
TRIAD_001,A01,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_001,A01,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_001,A01,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_001,A01,A,600,0.0,R2,all,600,600,552,0.92,0.8518518518518519,48,48,0.08
TRIAD_001,A01,A,600,0.0,R2,normal,600,600,552,0.92,0.8518518518518519,48,48,0.08
TRIAD_001,A01,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_002,A01,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_002,A01,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_002,A01,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_002,A01,A,600,0.0,R2,all,600,600,541,0.9016666666666666,0.8209408194233687,59,59,0.0983333333333333
TRIAD_002,A01,A,600,0.0,R2,normal,600,600,541,0.9016666666666666,0.8209408194233687,59,59,0.0983333333333333
TRIAD_002,A01,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_003,A01,A,600,0.0,R1,all,600,600,0,0.0,0.0,600,600,1.0
TRIAD_003,A01,A,600,0.0,R1,normal,600,600,0,0.0,0.0,600,600,1.0
TRIAD_003,A01,A,600,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_003,A01,A,600,0.0,R2,all,600,600,531,0.885,0.7937219730941704,69,69,0.115
TRIAD_003,A01,A,600,0.0,R2,normal,600,600,531,0.885,0.7937219730941704,69,69,0.115
TRIAD_003,A01,A,600,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_004,A02,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_004,A02,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_004,A02,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_004,A02,A,3000,0.0,R2,all,3000,3000,2753,0.9176666666666666,0.8478595626732368,247,247,0.0823333333333333
TRIAD_004,A02,A,3000,0.0,R2,normal,3000,3000,2753,0.9176666666666666,0.8478595626732368,247,247,0.0823333333333333
TRIAD_004,A02,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_005,A02,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_005,A02,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_005,A02,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_005,A02,A,3000,0.0,R2,all,3000,3000,2744,0.9146666666666666,0.8427518427518428,256,256,0.0853333333333333
TRIAD_005,A02,A,3000,0.0,R2,normal,3000,3000,2744,0.9146666666666666,0.8427518427518428,256,256,0.0853333333333333
TRIAD_005,A02,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_006,A02,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_006,A02,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_006,A02,A,3000,0.0,R1,defect,0,0,0,,,0,0,
