condition_slot,condition_id,control,analysis_set,n,mean_delta_FN,std_delta_FN,worst_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_delta_TN,std_delta_TN,worst_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate,median_delta_TN,median_delta_FN,mean_delta_gap_q68_q050,std_delta_gap_q68_q050,median_delta_gap_q68_q050,mean_delta_tail_gap_q90_q05,std_delta_tail_gap_q90_q05,median_delta_tail_gap_q90_q05,mean_delta_normal_q68,std_delta_normal_q68,median_delta_normal_q68,mean_delta_normal_q90,std_delta_normal_q90,median_delta_normal_q90,mean_delta_defect_q50,std_delta_defect_q50,median_delta_defect_q50,mean_delta_defect_q05,std_delta_defect_q05,median_delta_defect_q05,exploratory
A01,A01_GapCritical-Strict_B600,R1,all,3,-5.333333333333333,11.67618659209133,5.0,14.351017918626331,False,True,703.6666666666666,2842.293674716484,-1773.0,-4088.026803891468,False,0.6666666666666666,0.6666666666666666,77.0,-3.0,0.000476302242987,0.0004654431497163,0.0002841592552604,0.0117431960716898,0.0120070121242071,0.0055345015165244,-5.730076500012431e-06,0.0004074996025054,-0.0002051348898059,-0.0098846308266638,0.0019335347208624,-0.0092121937055155,0.000470572166487,0.0004121653134852,0.000600763620921,0.0018585652450259,0.0128253677721783,-0.0028425941574002,True
A01,A01_GapCritical-Strict_B600,R1,same_machine,3,-5.333333333333333,11.67618659209133,5.0,14.351017918626331,False,True,703.6666666666666,2842.293674716484,-1773.0,-4088.026803891468,False,0.6666666666666666,0.6666666666666666,77.0,-3.0,0.000476302242987,0.0004654431497163,0.0002841592552604,0.0117431960716898,0.0120070121242071,0.0055345015165244,-5.730076500012431e-06,0.0004074996025054,-0.0002051348898059,-0.0098846308266638,0.0019335347208624,-0.0092121937055155,0.000470572166487,0.0004121653134852,0.000600763620921,0.0018585652450259,0.0128253677721783,-0.0028425941574002,True
A01,A01_GapCritical-Strict_B600,R1,no_resume,3,-5.333333333333333,11.67618659209133,5.0,14.351017918626331,False,True,703.6666666666666,2842.293674716484,-1773.0,-4088.026803891468,False,0.6666666666666666,0.6666666666666666,77.0,-3.0,0.000476302242987,0.0004654431497163,0.0002841592552604,0.0117431960716898,0.0120070121242071,0.0055345015165244,-5.730076500012431e-06,0.0004074996025054,-0.0002051348898059,-0.0098846308266638,0.0019335347208624,-0.0092121937055155,0.000470572166487,0.0004121653134852,0.000600763620921,0.0018585652450259,0.0128253677721783,-0.0028425941574002,True
A01,A01_GapCritical-Strict_B600,R2,all,3,-6.333333333333333,14.011899704655802,5.0,17.288690288702092,False,True,1127.6666666666667,2266.4205993886776,-699.0,-2693.1886109683765,False,0.6666666666666666,0.6666666666666666,418.0,-2.0,0.0008294048607549,0.0011870179758582,0.0011118500011518,8.69893090340949e-05,0.0119797589409387,0.005084255376397,-0.0004374535938217,0.0004343983130574,-0.0002919009450388,-0.0007890424581545,0.0050724676151267,0.0010549351106919,0.0003919512669332,0.0010777269057991,0.0001859125965838,-0.0007020531491204,0.017047888548348,0.0061391904870889,True
A01,A01_GapCritical-Strict_B600,R2,same_machine,3,-6.333333333333333,14.011899704655802,5.0,17.288690288702092,False,True,1127.6666666666667,2266.4205993886776,-699.0,-2693.1886109683765,False,0.6666666666666666,0.6666666666666666,418.0,-2.0,0.0008294048607549,0.0011870179758582,0.0011118500011518,8.69893090340949e-05,0.0119797589409387,0.005084255376397,-0.0004374535938217,0.0004343983130574,-0.0002919009450388,-0.0007890424581545,0.0050724676151267,0.0010549351106919,0.0003919512669332,0.0010777269057991,0.0001859125965838,-0.0007020531491204,0.017047888548348,0.0061391904870889,True
A01,A01_GapCritical-Strict_B600,R2,no_resume,3,-6.333333333333333,14.011899704655802,5.0,17.288690288702092,False,True,1127.6666666666667,2266.4205993886776,-699.0,-2693.1886109683765,False,0.6666666666666666,0.6666666666666666,418.0,-2.0,0.0008294048607549,0.0011870179758582,0.0011118500011518,8.69893090340949e-05,0.0119797589409387,0.005084255376397,-0.0004374535938217,0.0004343983130574,-0.0002919009450388,-0.0007890424581545,0.0050724676151267,0.0010549351106919,0.0003919512669332,0.0010777269057991,0.0001859125965838,-0.0007020531491204,0.017047888548348,0.0061391904870889,True
A02,A02_GapCritical-Strict_B3000,R1,all,3,2.0,7.0,7.0,13.80098122592934,False,False,-673.6666666666666,1083.4123560922376,-1800.0,-2500.1422201215764,False,0.3333333333333333,0.3333333333333333,-582.0,5.0,0.0001606148430884,0.000302292876485,3.9998536501273385e-05,-0.0188353439099974,0.0074791513362478,-0.0176023991156089,6.656340702704845e-05,0.0005037092444634,4.676276215496988e-06,-0.0074659274360826,0.0023596850041052,-0.0068061072607635,0.0002271782501154,0.0002686016426835,0.0001012521293478,-0.0263012713460801,0.0081414229227647,-0.027687688827273,True
A02,A02_GapCritical-Strict_B3000,R1,same_machine,3,2.0,7.0,7.0,13.80098122592934,False,False,-673.6666666666666,1083.4123560922376,-1800.0,-2500.1422201215764,False,0.3333333333333333,0.3333333333333333,-582.0,5.0,0.0001606148430884,0.000302292876485,3.9998536501273385e-05,-0.0188353439099974,0.0074791513362478,-0.0176023991156089,6.656340702704845e-05,0.0005037092444634,4.676276215496988e-06,-0.0074659274360826,0.0023596850041052,-0.0068061072607635,0.0002271782501154,0.0002686016426835,0.0001012521293478,-0.0263012713460801,0.0081414229227647,-0.027687688827273,True
A02,A02_GapCritical-Strict_B3000,R1,no_resume,3,2.0,7.0,7.0,13.80098122592934,False,False,-673.6666666666666,1083.4123560922376,-1800.0,-2500.1422201215764,False,0.3333333333333333,0.3333333333333333,-582.0,5.0,0.0001606148430884,0.000302292876485,3.9998536501273385e-05,-0.0188353439099974,0.0074791513362478,-0.0176023991156089,6.656340702704845e-05,0.0005037092444634,4.676276215496988e-06,-0.0074659274360826,0.0023596850041052,-0.0068061072607635,0.0002271782501154,0.0002686016426835,0.0001012521293478,-0.0263012713460801,0.0081414229227647,-0.027687688827273,True
A02,A02_GapCritical-Strict_B3000,R2,all,3,1.3333333333333333,12.096831541082704,15.0,21.726830748982884,False,False,-345.6666666666667,1973.0140225891284,-2620.0,-3671.881157962328,False,0.6666666666666666,0.6666666666666666,676.0,-3.0,-0.0003568214331895,0.0014001805606137,-0.0002615658864274,-0.016586888432679,0.0142866254360966,-0.0127162213436293,-2.835202674057735e-06,0.0012987517449871,-0.0004056308213648,0.0015165983413942,0.0037481993145639,0.0016876757230534,-0.0003596566358636,0.000304076166001,-0.0003526062061164,-0.0150702900912848,0.0156321697537807,-0.0150304317098741,True
