run_slot,budget,completed_epochs,expected_steps_per_epoch_by_budget,recorded_steps_per_epoch,simple_expected_optimizer_steps,recorded_optimizer_steps_total,epochs_exact,steps_per_epoch_exact,optimizer_steps_exact,partial_step_reconciled,discarded_partial_optimizer_steps,resume_count,status
RUN_001,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_002,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_003,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_004,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_005,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_006,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_007,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_008,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_009,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_010,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_011,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_012,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_013,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_014,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_015,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_016,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_017,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_018,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_019,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_020,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_021,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_022,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_023,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_024,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_025,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_026,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_027,6000,200,985,985,197000,197000,True,True,True,False,0,0,PASS
RUN_028,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_029,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_030,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_031,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_032,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_033,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_034,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_035,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_036,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_037,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_038,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_039,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_040,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_041,600,200,943,943,188600,188600,True,True,True,False,0,1,PASS
RUN_042,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_043,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_044,600,200,943,943,188600,188600,True,True,True,False,0,1,PASS
RUN_045,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_046,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_047,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_048,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_049,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_050,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_051,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_052,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_053,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_054,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_055,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_056,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_057,600,200,943,943,188600,188600,True,True,True,True,239,1,PASS
RUN_058,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_059,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_060,600,200,943,943,188600,188600,True,True,True,True,719,1,PASS
RUN_061,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_062,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_063,600,200,943,943,188600,188600,True,True,True,False,0,0,PASS
RUN_064,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_065,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
