run_slot,completed_epochs,expected_steps_per_epoch,optimizer_steps_total,loss_finite,best_top1_epoch,best_top1,final_top1,final_train_loss,final_val_loss,last_window_epochs,last_window_top1_mean,last_window_top1_std,last_window_val_loss_mean,last_window_val_loss_std,last_window_val_loss_slope,top1_normalized_auc
RUN_001,200,943,188600,True,194,0.945,0.94475,0.02806,0.25974,20,0.944666,0.0002471517752313,0.2339655,0.0150098582521621,0.0025940075187969,0.928786608040201
RUN_002,200,943,188600,True,190,0.94442,0.94313,0.02974,0.25933,20,0.943617,0.0006077425441747,0.234506,0.0147999295268592,0.0025626616541353,0.9279669095477386
RUN_003,200,943,188600,True,186,0.94471,0.9445,0.02761,0.2559,20,0.944442,0.0001901736048982,0.2315489999999999,0.0137167893109138,0.0023673082706766,0.9282463567839196
RUN_004,200,943,188600,True,200,0.94533,0.94533,0.02852,0.25785,20,0.9444695,0.0005350745275192,0.2328605,0.0143223976606572,0.002477977443609,0.928873894472362
RUN_005,200,943,188600,True,197,0.94488,0.94442,0.0295,0.26366,20,0.9435630000000002,0.000715444617004,0.2387849999999999,0.0151004693635661,0.0026162406015037,0.927866457286432
RUN_006,200,943,188600,True,199,0.94475,0.94475,0.02779,0.2607,20,0.94387,0.0004758571214135,0.2372684999999999,0.0138537367792953,0.0024008195488721,0.9287197236180904
RUN_007,200,943,188600,True,200,0.94467,0.94467,0.02956,0.26101,20,0.9439545,0.0003115521625667,0.2346454999999999,0.0156503685180253,0.0027046842105263,0.9286837939698492
RUN_008,200,943,188600,True,191,0.94542,0.94479,0.0298,0.25694,20,0.9447195,0.0004319545693704,0.2314985,0.0148491337373598,0.002568984962406,0.9278269346733669
RUN_009,200,943,188600,True,199,0.94504,0.94479,0.02888,0.26141,20,0.9439295,0.0007076544001134,0.236343,0.0145758766803235,0.0025175639097744,0.9285445477386935
RUN_010,200,961,192200,True,196,0.94563,0.94492,0.02564,0.26308,20,0.9447995,0.0005069366331209,0.2382435,0.0149419939348803,0.0025897218045112,0.9302300251256284
RUN_011,200,961,192200,True,199,0.94417,0.94379,0.03031,0.25533,20,0.9431045,0.0006283428602284,0.2326829999999999,0.0134028124287404,0.0023215488721804,0.9275548743718592
RUN_012,200,961,192200,True,189,0.94671,0.94558,0.02616,0.2593,20,0.94601,0.0003929503785467,0.2346839999999999,0.0149253503811468,0.0025848120300751,0.9300312814070352
RUN_013,200,961,192200,True,197,0.94546,0.94538,0.02654,0.26876,20,0.9449615,0.0003643525078821,0.2428985,0.0156106826484302,0.0027050751879699,0.930809648241206
RUN_014,200,961,192200,True,200,0.94596,0.94596,0.02965,0.25529,20,0.9450565,0.0006281343407265,0.231282,0.0139563711615878,0.0024128721804511,0.92764283919598
RUN_015,200,961,192200,True,200,0.94542,0.94542,0.02603,0.25589,20,0.9446614999999998,0.0003286377184682,0.2351115,0.0124255230372809,0.0021510451127819,0.9304694974874372
RUN_016,200,961,192200,True,199,0.94625,0.94608,0.02615,0.26441,20,0.9456395,0.0004115759346706,0.2376855,0.0156585352044819,0.0027085789473684,0.930966984924623
RUN_017,200,961,192200,True,187,0.94483,0.94421,0.03003,0.25629,20,0.9445395,0.0002235503299035,0.2310219999999999,0.0151032942102046,0.0026126917293233,0.9279793718592964
RUN_018,200,961,192200,True,192,0.94687,0.94675,0.02703,0.26646,20,0.9461575,0.0006732820731313,0.2407735,0.0151534485431534,0.0026181879699248,0.9307769849246228
RUN_019,200,985,197000,True,200,0.94583,0.94583,0.02589,0.26907,20,0.944974,0.0004281284853872,0.2429735,0.0159218712075559,0.0027563684210526,0.9300440703517588
RUN_020,200,985,197000,True,199,0.94458,0.94446,0.02912,0.25552,20,0.9434804999999996,0.0005737375270975,0.2315055,0.0139176181421247,0.0024076616541353,0.927013743718593
RUN_021,200,985,197000,True,192,0.94542,0.94542,0.02613,0.26429,20,0.9451389999999998,0.0002347743597584,0.2389739999999999,0.0152177558792352,0.002636947368421,0.93073175879397
RUN_022,200,985,197000,True,196,0.94488,0.944,0.02616,0.26888,20,0.9441665,0.0004939056083909,0.244895,0.0140444841485901,0.0024301954887218,0.9302790703517588
RUN_023,200,985,197000,True,194,0.94342,0.94308,0.03013,0.26165,20,0.9426965,0.0004974361768106,0.235734,0.0154793773776596,0.0026812781954887,0.9268231909547738
RUN_024,200,985,197000,True,200,0.94433,0.94433,0.02618,0.26777,20,0.9438315000000002,0.0003148376565787,0.2439825,0.0144342117467494,0.0025006842105263,0.9301254271356784
RUN_025,200,985,197000,True,200,0.9455,0.9455,0.02592,0.26784,20,0.9445994999999998,0.0005936621513958,0.2453279999999999,0.0146776335286039,0.0025428270676691,0.930559296482412
RUN_026,200,985,197000,True,199,0.94488,0.94463,0.02913,0.25614,20,0.9434615,0.000892918109347,0.2347304999999999,0.0123935924876526,0.0021422781954887,0.92689675879397
RUN_027,200,985,197000,True,187,0.94504,0.94463,0.02484,0.26442,20,0.944225,0.0004285148772212,0.241069,0.0140307668714151,0.0024314887218045,0.9306533668341712
RUN_028,200,961,192200,True,199,0.9465,0.94629,0.0258,0.26478,20,0.9456160000000002,0.0005150766933185,0.2384315,0.0150136145797739,0.0025940526315789,0.9304242462311558
RUN_029,200,961,192200,True,195,0.944,0.94379,0.02903,0.26161,20,0.9434785,0.0003593921952407,0.234844,0.0154545217978428,0.0026698195488721,0.9274999497487438
RUN_030,200,961,192200,True,189,0.94571,0.94542,0.02687,0.26086,20,0.9451935,0.0003799378238606,0.237966,0.0141561701741678,0.0024536541353383,0.9301100502512564
RUN_031,200,961,192200,True,189,0.94592,0.94567,0.02657,0.26863,20,0.9454340000000002,0.0003231315521579,0.2432174999999999,0.014813904237236,0.0025661879699248,0.9299067336683416
RUN_032,200,961,192200,True,189,0.94554,0.94458,0.03124,0.25715,20,0.9445909999999996,0.0003390117992046,0.2312795,0.0147239092889762,0.0025470451127819,0.927959095477387
RUN_033,200,961,192200,True,199,0.94475,0.94475,0.02749,0.27076,20,0.944231,0.0003268164622536,0.2451935,0.0151331524392639,0.0026217067669172,0.9298697487437186
RUN_034,200,961,192200,True,191,0.94404,0.94254,0.02616,0.26451,20,0.9431665,0.0005688609232492,0.2405114999999999,0.0140699130327802,0.0024374511278195,0.9300543969849246
RUN_035,200,961,192200,True,193,0.94412,0.944,0.02982,0.25172,20,0.943606,0.0003042761903271,0.2276339999999999,0.0141837845443308,0.0024535037593984,0.9274081407035176
