model,ratio,epoch,run_parent,run_name,checkpoint_file
n,hn00,76,stage1_formal_gate,yolo11n_gate2_formal_200ep,epoch_076.pt
n,hn02,43,stage1_formal_gate_hn,yolo11n_gate2_formal_hn02_200ep,epoch_043.pt
n,hn04,72,stage1_formal_gate_hn,yolo11n_gate2_formal_hn04_200ep,epoch_072.pt
n,hn06,1,stage1_formal_gate_hn,yolo11n_gate2_formal_hn06_200ep,epoch_001.pt
n,hn08,100,stage1_formal_gate_hn,yolo11n_gate2_formal_hn08_200ep,epoch_100.pt
n,hn10,1,stage1_formal_gate_hn,yolo11n_gate2_formal_hn10_200ep,epoch_001.pt
n,hn12,1,stage1_formal_gate_hn,yolo11n_gate2_formal_hn12_200ep,epoch_001.pt
n,hn14,87,stage1_formal_gate_hn,yolo11n_gate2_formal_hn14_200ep,epoch_087.pt
n,hn16,1,stage1_formal_gate_hn,yolo11n_gate2_formal_hn16_200ep,epoch_001.pt
n,hn18,1,stage1_formal_gate_hn,yolo11n_gate2_formal_hn18_200ep,epoch_001.pt
n,hn20,1,stage1_formal_gate_hn,yolo11n_gate2_formal_hn20_200ep,epoch_001.pt
s,hn00,77,stage1_formal_gate,yolo11s_gate2_formal_200ep,epoch_077.pt
s,hn02,8,stage1_formal_gate_hn,yolo11s_gate2_formal_hn02_200ep,epoch_008.pt
s,hn04,28,stage1_formal_gate_hn,yolo11s_gate2_formal_hn04_200ep,epoch_028.pt
s,hn06,54,stage1_formal_gate_hn,yolo11s_gate2_formal_hn06_200ep,epoch_054.pt
s,hn08,1,stage1_formal_gate_hn,yolo11s_gate2_formal_hn08_200ep,epoch_001.pt
s,hn10,36,stage1_formal_gate_hn,yolo11s_gate2_formal_hn10_200ep,epoch_036.pt
s,hn12,1,stage1_formal_gate_hn,yolo11s_gate2_formal_hn12_200ep,epoch_001.pt
s,hn14,75,stage1_formal_gate_hn,yolo11s_gate2_formal_hn14_200ep,epoch_075.pt
s,hn16,1,stage1_formal_gate_hn,yolo11s_gate2_formal_hn16_200ep,epoch_001.pt
s,hn18,1,stage1_formal_gate_hn,yolo11s_gate2_formal_hn18_200ep,epoch_001.pt
s,hn20,66,stage1_formal_gate_hn,yolo11s_gate2_formal_hn20_200ep,epoch_066.pt
m,hn00,78,stage1_formal_gate,yolo11m_gate2_formal_200ep,epoch_078.pt
m,hn02,51,stage1_formal_gate_hn,yolo11m_gate2_formal_hn02_200ep,epoch_051.pt
m,hn04,144,stage1_formal_gate_hn,yolo11m_gate2_formal_hn04_200ep,epoch_144.pt
m,hn06,96,stage1_formal_gate_hn,yolo11m_gate2_formal_hn06_200ep,epoch_096.pt
m,hn08,1,stage1_formal_gate_hn,yolo11m_gate2_formal_hn08_200ep,epoch_001.pt
m,hn10,29,stage1_formal_gate_hn,yolo11m_gate2_formal_hn10_200ep,epoch_029.pt
m,hn12,115,stage1_formal_gate_hn,yolo11m_gate2_formal_hn12_200ep,epoch_115.pt
m,hn14,74,stage1_formal_gate_hn,yolo11m_gate2_formal_hn14_200ep,epoch_074.pt
m,hn16,118,stage1_formal_gate_hn,yolo11m_gate2_formal_hn16_200ep,epoch_118.pt
m,hn18,48,stage1_formal_gate_hn,yolo11m_gate2_formal_hn18_200ep,epoch_048.pt
m,hn20,1,stage1_formal_gate_hn,yolo11m_gate2_formal_hn20_200ep,epoch_001.pt
l,hn00,54,stage1_formal_gate,yolo11l_gate2_formal_200ep,epoch_054.pt
l,hn02,64,stage1_formal_gate_hn,yolo11l_gate2_formal_hn02_200ep,epoch_064.pt
l,hn04,115,stage1_formal_gate_hn,yolo11l_gate2_formal_hn04_200ep,epoch_115.pt
l,hn06,16,stage1_formal_gate_hn,yolo11l_gate2_formal_hn06_200ep,epoch_016.pt
l,hn08,14,stage1_formal_gate_hn,yolo11l_gate2_formal_hn08_200ep,epoch_014.pt
l,hn10,48,stage1_formal_gate_hn,yolo11l_gate2_formal_hn10_200ep,epoch_048.pt
l,hn12,5,stage1_formal_gate_hn,yolo11l_gate2_formal_hn12_200ep,epoch_005.pt
l,hn14,86,stage1_formal_gate_hn,yolo11l_gate2_formal_hn14_200ep,epoch_086.pt
l,hn16,54,stage1_formal_gate_hn,yolo11l_gate2_formal_hn16_200ep,epoch_054.pt
l,hn18,1,stage1_formal_gate_hn,yolo11l_gate2_formal_hn18_200ep,epoch_001.pt
l,hn20,5,stage1_formal_gate_hn,yolo11l_gate2_formal_hn20_200ep,epoch_005.pt
x,hn00,125,stage1_formal_gate,yolo11x_gate2_formal_200ep,epoch_125.pt
x,hn02,59,stage1_formal_gate_hn,yolo11x_gate2_formal_hn02_200ep,epoch_059.pt
x,hn04,1,stage1_formal_gate_hn,yolo11x_gate2_formal_hn04_200ep,epoch_001.pt
x,hn06,172,stage1_formal_gate_hn,yolo11x_gate2_formal_hn06_200ep,epoch_172.pt
x,hn08,107,stage1_formal_gate_hn,yolo11x_gate2_formal_hn08_200ep,epoch_107.pt
x,hn10,63,stage1_formal_gate_hn,yolo11x_gate2_formal_hn10_200ep,epoch_063.pt
x,hn12,1,stage1_formal_gate_hn,yolo11x_gate2_formal_hn12_200ep,epoch_001.pt
x,hn14,117,stage1_formal_gate_hn,yolo11x_gate2_formal_hn14_200ep,epoch_117.pt
x,hn16,107,stage1_formal_gate_hn,yolo11x_gate2_formal_hn16_200ep,epoch_107.pt
x,hn18,70,stage1_formal_gate_hn,yolo11x_gate2_formal_hn18_200ep,epoch_070.pt
x,hn20,1,stage1_formal_gate_hn,yolo11x_gate2_formal_hn20_200ep,epoch_001.pt
