run_name,collected_at,model,data_root,top1_accuracy,top5_accuracy,best_epoch,best_top1,gate_recall_at_0_50,gate_specificity_at_0_50,gate_precision_at_0_50,gate_f1_at_0_50,auroc_exact,average_precision_exact,materials_dir,run_dir,weights_path
yolo11n_cls6_train7200,2026-03-28 20:16:20,yolo11n-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200,0.679167,0.991667,51,0.67917,0.971667,0.7,0.941842,0.956522,0.92875,0.981294,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11n_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11n_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11n_cls6_train7200\weights\best.pt
yolo11s_cls6_train7200,2026-03-28 21:06:29,yolo11s-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200,0.668056,0.997222,17,0.66806,0.981667,0.6,0.924647,0.952304,0.921514,0.979448,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11s_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11s_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11s_cls6_train7200\weights\best.pt
yolo11l_cls6_train7200,2026-03-28 23:11:09,yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200,0.713889,0.998611,73,0.71389,0.97,0.716667,0.944805,0.957237,0.948847,0.987916,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11l_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11l_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11l_cls6_train7200\weights\best.pt
yolo11x_cls6_train7200,2026-03-29 01:57:54,yolo11x-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200,0.673611,0.997222,35,0.675,0.963333,0.666667,0.935275,0.949097,0.943014,0.986798,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11x_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11x_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11x_cls6_train7200\weights\best.pt
yolo11m_cls6_train7200,2026-03-29 13:17:31,yolo11m-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200,0.702778,0.997222,93,0.70417,0.965,0.725,0.946078,0.955446,0.940653,0.985973,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11m_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11m_cls6_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_source\yolo11m_cls6_train7200\weights\best.pt
yolo11n_gate2_train7200,2026-03-29 15:34:28,yolo11n-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0.920833,1.0,35,0.92083,0.96,0.725,0.945813,0.952854,0.920611,0.981309,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11n_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11n_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11n_gate2_train7200\weights\best.pt
yolo11s_gate2_train7200,2026-03-29 17:12:57,yolo11s-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0.934722,1.0,115,0.93472,0.973333,0.741667,0.949593,0.961317,0.938403,0.985368,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11s_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11s_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11s_gate2_train7200\weights\best.pt
yolo11m_gate2_train7200,2026-03-29 18:59:36,yolo11m-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0.929167,1.0,83,0.92917,0.975,0.7,0.942029,0.958231,0.942764,0.987345,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11m_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11m_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11m_gate2_train7200\weights\best.pt
yolo11l_gate2_train7200,2026-03-29 20:47:27,yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0.933333,1.0,69,0.93333,0.971667,0.741667,0.949511,0.960461,0.943917,0.986695,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11l_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11l_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11l_gate2_train7200\weights\best.pt
yolo11x_gate2_train7200,2026-03-29 22:24:35,yolo11x-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,0.929167,1.0,23,0.92917,0.978333,0.683333,0.9392,0.958367,0.932847,0.982976,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\yolo11x_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11x_gate2_train7200,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_source\yolo11x_gate2_train7200\weights\best.pt
