epoch,checkpoint_file,checkpoint_path,accuracy,auroc,auprc
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_001.pt,0.506944,0.845264,0.9626
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_002.pt,0.483333,0.881806,0.972925
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_003.pt,0.504167,0.841236,0.958933
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_004.pt,0.486111,0.861681,0.966638
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_005.pt,0.554167,0.897542,0.9772
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_006.pt,0.551389,0.869306,0.969567
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_007.pt,0.575,0.881667,0.971338
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_008.pt,0.538889,0.882403,0.971333
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_009.pt,0.583333,0.902458,0.976225
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11l_cls6_formal_200ep\weights\epoch_010.pt,0.593056,0.905625,0.978169
