epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_001.pt,1,1,1.872616,0.17,0.19,0.47619,0.511905,0.910284,0.906746
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_002.pt,1,1,1.954092,0.11,0.19,0.321429,0.511905,0.910284,0.906746
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_003.pt,1,1,1.889236,0.14,0.21,0.22619,0.357143,0.885106,0.93254
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_004.pt,1,1,1.574498,0.17,0.21,0.261905,0.404762,0.892704,0.924603
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_005.pt,1,1,1.363634,0.2,0.21,0.452381,0.464286,0.902597,0.916667
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_006.pt,1,1,1.339283,0.27,0.39,0.464286,0.535714,0.914286,0.902778
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_007.pt,1,1,1.447213,0.16,0.27,0.309524,0.428571,0.896552,0.920635
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_008.pt,1,1,1.297369,0.01,0.16,0.02381,0.392857,0.890792,0.926587
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_009.pt,1,1,1.803481,0.17,0.24,0.27381,0.404762,0.892704,0.924603
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_010.pt,1,1,1.452946,0.15,0.2,0.142857,0.238095,0.866667,0.952381
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_011.pt,1,1,1.574477,0.21,0.28,0.357143,0.488095,0.906318,0.910714
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_012.pt,1,1,1.498732,0.16,0.17,0.345238,0.357143,0.885106,0.93254
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_013.pt,1,1,1.770704,0.13,0.17,0.452381,0.488095,0.906318,0.910714
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_014.pt,1,1,1.676549,0.25,0.28,0.261905,0.321429,0.879493,0.938492
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_015.pt,1,1,1.3176,0.04,0.04,0.178571,0.178571,0.858896,0.970238
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_016.pt,1,1,2.085246,0.21,0.21,0.357143,0.357143,0.885593,0.936508
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_017.pt,1,1,1.810745,0.17,0.17,0.297619,0.297619,0.87631,0.946429
18,epoch_018.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_018.pt,1,1,1.448416,0.09,0.12,0.22619,0.309524,0.877895,0.94246
19,epoch_019.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_019.pt,1,1,1.743075,0.1,0.2,0.095238,0.285714,0.87395,0.944444
20,epoch_020.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_020.pt,1,1,1.596622,0.17,0.19,0.380952,0.416667,0.89485,0.924603
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_021.pt,1,1,1.662149,0.12,0.23,0.27381,0.428571,0.896552,0.920635
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_022.pt,1,1,1.229652,0.09,0.13,0.22619,0.297619,0.875789,0.94246
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_023.pt,1,1,1.628071,0.19,0.21,0.380952,0.404762,0.892704,0.924603
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_024.pt,1,1,1.681431,0.11,0.2,0.27381,0.392857,0.890792,0.926587
25,epoch_025.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_025.pt,1,1,1.560301,0.17,0.21,0.392857,0.440476,0.898488,0.918651
26,epoch_026.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_026.pt,1,1,1.755405,0.32,0.41,0.392857,0.511905,0.910284,0.906746
27,epoch_027.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_027.pt,1,1,1.694841,0.2,0.26,0.380952,0.428571,0.896552,0.920635
28,epoch_028.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_028.pt,1,1,1.800618,0.11,0.16,0.285714,0.369048,0.886994,0.930556
29,epoch_029.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_029.pt,1,1,1.636789,0.07,0.11,0.25,0.357143,0.885106,0.93254
