experiment_id,signal,bucket,bucket_rank_start,bucket_rank_end,setting_name,candidate_scores_csv,metadata_json,n_unique,n_replay
R-Q1,R,Q1,1,50,r_q1_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\R-Q1_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\R-Q1_bucket_metadata.json,50,151
R-Q2,R,Q2,51,100,r_q2_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\R-Q2_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\R-Q2_bucket_metadata.json,50,151
R-Q3,R,Q3,101,150,r_q3_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\R-Q3_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\R-Q3_bucket_metadata.json,50,151
R-Q4,R,Q4,151,200,r_q4_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\R-Q4_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\R-Q4_bucket_metadata.json,50,151
R-Q5,R,Q5,201,250,r_q5_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\R-Q5_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\R-Q5_bucket_metadata.json,50,151
C-Q1,C,Q1,1,50,c_q1_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\C-Q1_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\C-Q1_bucket_metadata.json,50,151
C-Q2,C,Q2,51,100,c_q2_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\C-Q2_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\C-Q2_bucket_metadata.json,50,151
C-Q3,C,Q3,101,150,c_q3_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\C-Q3_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\C-Q3_bucket_metadata.json,50,151
C-Q4,C,Q4,151,200,c_q4_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\C-Q4_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\C-Q4_bucket_metadata.json,50,151
C-Q5,C,Q5,201,250,c_q5_bucket_uniform151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\experiments\C-Q5_candidate_scores.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_bucket_pilot\score_inputs\metadata\C-Q5_bucket_metadata.json,50,151
