image_id,img_rel_path,pool_rank,pool_score_anchor,embedding_index,calibrated_p,tau_anchor_label,tau_anchor_value,tta_side_consistency,tta_logit_variance,R,C,D_raw,D
Normal_00467510,train/Normal/00467510.png,1,0.978027,6314,0.772191,tau_r990,0.31,1.0,0.044542,0.0,0.340816,0.961452,0.733924
Normal_00329365,train/Normal/00329365.png,2,0.953613,5859,0.803752,tau_r990,0.31,1.0,0.028638,0.0,0.500537,0.963821,0.762608
Normal_00149587,train/Normal/00149587.png,3,0.923828,5548,0.765848,tau_r990,0.31,1.0,0.064799,0.0,0.20889,0.969593,0.832478
Normal_00130666,train/Normal/00130666.png,4,0.904297,5495,0.558113,tau_r990,0.31,1.0,0.038144,0.000256,0.397803,0.969008,0.825395
Normal_00160652,train/Normal/00160652.png,5,0.898926,5568,0.859083,tau_r990,0.31,1.0,0.021318,0.0,0.597395,0.967839,0.811244
Normal_00144495,train/Normal/00144495.png,6,0.898438,5539,0.886571,tau_r990,0.31,1.0,0.119208,0.0,0.056089,0.968694,0.821598
Normal_00323059,train/Normal/00323059.png,7,0.89209,5832,0.780603,tau_r990,0.31,1.0,0.10887,0.0,0.072008,0.950398,0.600111
Normal_00505638,train/Normal/00505638.png,8,0.886719,6426,0.823072,tau_r990,0.31,1.0,0.019534,0.0,0.623714,0.96507,0.777725
Normal_00021678,train/Normal/00021678.png,9,0.868164,5453,0.735438,tau_r990,0.31,1.0,0.017872,1e-06,0.649275,0.906264,0.065818
Normal_00022521,train/Normal/00022521.png,10,0.854492,5456,0.669613,tau_r990,0.31,1.0,0.012179,6e-06,0.745037,0.937554,0.444613
Normal_00292889,train/Normal/00292889.png,11,0.851074,5706,0.69364,tau_r990,0.31,1.0,0.01759,3e-06,0.653714,0.93465,0.409466
Normal_00375607,train/Normal/00375607.png,12,0.848633,6060,0.827412,tau_r990,0.31,1.0,0.113597,0.0,0.064234,0.952066,0.620306
Normal_00500159,train/Normal/00500159.png,13,0.84668,6416,0.976645,tau_r990,0.31,1.0,0.026241,0.0,0.530388,0.963824,0.762644
Normal_00019908,train/Normal/00019908.png,14,0.82666,5449,0.527028,tau_r990,0.31,1.0,0.002508,0.000721,0.941191,0.966666,0.797051
Normal_00431431,train/Normal/00431431.png,15,0.823242,6215,0.824379,tau_r990,0.31,1.0,0.008727,0.0,0.809856,0.966568,0.795857
Normal_00314643,train/Normal/00314643.png,16,0.793457,5772,0.661711,tau_r990,0.31,1.0,0.030787,8e-06,0.475206,0.972252,0.864666
Normal_00405652,train/Normal/00405652.png,17,0.789062,6147,0.703977,tau_r990,0.31,1.0,0.173641,2e-06,0.015052,0.957502,0.686108
Normal_00397824,train/Normal/00397824.png,18,0.782227,6120,0.964969,tau_r990,0.31,1.0,0.051737,0.0,0.286422,0.936651,0.433681
Normal_00421443,train/Normal/00421443.png,19,0.781738,6198,0.622227,tau_r990,0.31,1.0,0.075997,3e-05,0.159364,0.955485,0.661695
Normal_00161664,train/Normal/00161664.png,20,0.773438,5570,0.664608,tau_r990,0.31,1.0,0.00689,7e-06,0.846618,0.971751,0.858609
Normal_00317919,train/Normal/00317919.png,21,0.752441,5794,0.737935,tau_r990,0.31,1.0,0.083027,1e-06,0.134465,0.968556,0.819927
Normal_00288653,train/Normal/00288653.png,22,0.735352,5692,0.642994,tau_r990,0.31,1.0,0.00727,1.5e-05,0.838879,0.972325,0.865552
Normal_00281638,train/Normal/00281638.png,23,0.73291,5661,0.591337,tau_r990,0.31,1.0,0.005666,8.5e-05,0.872035,0.965768,0.786179
Normal_00022588,train/Normal/00022588.png,24,0.731934,5457,0.553232,tau_r990,0.31,1.0,0.081925,0.000301,0.138094,0.907355,0.079027
Normal_00348831,train/Normal/00348831.png,25,0.712402,5925,0.674703,tau_r990,0.31,1.0,0.056499,5e-06,0.255286,0.972371,0.866117
Normal_00350801,train/Normal/00350801.png,26,0.693359,5935,0.773486,tau_r990,0.31,1.0,0.015948,0.0,0.680176,0.973408,0.878667
Normal_00300113,train/Normal/00300113.png,27,0.683594,5735,0.87663,tau_r990,0.31,1.0,0.966663,0.0,0.0,0.97501,0.898056
Normal_00458420,train/Normal/00458420.png,28,0.675781,6289,0.814632,tau_r990,0.31,1.0,0.101474,0.0,0.0861,0.96879,0.822759
Normal_00388181,train/Normal/00388181.png,29,0.674805,6095,0.839097,tau_r990,0.31,1.0,0.178265,0.0,0.01346,0.961419,0.733532
Normal_00414024,train/Normal/00414024.png,30,0.65918,6178,0.494738,tau_r990,0.31,1.0,0.040741,0.002117,0.373604,0.975392,0.902689
Normal_00453020,train/Normal/00453020.png,31,0.64502,6275,0.466202,tau_r990,0.31,1.0,0.086569,0.005479,0.123434,0.982106,0.983968
Normal_00314789,train/Normal/00314789.png,32,0.63916,5773,0.415471,tau_r990,0.31,1.0,0.1824,0.029727,0.01218,0.972364,0.866027
Normal_00365492,train/Normal/00365492.png,33,0.633789,5996,0.663497,tau_r990,0.31,1.0,0.323946,8e-06,0.000398,0.973495,0.879715
Normal_00347413,train/Normal/00347413.png,34,0.631348,5921,0.546493,tau_r990,0.31,1.0,0.04266,0.000377,0.356674,0.900827,0.0
Normal_00359446,train/Normal/00359446.png,35,0.623535,5968,0.660694,tau_r990,0.31,1.0,0.004598,8e-06,0.894835,0.971962,0.861164
Normal_00449921,train/Normal/00449921.png,36,0.621582,6264,0.5414,tau_r990,0.31,0.8,0.414239,0.000447,3.6e-05,0.976711,0.918655
Normal_00437560,train/Normal/00437560.png,37,0.604004,6223,0.759712,tau_r990,0.31,1.0,0.032697,0.0,0.45377,0.953396,0.636401
Normal_00022864,train/Normal/00022864.png,38,0.600586,5458,0.660103,tau_r990,0.31,1.0,0.041336,9e-06,0.368271,0.968821,0.823138
Normal_00141992,train/Normal/00141992.png,39,0.594238,5532,0.546359,tau_r990,0.31,1.0,0.054289,0.000379,0.269291,0.955623,0.663358
Normal_00339405,train/Normal/00339405.png,40,0.59375,5898,0.539395,tau_r990,0.31,1.0,0.060022,0.000478,0.234451,0.973208,0.876243
Normal_00160245,train/Normal/00160245.png,41,0.59082,5566,0.565898,tau_r990,0.31,1.0,0.002291,0.000197,0.94614,0.945497,0.540779
Normal_00351805,train/Normal/00351805.png,42,0.588867,5940,0.43025,tau_r990,0.31,1.0,0.003383,0.018163,0.921498,0.956826,0.67792
Normal_00022239,train/Normal/00022239.png,43,0.572754,5455,0.528619,tau_r990,0.31,1.0,0.023931,0.000684,0.560838,0.951285,0.610846
Normal_00341441,train/Normal/00341441.png,44,0.571777,5905,0.594772,tau_r990,0.31,1.0,0.058263,7.5e-05,0.244632,0.979959,0.957978
Normal_00331791,train/Normal/00331791.png,45,0.571289,5864,0.691189,tau_r990,0.31,1.0,0.058172,3e-06,0.245171,0.959753,0.713354
