setting_id,setting_name,signal,bucket,bucket_rank,image_id,img_rel_path,pool_rank,calibrated_p,R,C,D,S,pi,duplication_count,selected_flag
C-Q2,c_q2_bucket_uniform151,C,Q2,1,Normal_00341812,train/Normal/00341812.png,76,0.290944,0.694328,0.749933,0.945661,0.749933,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,2,Normal_00022521,train/Normal/00022521.png,10,0.669613,6e-06,0.745037,0.444613,0.745037,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,3,Normal_00488120,train/Normal/00488120.png,242,0.304268,0.82608,0.740085,0.906757,0.740085,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,4,Normal_00405592,train/Normal/00405592.png,107,0.395957,0.05697,0.739495,0.793964,0.739495,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,5,Normal_00407075,train/Normal/00407075.png,243,0.432729,0.016723,0.723217,0.628271,0.723217,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,6,Normal_00167010,train/Normal/00167010.png,249,0.257681,0.475221,0.723188,0.821709,0.723188,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,7,Normal_00038009,train/Normal/00038009.png,79,0.500921,0.001722,0.712893,0.939765,0.712893,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,8,Normal_00439640,train/Normal/00439640.png,155,0.30465,0.836654,0.709529,0.47183,0.709529,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,9,Normal_00394189,train/Normal/00394189.png,148,0.710671,2e-06,0.708325,0.200044,0.708325,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,10,Normal_00353710,train/Normal/00353710.png,201,0.443924,0.011515,0.704978,0.986502,0.704978,0.02,3,1
C-Q2,c_q2_bucket_uniform151,C,Q2,11,Normal_00020509,train/Normal/00020509.png,151,0.374413,0.116824,0.696612,0.889974,0.696612,0.02,3,1
