setting_id,setting_name,signal,bucket,bucket_rank,image_id,img_rel_path,pool_rank,calibrated_p,R,C,D,S,pi,duplication_count,selected_flag
D-Q5,d_q5_bucket_uniform151,D,Q5,1,Normal_00405652,train/Normal/00405652.png,17,0.703977,2e-06,0.015052,0.686108,0.686108,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,2,Normal_00315540,train/Normal/00315540.png,119,0.365102,0.159337,0.794177,0.684043,0.684043,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,3,Normal_00351805,train/Normal/00351805.png,42,0.43025,0.018163,0.921498,0.67792,0.67792,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,4,Normal_00008225,train/Normal/00008225.png,219,0.627895,2.5e-05,0.07007,0.668186,0.668186,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,5,Normal_00141992,train/Normal/00141992.png,39,0.546359,0.000379,0.269291,0.663358,0.663358,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,6,Normal_00421443,train/Normal/00421443.png,19,0.622227,3e-05,0.159364,0.661695,0.661695,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,7,Normal_00464987,train/Normal/00464987.png,125,0.426378,0.020666,0.902479,0.654965,0.654965,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,8,Normal_00163562,train/Normal/00163562.png,127,0.366669,0.151227,0.501619,0.651966,0.651966,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,9,Normal_00018652,train/Normal/00018652.png,123,0.386211,0.078839,0.264084,0.646283,0.646283,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,10,Normal_00320225,train/Normal/00320225.png,246,0.273844,0.814473,0.196009,0.638883,0.638883,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,11,Normal_00437560,train/Normal/00437560.png,37,0.759712,0.0,0.45377,0.636401,0.636401,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,12,Normal_00407075,train/Normal/00407075.png,243,0.432729,0.016723,0.723217,0.628271,0.628271,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,13,Normal_00491918,train/Normal/00491918.png,184,0.274276,0.826299,0.35553,0.625892,0.625892,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,14,Normal_00375607,train/Normal/00375607.png,12,0.827412,0.0,0.064234,0.620306,0.620306,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,15,Normal_00411687,train/Normal/00411687.png,227,0.225897,0.164735,0.658646,0.619413,0.619413,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,16,Normal_00313631,train/Normal/00313631.png,196,0.266361,0.634674,0.665676,0.615555,0.615555,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,17,Normal_00515962,train/Normal/00515962.png,247,0.37686,0.107673,0.931979,0.611754,0.611754,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,18,Normal_00022239,train/Normal/00022239.png,43,0.528619,0.000684,0.560838,0.610846,0.610846,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,19,Normal_00298724,train/Normal/00298724.png,213,0.361314,0.180781,0.391029,0.600644,0.600644,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,20,Normal_00323059,train/Normal/00323059.png,7,0.780603,0.0,0.072008,0.600111,0.600111,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,21,Normal_00371952,train/Normal/00371952.png,202,0.450412,0.009275,0.05422,0.599802,0.599802,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,22,Normal_00335278,train/Normal/00335278.png,168,0.505788,0.001464,0.962398,0.594393,0.594393,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,23,Normal_00146294,train/Normal/00146294.png,209,0.373491,0.120467,0.040133,0.588357,0.588357,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,24,Normal_00497455,train/Normal/00497455.png,240,0.204924,0.081876,0.0,0.582544,0.582544,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,25,Normal_00431168,train/Normal/00431168.png,133,0.701231,2e-06,0.403486,0.569517,0.569517,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,26,Normal_00340160,train/Normal/00340160.png,49,0.488947,0.002567,0.693705,0.555144,0.555144,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,27,Normal_00271057,train/Normal/00271057.png,206,0.074712,0.001067,0.068291,0.548652,0.548652,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,28,Normal_00005623,train/Normal/00005623.png,161,0.309186,0.973244,0.341813,0.546892,0.546892,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,29,Normal_00160245,train/Normal/00160245.png,41,0.565898,0.000197,0.94614,0.540779,0.540779,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,30,Normal_00361813,train/Normal/00361813.png,248,0.348395,0.278087,0.858257,0.52863,0.52863,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,31,Normal_00499653,train/Normal/00499653.png,57,0.907315,0.0,0.554156,0.526348,0.526348,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,32,Normal_00351117,train/Normal/00351117.png,182,0.364473,0.162711,0.361126,0.484849,0.484849,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,33,Normal_00439640,train/Normal/00439640.png,155,0.30465,0.836654,0.709529,0.47183,0.47183,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,34,Normal_00140153,train/Normal/00140153.png,171,0.329428,0.523299,0.01246,0.466009,0.466009,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,35,Normal_00002861,train/Normal/00002861.png,121,0.444737,0.011207,0.811129,0.451568,0.451568,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,36,Normal_00022521,train/Normal/00022521.png,10,0.669613,6e-06,0.745037,0.444613,0.444613,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,37,Normal_00397824,train/Normal/00397824.png,18,0.964969,0.0,0.286422,0.433681,0.433681,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,38,Normal_00292889,train/Normal/00292889.png,11,0.69364,3e-06,0.653714,0.409466,0.409466,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,39,Normal_00319692,train/Normal/00319692.png,216,0.224242,0.155893,0.52173,0.388052,0.388052,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,40,Normal_00382971,train/Normal/00382971.png,56,0.432729,0.016723,0.867516,0.342908,0.342908,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,41,Normal_00158209,train/Normal/00158209.png,48,0.894282,0.0,5e-06,0.32979,0.32979,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,42,Normal_00375408,train/Normal/00375408.png,174,0.369474,0.137727,0.142681,0.324073,0.324073,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,43,Normal_00509588,train/Normal/00509588.png,102,0.464073,0.005883,0.037737,0.32195,0.32195,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,44,Normal_00018926,train/Normal/00018926.png,64,0.490527,0.002436,0.347544,0.254574,0.254574,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,45,Normal_00134593,train/Normal/00134593.png,194,0.371024,0.130793,0.005097,0.232506,0.232506,0.02,4,1
D-Q5,d_q5_bucket_uniform151,D,Q5,46,Normal_00394189,train/Normal/00394189.png,148,0.710671,2e-06,0.708325,0.200044,0.200044,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,47,Normal_00337016,train/Normal/00337016.png,185,0.300421,0.726661,0.999928,0.154767,0.154767,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,48,Normal_00022588,train/Normal/00022588.png,24,0.553232,0.000301,0.138094,0.079027,0.079027,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,49,Normal_00021678,train/Normal/00021678.png,9,0.735438,1e-06,0.649275,0.065818,0.065818,0.02,3,1
D-Q5,d_q5_bucket_uniform151,D,Q5,50,Normal_00347413,train/Normal/00347413.png,34,0.546493,0.000377,0.356674,0.0,0.0,0.02,3,1
