setting_id,setting_name,signal,bucket,bucket_rank,image_id,img_rel_path,pool_rank,calibrated_p,R,C,D,S,pi,duplication_count,selected_flag
G0,g0_uniform_random_pool250,baseline,G0,1,Normal_00467510,train/Normal/00467510.png,1,0.772191,0.0,0.340816,0.733924,0.978027,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,2,Normal_00329365,train/Normal/00329365.png,2,0.803752,0.0,0.500537,0.762608,0.953613,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,3,Normal_00130666,train/Normal/00130666.png,4,0.558113,0.000256,0.397803,0.825395,0.904297,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,4,Normal_00144495,train/Normal/00144495.png,6,0.886571,0.0,0.056089,0.821598,0.898438,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,5,Normal_00323059,train/Normal/00323059.png,7,0.780603,0.0,0.072008,0.600111,0.89209,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,6,Normal_00375607,train/Normal/00375607.png,12,0.827412,0.0,0.064234,0.620306,0.848633,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,7,Normal_00500159,train/Normal/00500159.png,13,0.976645,0.0,0.530388,0.762644,0.84668,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,8,Normal_00431431,train/Normal/00431431.png,15,0.824379,0.0,0.809856,0.795857,0.823242,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,9,Normal_00405652,train/Normal/00405652.png,17,0.703977,2e-06,0.015052,0.686108,0.789062,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,10,Normal_00397824,train/Normal/00397824.png,18,0.964969,0.0,0.286422,0.433681,0.782227,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,11,Normal_00421443,train/Normal/00421443.png,19,0.622227,3e-05,0.159364,0.661695,0.781738,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,12,Normal_00288653,train/Normal/00288653.png,22,0.642994,1.5e-05,0.838879,0.865552,0.735352,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,13,Normal_00022588,train/Normal/00022588.png,24,0.553232,0.000301,0.138094,0.079027,0.731934,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,14,Normal_00300113,train/Normal/00300113.png,27,0.87663,0.0,0.0,0.898056,0.683594,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,15,Normal_00458420,train/Normal/00458420.png,28,0.814632,0.0,0.0861,0.822759,0.675781,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,16,Normal_00388181,train/Normal/00388181.png,29,0.839097,0.0,0.01346,0.733532,0.674805,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,17,Normal_00414024,train/Normal/00414024.png,30,0.494738,0.002117,0.373604,0.902689,0.65918,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,18,Normal_00453020,train/Normal/00453020.png,31,0.466202,0.005479,0.123434,0.983968,0.64502,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,19,Normal_00314789,train/Normal/00314789.png,32,0.415471,0.029727,0.01218,0.866027,0.63916,0.004,1,1
G0,g0_uniform_random_pool250,baseline,G0,20,Normal_00365492,train/Normal/00365492.png,33,0.663497,8e-06,0.000398,0.879715,0.633789,0.004,1,1
