setting_id,setting_name,signal,bucket,bucket_rank,image_id,img_rel_path,pool_rank,calibrated_p,R,C,D,S,pi,duplication_count,selected_flag
R-Q5,r_q5_bucket_uniform151,R,Q5,1,Normal_00399982,train/Normal/00399982.png,153,0.669439,6e-06,0.291491,0.787914,6e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,2,Normal_00348831,train/Normal/00348831.png,25,0.674703,5e-06,0.255286,0.866117,5e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,3,Normal_00384016,train/Normal/00384016.png,50,0.675412,5e-06,0.092279,0.919335,5e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,4,Normal_00444256,train/Normal/00444256.png,140,0.680152,4e-06,0.010848,0.958561,4e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,5,Normal_00292889,train/Normal/00292889.png,11,0.69364,3e-06,0.653714,0.409466,3e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,6,Normal_00331791,train/Normal/00331791.png,45,0.691189,3e-06,0.245171,0.713354,3e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,7,Normal_00015075,train/Normal/00015075.png,178,0.692035,3e-06,0.454264,0.967102,3e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,8,Normal_00405652,train/Normal/00405652.png,17,0.703977,2e-06,0.015052,0.686108,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,9,Normal_00368992,train/Normal/00368992.png,73,0.707851,2e-06,0.015187,0.760014,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,10,Normal_00431168,train/Normal/00431168.png,133,0.701231,2e-06,0.403486,0.569517,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,11,Normal_00457555,train/Normal/00457555.png,136,0.705063,2e-06,0.948956,0.838255,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,12,Normal_00394189,train/Normal/00394189.png,148,0.710671,2e-06,0.708325,0.200044,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,13,Normal_00484751,train/Normal/00484751.png,156,0.70378,2e-06,0.55496,0.937632,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,14,Normal_00320863,train/Normal/00320863.png,170,0.702502,2e-06,0.923929,0.836474,2e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,15,Normal_00021678,train/Normal/00021678.png,9,0.735438,1e-06,0.649275,0.065818,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,16,Normal_00317919,train/Normal/00317919.png,21,0.737935,1e-06,0.134465,0.819927,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,17,Normal_00261378,train/Normal/00261378.png,51,0.740462,1e-06,0.333701,0.852346,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,18,Normal_00397769,train/Normal/00397769.png,54,0.73977,1e-06,0.158022,0.932227,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,19,Normal_00369033,train/Normal/00369033.png,75,0.730086,1e-06,0.005396,0.872795,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,20,Normal_00029682,train/Normal/00029682.png,110,0.713012,1e-06,0.016549,0.838944,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,21,Normal_00416011,train/Normal/00416011.png,143,0.741737,1e-06,0.110466,0.955301,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,22,Normal_00491599,train/Normal/00491599.png,158,0.740867,1e-06,0.154626,0.981739,1e-06,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,23,Normal_00467510,train/Normal/00467510.png,1,0.772191,0.0,0.340816,0.733924,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,24,Normal_00329365,train/Normal/00329365.png,2,0.803752,0.0,0.500537,0.762608,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,25,Normal_00149587,train/Normal/00149587.png,3,0.765848,0.0,0.20889,0.832478,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,26,Normal_00160652,train/Normal/00160652.png,5,0.859083,0.0,0.597395,0.811244,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,27,Normal_00144495,train/Normal/00144495.png,6,0.886571,0.0,0.056089,0.821598,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,28,Normal_00323059,train/Normal/00323059.png,7,0.780603,0.0,0.072008,0.600111,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,29,Normal_00505638,train/Normal/00505638.png,8,0.823072,0.0,0.623714,0.777725,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,30,Normal_00375607,train/Normal/00375607.png,12,0.827412,0.0,0.064234,0.620306,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,31,Normal_00500159,train/Normal/00500159.png,13,0.976645,0.0,0.530388,0.762644,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,32,Normal_00431431,train/Normal/00431431.png,15,0.824379,0.0,0.809856,0.795857,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,33,Normal_00397824,train/Normal/00397824.png,18,0.964969,0.0,0.286422,0.433681,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,34,Normal_00350801,train/Normal/00350801.png,26,0.773486,0.0,0.680176,0.878667,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,35,Normal_00300113,train/Normal/00300113.png,27,0.87663,0.0,0.0,0.898056,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,36,Normal_00458420,train/Normal/00458420.png,28,0.814632,0.0,0.0861,0.822759,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,37,Normal_00388181,train/Normal/00388181.png,29,0.839097,0.0,0.01346,0.733532,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,38,Normal_00437560,train/Normal/00437560.png,37,0.759712,0.0,0.45377,0.636401,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,39,Normal_00158209,train/Normal/00158209.png,48,0.894282,0.0,5e-06,0.32979,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,40,Normal_00499653,train/Normal/00499653.png,57,0.907315,0.0,0.554156,0.526348,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,41,Normal_00462787,train/Normal/00462787.png,58,0.747693,0.0,0.015785,0.88561,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,42,Normal_00344448,train/Normal/00344448.png,68,0.78654,0.0,0.914665,0.984704,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,43,Normal_00479528,train/Normal/00479528.png,74,0.817243,0.0,0.519453,0.837139,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,44,Normal_00380312,train/Normal/00380312.png,101,0.771987,0.0,0.000311,0.881019,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,45,Normal_00436092,train/Normal/00436092.png,105,0.907414,0.0,0.09519,0.87857,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,46,Normal_00429058,train/Normal/00429058.png,139,0.805893,0.0,0.075566,0.879116,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,47,Normal_00344240,train/Normal/00344240.png,147,0.755562,0.0,0.004612,0.888295,0.0,0.02,4,1
R-Q5,r_q5_bucket_uniform151,R,Q5,48,Normal_00513364,train/Normal/00513364.png,160,0.755375,0.0,0.000304,0.955997,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,49,Normal_00138046,train/Normal/00138046.png,190,0.851851,0.0,0.00039,0.733085,0.0,0.02,3,1
R-Q5,r_q5_bucket_uniform151,R,Q5,50,Normal_00296371,train/Normal/00296371.png,222,0.76956,0.0,0.179038,0.902817,0.0,0.02,3,1
