epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_001.pt,1,1,1.860162,0.19,0.19,0.52381,0.52381,0.912664,0.90873
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_002.pt,1,1,2.039536,0.14,0.16,0.47619,0.547619,0.9163,0.900794
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_003.pt,1,1,1.915976,0.1,0.13,0.416667,0.535714,0.914286,0.902778
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_004.pt,1,1,1.950672,0.24,0.3,0.380952,0.452381,0.900433,0.916667
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_005.pt,1,1,1.156575,0.17,0.19,0.357143,0.380952,0.888889,0.928571
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_006.pt,1,1,1.534694,0.13,0.16,0.261905,0.345238,0.883227,0.934524
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_007.pt,1,1,1.572929,0.26,0.3,0.464286,0.47619,0.904555,0.914683
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_008.pt,1,1,1.414813,0.11,0.16,0.345238,0.416667,0.894624,0.922619
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_009.pt,1,1,1.852583,0.25,0.26,0.333333,0.416667,0.89485,0.924603
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_010.pt,1,1,1.089085,0.15,0.26,0.297619,0.47619,0.904348,0.912698
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_011.pt,1,1,1.600317,0.06,0.2,0.22619,0.488095,0.906318,0.910714
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_012.pt,1,1,1.51747,0.12,0.18,0.380952,0.52381,0.912281,0.904762
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_013.pt,1,1,1.655958,0.13,0.23,0.25,0.47619,0.904348,0.912698
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_014.pt,1,1,1.256667,0.12,0.15,0.321429,0.369048,0.886994,0.930556
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_015.pt,1,1,1.601045,0.15,0.19,0.345238,0.380952,0.888889,0.928571
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_016.pt,1,1,1.672468,0.06,0.12,0.190476,0.297619,0.875789,0.94246
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot_machine_b\yolo11m_gate2_formal_bucket_c_q4_200ep\weights\epoch_017.pt,1,1,2.083239,0.1,0.16,0.261905,0.416667,0.894624,0.922619
