epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_001.pt,0.675033,0.16,0.27,0.142857,0.214286,0.863071,0.956349,12,1,18,4
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_002.pt,1.437632,0.31,0.31,0.047619,0.047619,0.839679,0.990079,4,1,4,1
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_003.pt,0.931694,0.49,0.51,0.178571,0.238095,0.866944,0.954365,15,2,20,3
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_004.pt,1.230527,0.46,0.5,0.107143,0.202381,0.861284,0.958333,9,2,17,4
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_005.pt,0.783406,0.26,0.28,0.190476,0.202381,0.86157,0.960317,16,2,17,3
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_006.pt,0.956936,0.35,0.4,0.142857,0.190476,0.859794,0.962302,12,2,16,3
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_007.pt,1.070571,0.25,0.27,0.154762,0.238095,0.866944,0.954365,13,2,20,3
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_008.pt,1.288071,0.52,0.54,0.02381,0.059524,0.840404,0.982143,2,1,5,4
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_009.pt,0.935763,0.38,0.44,0.035714,0.166667,0.855967,0.964286,3,2,14,4
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_010.pt,1.028616,0.26,0.34,0.190476,0.25,0.868476,0.950397,16,2,21,4
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_011.pt,1.315817,0.31,0.33,0.190476,0.202381,0.86157,0.960317,16,2,17,3
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_012.pt,1.167606,0.28,0.33,0.130952,0.22619,0.864865,0.954365,11,2,19,4
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_013.pt,0.756704,0.18,0.24,0.119048,0.178571,0.857732,0.962302,10,2,15,4
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_014.pt,1.19042,0.32,0.43,0.190476,0.297619,0.875789,0.94246,16,2,25,4
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_015.pt,1.198641,0.3,0.36,0.142857,0.238095,0.866667,0.952381,12,2,20,4
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_016.pt,1.234709,0.27,0.29,0.261905,0.27381,0.872117,0.946429,22,2,23,4
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_017.pt,0.90023,0.23,0.23,0.202381,0.202381,0.861856,0.962302,17,2,17,2
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_018.pt,1.118367,0.4,0.44,0.261905,0.27381,0.872117,0.946429,22,2,23,4
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_019.pt,1.220284,0.38,0.4,0.25,0.27381,0.872117,0.946429,21,2,23,4
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_020.pt,1.001738,0.19,0.23,0.142857,0.22619,0.864865,0.954365,12,1,19,4
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_021.pt,1.036218,0.33,0.36,0.238095,0.285714,0.87395,0.944444,20,2,24,4
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_022.pt,1.231716,0.32,0.4,0.142857,0.25,0.868476,0.950397,12,2,21,4
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_023.pt,0.94733,0.11,0.15,0.119048,0.25,0.868476,0.950397,10,1,21,4
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_024.pt,1.004569,0.15,0.18,0.238095,0.261905,0.870293,0.948413,20,1,22,4
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_025.pt,1.056829,0.14,0.17,0.130952,0.214286,0.863071,0.956349,11,1,18,4
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_026.pt,0.914083,0.14,0.19,0.154762,0.22619,0.865145,0.956349,13,2,19,3
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_027.pt,1.035968,0.21,0.34,0.047619,0.214286,0.863071,0.956349,4,1,18,4
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_028.pt,0.949323,0.26,0.31,0.25,0.285714,0.874214,0.946429,21,2,24,3
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_029.pt,1.163853,0.36,0.42,0.261905,0.345238,0.883227,0.934524,22,2,29,4
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_030.pt,0.98177,0.14,0.16,0.166667,0.178571,0.857732,0.962302,14,2,15,4
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_031.pt,0.941622,0.21,0.28,0.27381,0.309524,0.877895,0.94246,23,1,26,3
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_032.pt,1.086259,0.24,0.31,0.27381,0.380952,0.888889,0.928571,23,1,32,4
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_033.pt,1.235646,0.33,0.41,0.202381,0.297619,0.87605,0.944444,17,2,25,3
34,epoch33.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_034.pt,1.002103,0.21,0.22,0.297619,0.309524,0.877895,0.94246,25,2,26,3
35,epoch34.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_035.pt,1.037786,0.2,0.2,0.285714,0.285714,0.874477,0.948413,24,2,24,2
36,epoch35.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_036.pt,0.953631,0.22,0.26,0.27381,0.285714,0.87395,0.944444,23,2,24,4
37,epoch36.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_037.pt,1.178603,0.11,0.24,0.130952,0.321429,0.879747,0.940476,11,1,27,3
38,epoch37.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_038.pt,1.146481,0.29,0.35,0.380952,0.440476,0.898488,0.918651,32,2,37,4
39,epoch38.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_039.pt,1.020891,0.18,0.28,0.190476,0.369048,0.886994,0.930556,16,1,31,4
40,epoch39.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_040.pt,1.293662,0.09,0.22,0.059524,0.261905,0.870564,0.950397,5,2,22,3
41,epoch40.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_041.pt,1.187209,0.29,0.35,0.333333,0.416667,0.89485,0.924603,28,2,35,3
42,epoch41.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_042.pt,1.067286,0.31,0.41,0.369048,0.464286,0.902386,0.914683,31,2,39,4
43,epoch42.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_043.pt,0.997228,0.2,0.39,0.309524,0.5,0.908497,0.910714,26,2,42,3
44,epoch43.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_044.pt,1.185339,0.31,0.35,0.333333,0.380952,0.888889,0.928571,28,2,32,4
45,epoch44.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_045.pt,1.024706,0.23,0.32,0.452381,0.535714,0.914474,0.904762,38,2,45,3
46,epoch45.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_046.pt,1.118194,0.24,0.31,0.261905,0.321429,0.879747,0.940476,22,1,27,3
47,epoch46.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_047.pt,0.84376,0.14,0.17,0.285714,0.333333,0.881607,0.938492,24,1,28,3
48,epoch47.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_048.pt,0.939372,0.16,0.22,0.380952,0.464286,0.902386,0.914683,32,1,39,4
49,epoch48.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_049.pt,0.98984,0.24,0.28,0.392857,0.452381,0.900433,0.916667,33,2,38,4
