epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch0.pt,1.831939,0.15,0.22,0.440476,0.559524,0.918322,0.89881,37,2,47,4
2,epoch1.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch1.pt,1.90572,0.11,0.13,0.297619,0.357143,0.885106,0.93254,25,1,30,4
3,epoch2.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch2.pt,2.045941,0.24,0.31,0.285714,0.428571,0.896552,0.920635,24,2,36,4
4,epoch3.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch3.pt,1.305475,0.1,0.1,0.357143,0.357143,0.885593,0.936508,30,2,30,2
5,epoch4.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch4.pt,1.442275,0.3,0.32,0.404762,0.428571,0.896552,0.920635,34,2,36,4
6,epoch5.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch5.pt,1.481493,0.17,0.31,0.27381,0.464286,0.902386,0.914683,23,2,39,4
7,epoch6.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch6.pt,1.360803,0.14,0.23,0.27381,0.440476,0.898488,0.918651,23,2,37,4
8,epoch7.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch7.pt,1.648433,0.22,0.31,0.392857,0.5,0.908297,0.90873,33,2,42,4
9,epoch8.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch8.pt,1.326505,0.25,0.34,0.380952,0.440476,0.898488,0.918651,32,2,37,4
10,epoch9.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch9.pt,1.36364,0.13,0.22,0.142857,0.392857,0.890792,0.926587,12,2,33,4
11,epoch10.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch10.pt,1.396134,0.17,0.21,0.416667,0.511905,0.910284,0.906746,35,2,43,4
12,epoch11.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch11.pt,1.580836,0.2,0.25,0.357143,0.428571,0.896774,0.922619,30,2,36,3
13,epoch12.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch12.pt,1.465894,0.22,0.29,0.357143,0.452381,0.900648,0.918651,30,2,38,3
14,epoch13.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch13.pt,1.482902,0.17,0.21,0.369048,0.416667,0.894624,0.922619,31,2,35,4
15,epoch14.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch14.pt,1.780746,0.2,0.27,0.25,0.357143,0.885106,0.93254,21,2,30,4
16,epoch15.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch15.pt,1.3847,0.2,0.23,0.380952,0.428571,0.896552,0.920635,32,1,36,4
17,epoch16.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch16.pt,1.54404,0.06,0.08,0.214286,0.333333,0.881356,0.936508,18,1,28,4
18,epoch17.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\F-RT\weights\epoch17.pt,1.61996,0.23,0.27,0.345238,0.428571,0.896774,0.922619,29,2,36,3
