epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch0.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch0.pt,1,1,1.788429,0.13,0.16,0.416667,0.488095,0.906522,0.912698
2,epoch1.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch1.pt,1,1,1.815221,0.09,0.18,0.297619,0.488095,0.906318,0.910714
3,epoch2.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch2.pt,1,1,1.718868,0.2,0.27,0.380952,0.440476,0.898488,0.918651
4,epoch3.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch3.pt,1,1,1.580456,0.17,0.31,0.214286,0.404762,0.892704,0.924603
5,epoch4.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch4.pt,1,1,1.91777,0.22,0.26,0.309524,0.392857,0.890792,0.926587
6,epoch5.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch5.pt,1,1,1.327216,0.14,0.21,0.261905,0.428571,0.896552,0.920635
7,epoch6.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch6.pt,1,1,1.727084,0.13,0.21,0.309524,0.440476,0.898488,0.918651
8,epoch7.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch7.pt,1,1,1.636695,0.13,0.2,0.25,0.345238,0.883227,0.934524
9,epoch8.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch8.pt,1,1,1.791697,0.42,0.47,0.392857,0.452381,0.900433,0.916667
10,epoch9.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch9.pt,1,1,1.496841,0.09,0.12,0.190476,0.27381,0.872117,0.946429
11,epoch10.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch10.pt,1,1,1.42818,0.21,0.23,0.392857,0.428571,0.896552,0.920635
12,epoch11.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch11.pt,1,1,1.353393,0.16,0.2,0.297619,0.357143,0.885106,0.93254
13,epoch12.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch12.pt,1,1,1.468569,0.21,0.26,0.392857,0.440476,0.898488,0.918651
14,epoch13.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch13.pt,1,1,1.913274,0.16,0.2,0.25,0.309524,0.877637,0.940476
15,epoch14.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch14.pt,1,1,1.765705,0.18,0.26,0.345238,0.464286,0.902386,0.914683
16,epoch15.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch15.pt,1,1,1.85301,0.23,0.41,0.392857,0.535714,0.914286,0.902778
17,epoch16.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch16.pt,1,1,1.429106,0.15,0.17,0.416667,0.464286,0.902386,0.914683
18,epoch17.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch17.pt,1,1,1.597263,0.18,0.21,0.333333,0.404762,0.892704,0.924603
19,epoch18.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch18.pt,1,1,2.114086,0.12,0.33,0.27381,0.511905,0.910284,0.906746
20,epoch19.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch19.pt,1,1,2.086421,0.28,0.31,0.452381,0.5,0.908297,0.90873
21,epoch20.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch20.pt,1,1,1.583235,0.16,0.28,0.380952,0.47619,0.904348,0.912698
22,epoch21.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch21.pt,1,1,1.463882,0.22,0.27,0.357143,0.452381,0.900433,0.916667
23,epoch22.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch22.pt,1,1,1.629763,0.19,0.26,0.357143,0.416667,0.894624,0.922619
24,epoch23.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch23.pt,1,1,1.906132,0.24,0.25,0.488095,0.511905,0.91048,0.90873
25,epoch24.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch24.pt,1,1,2.100947,0.18,0.33,0.214286,0.416667,0.894624,0.922619
26,epoch25.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch25.pt,1,1,1.944914,0.12,0.19,0.166667,0.345238,0.883475,0.936508
27,epoch26.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch26.pt,1,1,2.128206,0.21,0.28,0.345238,0.452381,0.900433,0.916667
28,epoch27.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch27.pt,1,1,2.086022,0.24,0.31,0.321429,0.392857,0.890792,0.926587
29,epoch28.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch28.pt,1,1,1.946639,0.14,0.16,0.297619,0.321429,0.879747,0.940476
30,epoch29.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch29.pt,1,1,2.255451,0.15,0.23,0.238095,0.392857,0.890792,0.926587
31,epoch30.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch30.pt,1,1,1.990134,0.08,0.12,0.130952,0.27381,0.872117,0.946429
32,epoch31.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch31.pt,1,1,1.747686,0.22,0.27,0.488095,0.547619,0.9163,0.900794
33,epoch32.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch32.pt,1,1,2.186681,0.15,0.2,0.309524,0.416667,0.894624,0.922619
34,epoch33.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch33.pt,1,1,2.122063,0.23,0.28,0.345238,0.428571,0.896552,0.920635
35,epoch34.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch34.pt,1,1,1.721802,0.09,0.17,0.285714,0.464286,0.902386,0.914683
36,epoch35.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch35.pt,1,1,1.870752,0.21,0.24,0.440476,0.52381,0.912473,0.906746
37,epoch36.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch36.pt,1,1,2.074918,0.13,0.17,0.357143,0.452381,0.900648,0.918651
38,epoch37.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch37.pt,1,1,1.913335,0.14,0.19,0.404762,0.452381,0.900648,0.918651
39,epoch38.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch38.pt,1,1,2.268587,0.23,0.26,0.369048,0.380952,0.889126,0.930556
40,epoch39.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch39.pt,1,1,2.538235,0.23,0.24,0.321429,0.357143,0.88535,0.934524
41,epoch40.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch40.pt,1,1,2.496229,0.28,0.38,0.392857,0.488095,0.906318,0.910714
42,epoch41.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch41.pt,1,1,2.286309,0.18,0.23,0.309524,0.357143,0.885106,0.93254
43,epoch42.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch42.pt,1,1,2.224739,0.17,0.21,0.321429,0.392857,0.890792,0.926587
44,epoch43.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch43.pt,1,1,2.538947,0.32,0.38,0.404762,0.488095,0.906318,0.910714
45,epoch44.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch44.pt,1,1,2.264744,0.13,0.15,0.285714,0.321429,0.879493,0.938492
46,epoch45.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch45.pt,1,1,2.370745,0.18,0.31,0.380952,0.535714,0.914286,0.902778
47,epoch46.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch46.pt,1,1,2.072792,0.27,0.3,0.511905,0.535714,0.914286,0.902778
48,epoch47.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch47.pt,1,1,2.35522,0.22,0.3,0.488095,0.535714,0.914286,0.902778
49,epoch48.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch48.pt,1,1,2.548385,0.24,0.28,0.452381,0.511905,0.91048,0.90873
