epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch0.pt,1.856739,0.15,0.22,0.464286,0.535714,0.914286,0.902778,39,2,45,4
2,epoch1.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch1.pt,1.829936,0.15,0.17,0.47619,0.488095,0.906318,0.910714,40,2,41,4
3,epoch2.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch2.pt,1.99637,0.21,0.21,0.261905,0.261905,0.870833,0.952381,22,2,22,2
4,epoch3.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch3.pt,1.442984,0.21,0.27,0.333333,0.404762,0.892704,0.924603,28,2,34,4
5,epoch4.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch4.pt,1.501901,0.3,0.32,0.404762,0.428571,0.896774,0.922619,34,2,36,3
6,epoch5.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch5.pt,1.344103,0.1,0.12,0.321429,0.345238,0.883475,0.936508,27,2,29,3
7,epoch6.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch6.pt,1.431433,0.1,0.17,0.190476,0.369048,0.887234,0.93254,16,2,31,3
8,epoch7.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch7.pt,1.399401,0.06,0.14,0.285714,0.464286,0.902386,0.914683,24,2,39,4
9,epoch8.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch8.pt,1.175743,0.12,0.17,0.380952,0.464286,0.902386,0.914683,32,2,39,4
10,epoch9.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch9.pt,1.602272,0.06,0.12,0.071429,0.27381,0.872117,0.946429,6,2,23,4
11,epoch10.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch10.pt,1.861497,0.26,0.3,0.357143,0.392857,0.890792,0.926587,30,2,33,4
12,epoch11.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch11.pt,1.351647,0.13,0.24,0.416667,0.559524,0.918322,0.89881,35,2,47,4
13,epoch12.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch12.pt,1.484058,0.24,0.27,0.333333,0.369048,0.887234,0.93254,28,1,31,3
14,epoch13.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch13.pt,1.566283,0.25,0.31,0.440476,0.488095,0.906318,0.910714,37,2,41,4
15,epoch14.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch14.pt,1.696382,0.17,0.34,0.380952,0.535714,0.914286,0.902778,32,2,45,4
16,epoch15.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch15.pt,1.318282,0.14,0.15,0.464286,0.488095,0.906318,0.910714,39,1,41,4
17,epoch16.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch16.pt,1.542815,0.19,0.22,0.440476,0.52381,0.912281,0.904762,37,2,44,4
18,epoch17.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch17.pt,1.735234,0.21,0.27,0.416667,0.464286,0.902386,0.914683,35,0,39,4
19,epoch18.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch18.pt,1.847753,0.17,0.19,0.440476,0.488095,0.906522,0.912698,37,2,41,3
20,epoch19.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch19.pt,1.900207,0.1,0.12,0.297619,0.380952,0.889126,0.930556,25,2,32,3
21,epoch20.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch20.pt,1.882641,0.21,0.22,0.416667,0.428571,0.896774,0.922619,35,2,36,3
22,epoch21.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch21.pt,1.626269,0.17,0.21,0.333333,0.369048,0.886994,0.930556,28,2,31,4
23,epoch22.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch22.pt,1.542762,0.19,0.25,0.404762,0.547619,0.9163,0.900794,34,2,46,4
24,epoch23.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch23.pt,1.731279,0.14,0.16,0.285714,0.333333,0.881607,0.938492,24,2,28,3
25,epoch24.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch24.pt,2.215689,0.27,0.34,0.333333,0.47619,0.904348,0.912698,28,2,40,4
26,epoch25.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch25.pt,1.688169,0.24,0.27,0.464286,0.47619,0.904348,0.912698,39,1,40,4
27,epoch26.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch26.pt,2.300801,0.24,0.31,0.380952,0.464286,0.902386,0.914683,32,2,39,4
28,epoch27.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch27.pt,1.886054,0.21,0.23,0.309524,0.321429,0.879747,0.940476,26,2,27,3
29,epoch28.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch28.pt,1.623714,0.04,0.07,0.130952,0.202381,0.861284,0.958333,11,2,17,4
30,epoch29.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch29.pt,1.833531,0.11,0.18,0.321429,0.452381,0.900433,0.916667,27,2,38,4
31,epoch30.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch30.pt,1.719655,0.14,0.24,0.22619,0.369048,0.886994,0.930556,19,1,31,4
32,epoch31.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch31.pt,1.703043,0.17,0.26,0.440476,0.535714,0.914286,0.902778,37,2,45,4
33,epoch32.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch32.pt,2.064748,0.18,0.26,0.404762,0.488095,0.906318,0.910714,34,2,41,4
34,epoch33.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch33.pt,1.789468,0.17,0.2,0.333333,0.392857,0.890792,0.926587,28,2,33,4
35,epoch34.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch34.pt,1.949356,0.15,0.19,0.357143,0.416667,0.894624,0.922619,30,2,35,4
36,epoch35.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch35.pt,2.158426,0.21,0.35,0.404762,0.595238,0.924444,0.892857,34,2,50,4
37,epoch36.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch36.pt,1.950336,0.07,0.15,0.142857,0.380952,0.888889,0.928571,12,2,32,4
38,epoch37.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch37.pt,2.040035,0.14,0.23,0.416667,0.47619,0.904348,0.912698,35,1,40,4
39,epoch38.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch38.pt,2.259062,0.13,0.21,0.297619,0.380952,0.889126,0.930556,25,1,32,3
40,epoch39.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch39.pt,1.957569,0.29,0.3,0.452381,0.464286,0.902597,0.916667,38,2,39,3
41,epoch40.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch40.pt,2.244723,0.12,0.26,0.285714,0.511905,0.910284,0.906746,24,1,43,4
42,epoch41.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch41.pt,2.499515,0.14,0.17,0.297619,0.380952,0.888889,0.928571,25,2,32,4
43,epoch42.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch42.pt,1.885139,0.12,0.17,0.297619,0.392857,0.890792,0.926587,25,2,33,4
44,epoch43.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch43.pt,2.361387,0.21,0.3,0.321429,0.47619,0.904348,0.912698,27,2,40,4
45,epoch44.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch44.pt,2.116978,0.12,0.12,0.297619,0.297619,0.87631,0.946429,25,2,25,2
46,epoch45.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch45.pt,2.433626,0.12,0.19,0.321429,0.464286,0.902386,0.914683,27,2,39,4
47,epoch46.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch46.pt,2.209314,0.2,0.3,0.297619,0.416667,0.894624,0.922619,25,1,35,4
48,epoch47.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch47.pt,1.740513,0.04,0.09,0.214286,0.369048,0.886994,0.930556,18,2,31,4
49,epoch48.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch48.pt,2.193583,0.11,0.23,0.261905,0.440476,0.898488,0.918651,22,2,37,4
50,epoch49.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch49.pt,1.697152,0.1,0.1,0.333333,0.333333,0.882105,0.94246,28,1,28,1
51,epoch50.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch50.pt,1.846801,0.17,0.17,0.440476,0.440476,0.898925,0.922619,37,2,37,2
52,epoch51.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch51.pt,1.821592,0.19,0.22,0.488095,0.511905,0.910284,0.906746,41,2,43,4
53,epoch52.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch52.pt,2.318328,0.19,0.28,0.428571,0.464286,0.902386,0.914683,36,2,39,4
54,epoch53.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch53.pt,2.212174,0.18,0.21,0.333333,0.380952,0.888889,0.928571,28,2,32,4
55,epoch54.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch54.pt,2.102579,0.15,0.2,0.357143,0.428571,0.896552,0.920635,30,2,36,4
56,epoch55.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch55.pt,2.183176,0.27,0.38,0.47619,0.583333,0.922395,0.894841,40,2,49,4
57,epoch56.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch56.pt,2.245196,0.13,0.27,0.309524,0.535714,0.914286,0.902778,26,2,45,4
58,epoch57.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch57.pt,2.079839,0.13,0.19,0.25,0.380952,0.889126,0.930556,21,2,32,3
59,epoch58.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch58.pt,2.083148,0.23,0.25,0.52381,0.559524,0.918322,0.89881,44,2,47,4
60,epoch59.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch59.pt,2.352345,0.12,0.18,0.309524,0.392857,0.890792,0.926587,26,2,33,4
61,epoch60.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch60.pt,2.496778,0.16,0.28,0.309524,0.47619,0.904348,0.912698,26,2,40,4
62,epoch61.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch61.pt,2.238713,0.16,0.2,0.321429,0.428571,0.896774,0.922619,27,2,36,3
63,epoch62.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch62.pt,2.131738,0.17,0.26,0.380952,0.547619,0.9163,0.900794,32,2,46,4
64,epoch63.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch63.pt,2.30256,0.16,0.23,0.369048,0.5,0.908297,0.90873,31,2,42,4
65,epoch64.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch64.pt,2.586927,0.16,0.23,0.369048,0.488095,0.906318,0.910714,31,2,41,4
66,epoch65.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch65.pt,2.590207,0.18,0.24,0.357143,0.416667,0.894624,0.922619,30,2,35,4
67,epoch66.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch66.pt,2.650008,0.2,0.27,0.357143,0.452381,0.900433,0.916667,30,2,38,4
68,epoch67.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch67.pt,2.289199,0.1,0.18,0.25,0.404762,0.892704,0.924603,21,2,34,4
69,epoch68.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch68.pt,2.282333,0.2,0.23,0.452381,0.52381,0.912281,0.904762,38,2,44,4
70,epoch69.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch69.pt,2.437956,0.12,0.22,0.333333,0.47619,0.904348,0.912698,28,2,40,4
71,epoch70.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch70.pt,2.552335,0.12,0.22,0.297619,0.416667,0.894624,0.922619,25,1,35,4
72,epoch71.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch71.pt,2.870414,0.24,0.27,0.404762,0.5,0.908297,0.90873,34,2,42,4
