epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch0.pt,1.899714,0.13,0.2,0.404762,0.52381,0.912281,0.904762,34,2,44,4
2,epoch1.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch1.pt,2.015286,0.14,0.17,0.392857,0.428571,0.896774,0.922619,33,2,36,3
3,epoch2.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch2.pt,2.265261,0.25,0.34,0.297619,0.488095,0.906318,0.910714,25,2,41,4
4,epoch3.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch3.pt,1.393371,0.19,0.26,0.452381,0.571429,0.920354,0.896825,38,2,48,4
5,epoch4.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch4.pt,1.905463,0.32,0.32,0.416667,0.416667,0.895075,0.926587,35,2,35,2
6,epoch5.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch5.pt,1.23406,0.17,0.22,0.52381,0.571429,0.920354,0.896825,44,2,48,4
7,epoch6.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch6.pt,1.304164,0.13,0.16,0.321429,0.392857,0.890792,0.926587,27,2,33,4
8,epoch7.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch7.pt,2.217339,0.15,0.15,0.297619,0.297619,0.87631,0.946429,25,2,25,2
9,epoch8.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch8.pt,1.866848,0.32,0.41,0.345238,0.47619,0.904555,0.914683,29,2,40,3
10,epoch9.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\Rand50-S1\weights\epoch9.pt,1.337872,0.12,0.15,0.357143,0.404762,0.892704,0.924603,30,2,34,4
