epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch0.pt,1.854903,0.14,0.22,0.452381,0.52381,0.912281,0.904762,38,2,44,4
2,epoch1.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch1.pt,1.810095,0.07,0.19,0.154762,0.488095,0.906318,0.910714,13,2,41,4
3,epoch2.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch2.pt,1.49864,0.13,0.17,0.369048,0.452381,0.900433,0.916667,31,2,38,4
4,epoch3.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch3.pt,1.219596,0.3,0.33,0.404762,0.440476,0.898488,0.918651,34,2,37,4
5,epoch4.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch4.pt,1.762002,0.34,0.36,0.369048,0.392857,0.891026,0.928571,31,2,33,3
6,epoch5.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch5.pt,1.90702,0.18,0.26,0.321429,0.464286,0.902386,0.914683,27,2,39,4
7,epoch6.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch6.pt,1.398363,0.07,0.17,0.154762,0.428571,0.896552,0.920635,13,2,36,4
8,epoch7.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch7.pt,1.164474,0.04,0.08,0.190476,0.392857,0.890792,0.926587,16,2,33,4
9,epoch8.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch8.pt,1.619186,0.38,0.38,0.369048,0.369048,0.887473,0.934524,31,2,31,2
10,epoch9.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch9.pt,1.510153,0.13,0.28,0.285714,0.535714,0.914474,0.904762,24,2,45,3
11,epoch10.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch10.pt,1.625604,0.1,0.19,0.178571,0.369048,0.886994,0.930556,15,2,31,4
12,epoch11.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch11.pt,1.382487,0.12,0.13,0.309524,0.321429,0.879747,0.940476,26,2,27,3
13,epoch12.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch12.pt,1.527023,0.17,0.23,0.297619,0.452381,0.900433,0.916667,25,2,38,4
14,epoch13.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch13.pt,1.303917,0.08,0.15,0.154762,0.333333,0.881356,0.936508,13,1,28,4
15,epoch14.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch14.pt,1.716479,0.13,0.16,0.345238,0.392857,0.890792,0.926587,29,2,33,4
16,epoch15.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch15.pt,1.452238,0.14,0.32,0.27381,0.559524,0.918322,0.89881,23,1,47,4
17,epoch16.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch16.pt,2.112095,0.16,0.17,0.285714,0.321429,0.879747,0.940476,24,2,27,3
18,epoch17.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch17.pt,1.57728,0.16,0.19,0.333333,0.428571,0.896552,0.920635,28,2,36,4
19,epoch18.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch18.pt,1.77701,0.17,0.25,0.297619,0.452381,0.900433,0.916667,25,1,38,4
20,epoch19.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch19.pt,1.779018,0.13,0.23,0.369048,0.535714,0.914286,0.902778,31,2,45,4
21,epoch20.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch20.pt,1.863756,0.21,0.27,0.25,0.309524,0.877637,0.940476,21,2,26,4
22,epoch21.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch21.pt,1.836826,0.15,0.17,0.297619,0.345238,0.883475,0.936508,25,2,29,3
23,epoch22.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch22.pt,1.858913,0.16,0.35,0.297619,0.535714,0.914286,0.902778,25,2,45,4
24,epoch23.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch23.pt,1.975732,0.24,0.4,0.309524,0.47619,0.904348,0.912698,26,2,40,4
25,epoch24.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch24.pt,2.11462,0.28,0.37,0.333333,0.404762,0.892704,0.924603,28,2,34,4
26,epoch25.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch25.pt,2.00491,0.17,0.26,0.309524,0.571429,0.92053,0.89881,26,1,48,3
27,epoch26.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch26.pt,1.771388,0.12,0.29,0.309524,0.511905,0.910284,0.906746,26,2,43,4
28,epoch27.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch27.pt,2.073232,0.16,0.22,0.238095,0.333333,0.881356,0.936508,20,2,28,4
29,epoch28.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch28.pt,1.862146,0.08,0.11,0.321429,0.380952,0.888889,0.928571,27,2,32,4
30,epoch29.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch29.pt,1.793074,0.26,0.27,0.488095,0.5,0.908497,0.910714,41,2,42,3
31,epoch30.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch30.pt,1.764093,0.08,0.15,0.25,0.428571,0.896552,0.920635,21,1,36,4
32,epoch31.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch31.pt,1.373332,0.06,0.07,0.202381,0.261905,0.870293,0.948413,17,2,22,4
33,epoch32.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch32.pt,1.864692,0.07,0.16,0.190476,0.464286,0.902386,0.914683,16,2,39,4
34,epoch33.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch33.pt,1.828456,0.12,0.3,0.25,0.547619,0.9163,0.900794,21,2,46,4
35,epoch34.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch34.pt,1.902477,0.17,0.19,0.345238,0.380952,0.888889,0.928571,29,2,32,4
36,epoch35.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch35.pt,2.479755,0.15,0.22,0.202381,0.309524,0.877637,0.940476,17,2,26,4
37,epoch36.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch36.pt,2.398593,0.12,0.23,0.22619,0.440476,0.898488,0.918651,19,2,37,4
38,epoch37.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch37.pt,2.135241,0.12,0.24,0.261905,0.452381,0.900433,0.916667,22,2,38,4
39,epoch38.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch38.pt,2.431779,0.23,0.29,0.357143,0.416667,0.894624,0.922619,30,1,35,4
40,epoch39.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch39.pt,2.447679,0.19,0.27,0.321429,0.416667,0.894624,0.922619,27,2,35,4
41,epoch40.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch40.pt,1.975059,0.16,0.29,0.321429,0.452381,0.900648,0.918651,27,2,38,3
42,epoch41.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch41.pt,2.039404,0.2,0.22,0.404762,0.416667,0.89485,0.924603,34,2,35,3
43,epoch42.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch42.pt,2.28691,0.06,0.1,0.095238,0.25,0.86875,0.952381,8,2,21,3
44,epoch43.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch43.pt,2.15349,0.33,0.38,0.511905,0.535714,0.914474,0.904762,43,1,45,3
45,epoch44.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch44.pt,2.220354,0.12,0.32,0.083333,0.488095,0.906318,0.910714,7,2,41,4
46,epoch45.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch45.pt,2.101138,0.2,0.25,0.392857,0.440476,0.898488,0.918651,33,2,37,4
47,epoch46.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch46.pt,2.380354,0.3,0.37,0.47619,0.547619,0.916484,0.902778,40,2,46,3
48,epoch47.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch47.pt,2.287946,0.09,0.23,0.202381,0.5,0.908297,0.90873,17,2,42,4
49,epoch48.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch48.pt,2.241964,0.21,0.28,0.511905,0.619048,0.928731,0.890873,43,2,52,3
50,epoch49.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch49.pt,2.318354,0.16,0.21,0.369048,0.440476,0.898488,0.918651,31,2,37,4
51,epoch50.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W03\weights\epoch50.pt,2.125799,0.14,0.25,0.261905,0.428571,0.896552,0.920635,22,1,36,4
