epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch0.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch0.pt,1,1,1.881482,0.14,0.21,0.452381,0.52381,0.912281,0.904762
2,epoch1.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch1.pt,1,1,1.994238,0.2,0.25,0.369048,0.464286,0.902597,0.916667
3,epoch2.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch2.pt,1,1,1.478015,0.19,0.21,0.47619,0.52381,0.912473,0.906746
4,epoch3.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch3.pt,1,1,1.939351,0.15,0.31,0.25,0.488095,0.906318,0.910714
5,epoch4.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch4.pt,1,1,1.788684,0.3,0.34,0.297619,0.369048,0.886994,0.930556
6,epoch5.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch5.pt,1,1,1.339062,0.2,0.26,0.488095,0.595238,0.924444,0.892857
7,epoch6.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch6.pt,1,1,1.552091,0.04,0.07,0.059524,0.119048,0.84898,0.972222
8,epoch7.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch7.pt,1,1,1.207429,0.08,0.12,0.297619,0.380952,0.888889,0.928571
9,epoch8.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch8.pt,1,1,1.579118,0.28,0.36,0.452381,0.535714,0.914286,0.902778
10,epoch9.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch9.pt,1,1,1.293468,0.15,0.17,0.369048,0.380952,0.889126,0.930556
11,epoch10.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch10.pt,1,1,1.185307,0.07,0.13,0.333333,0.416667,0.894624,0.922619
12,epoch11.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch11.pt,1,1,1.272321,0.1,0.12,0.357143,0.380952,0.888889,0.928571
13,epoch12.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch12.pt,1,1,1.418755,0.1,0.16,0.285714,0.369048,0.886994,0.930556
14,epoch13.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch13.pt,1,1,1.719279,0.11,0.13,0.095238,0.178571,0.857732,0.962302
15,epoch14.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch14.pt,1,1,1.573758,0.11,0.13,0.190476,0.25,0.868476,0.950397
16,epoch15.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch15.pt,1,1,1.420979,0.11,0.12,0.285714,0.345238,0.883227,0.934524
17,epoch16.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch16.pt,1,1,1.743329,0.16,0.18,0.333333,0.357143,0.885106,0.93254
18,epoch17.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch17.pt,1,1,1.555787,0.16,0.2,0.392857,0.464286,0.902386,0.914683
19,epoch18.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch18.pt,1,1,2.059781,0.2,0.25,0.369048,0.428571,0.896552,0.920635
20,epoch19.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch19.pt,1,1,2.042402,0.21,0.28,0.321429,0.416667,0.894624,0.922619
21,epoch20.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch20.pt,1,1,1.808328,0.18,0.29,0.261905,0.392857,0.890792,0.926587
22,epoch21.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch21.pt,1,1,1.458653,0.15,0.26,0.380952,0.583333,0.922395,0.894841
23,epoch22.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch22.pt,1,1,1.843113,0.26,0.32,0.452381,0.464286,0.902386,0.914683
24,epoch23.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch23.pt,1,1,2.200219,0.12,0.24,0.154762,0.428571,0.896552,0.920635
25,epoch24.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch24.pt,1,1,1.834684,0.27,0.37,0.357143,0.488095,0.906318,0.910714
26,epoch25.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch25.pt,1,1,1.738375,0.07,0.25,0.119048,0.488095,0.906318,0.910714
27,epoch26.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch26.pt,1,1,1.763701,0.14,0.19,0.27381,0.369048,0.886994,0.930556
28,epoch27.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch27.pt,1,1,1.6807,0.23,0.27,0.380952,0.416667,0.894624,0.922619
29,epoch28.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch28.pt,1,1,1.84747,0.11,0.15,0.27381,0.357143,0.885106,0.93254
30,epoch29.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch29.pt,1,1,1.744941,0.18,0.21,0.428571,0.464286,0.902386,0.914683
31,epoch30.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch30.pt,1,1,1.824538,0.2,0.22,0.440476,0.452381,0.900433,0.916667
32,epoch31.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch31.pt,1,1,1.703234,0.18,0.2,0.357143,0.369048,0.887234,0.93254
33,epoch32.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch32.pt,1,1,1.800949,0.15,0.21,0.392857,0.488095,0.906318,0.910714
34,epoch33.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch33.pt,1,1,1.808723,0.23,0.26,0.452381,0.488095,0.906522,0.912698
35,epoch34.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch34.pt,1,1,1.781123,0.13,0.17,0.369048,0.452381,0.900648,0.918651
36,epoch35.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch35.pt,1,1,2.033938,0.27,0.31,0.416667,0.440476,0.898488,0.918651
37,epoch36.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch36.pt,1,1,2.135653,0.05,0.14,0.059524,0.369048,0.886994,0.930556
38,epoch37.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch37.pt,1,1,1.888524,0.09,0.24,0.202381,0.488095,0.906318,0.910714
39,epoch38.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch38.pt,1,1,2.009008,0.24,0.24,0.404762,0.404762,0.893162,0.928571
40,epoch39.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch39.pt,1,1,2.221865,0.19,0.23,0.261905,0.321429,0.879493,0.938492
41,epoch40.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch40.pt,1,1,2.169673,0.19,0.23,0.369048,0.440476,0.898488,0.918651
42,epoch41.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch41.pt,1,1,1.983038,0.17,0.18,0.369048,0.380952,0.888889,0.928571
43,epoch42.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch42.pt,1,1,1.584196,0.06,0.11,0.166667,0.285714,0.87395,0.944444
44,epoch43.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch43.pt,1,1,1.776688,0.16,0.24,0.380952,0.452381,0.900433,0.916667
45,epoch44.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch44.pt,1,1,1.537356,0.14,0.26,0.440476,0.607143,0.926503,0.890873
46,epoch45.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch45.pt,1,1,2.041853,0.18,0.26,0.369048,0.464286,0.902386,0.914683
47,epoch46.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch46.pt,1,1,1.996045,0.2,0.25,0.464286,0.47619,0.904555,0.914683
48,epoch47.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch47.pt,1,1,2.23006,0.16,0.19,0.464286,0.488095,0.906318,0.910714
49,epoch48.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch48.pt,1,1,2.306282,0.13,0.21,0.309524,0.488095,0.906318,0.910714
50,epoch49.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch49.pt,1,1,2.156921,0.27,0.32,0.5,0.559524,0.918322,0.89881
51,epoch50.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch50.pt,1,1,2.246623,0.09,0.25,0.190476,0.47619,0.904348,0.912698
52,epoch51.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch51.pt,1,1,2.010095,0.2,0.26,0.464286,0.535714,0.914474,0.904762
53,epoch52.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch52.pt,1,1,2.557076,0.11,0.27,0.261905,0.535714,0.914286,0.902778
54,epoch53.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch53.pt,1,1,1.966399,0.1,0.29,0.238095,0.488095,0.906318,0.910714
55,epoch54.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch54.pt,1,1,2.476682,0.21,0.31,0.357143,0.511905,0.910284,0.906746
56,epoch55.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch55.pt,1,1,2.189417,0.23,0.27,0.404762,0.47619,0.904348,0.912698
57,epoch56.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch56.pt,1,1,2.123004,0.13,0.2,0.333333,0.416667,0.894624,0.922619
58,epoch57.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch57.pt,1,1,1.887368,0.15,0.24,0.369048,0.440476,0.898488,0.918651
59,epoch58.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch58.pt,1,1,2.043305,0.2,0.21,0.428571,0.452381,0.900433,0.916667
60,epoch59.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch59.pt,1,1,2.293301,0.16,0.21,0.404762,0.47619,0.904348,0.912698
61,epoch60.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch60.pt,1,1,2.207623,0.2,0.35,0.404762,0.559524,0.918322,0.89881
62,epoch61.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch61.pt,1,1,2.182495,0.2,0.27,0.440476,0.547619,0.9163,0.900794
63,epoch62.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch62.pt,1,1,2.353624,0.22,0.29,0.440476,0.511905,0.91048,0.90873
64,epoch63.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch63.pt,1,1,2.150766,0.31,0.31,0.547619,0.547619,0.916667,0.904762
65,epoch64.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch64.pt,1,1,2.135259,0.17,0.2,0.404762,0.452381,0.900648,0.918651
66,epoch65.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch65.pt,1,1,2.130673,0.15,0.27,0.416667,0.52381,0.912473,0.906746
67,epoch66.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch66.pt,1,1,2.460525,0.24,0.32,0.440476,0.5,0.908297,0.90873
68,epoch67.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch67.pt,1,1,2.407377,0.15,0.22,0.333333,0.464286,0.902386,0.914683
69,epoch68.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch68.pt,1,1,2.244283,0.2,0.23,0.464286,0.47619,0.904348,0.912698
70,epoch69.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch69.pt,1,1,2.411727,0.21,0.25,0.345238,0.428571,0.896552,0.920635
71,epoch70.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch70.pt,1,1,2.295521,0.15,0.25,0.333333,0.464286,0.902386,0.914683
72,epoch71.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\T-W10\weights\epoch71.pt,1,1,2.276093,0.18,0.28,0.416667,0.535714,0.914286,0.902778
