img_path,img_rel_path,gt,pred,p_abnormal,p_normal,top1_label,top1_prob,top2_label,top2_prob,top3_label,top3_prob,heuristic_group,heuristic_reason
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00467510.png,train\Normal\00467510.png,Normal,Abnormal,0.978027,0.021805,Abnormal,0.978027,Normal,0.021805,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00329365.png,train\Normal\00329365.png,Normal,Abnormal,0.953613,0.046417,Abnormal,0.953613,Normal,0.046417,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00149587.png,train\Normal\00149587.png,Normal,Abnormal,0.923828,0.075989,Abnormal,0.923828,Normal,0.075989,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00130666.png,train\Normal\00130666.png,Normal,Abnormal,0.904297,0.095581,Abnormal,0.904297,Normal,0.095581,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00160652.png,train\Normal\00160652.png,Normal,Abnormal,0.898926,0.101257,Abnormal,0.898926,Normal,0.101257,,0.0,反光,高亮区域比例偏高且亮度波动明显。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00144495.png,train\Normal\00144495.png,Normal,Abnormal,0.898438,0.101318,Abnormal,0.898438,Normal,0.101318,,0.0,反光,高亮区域比例偏高且亮度波动明显。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00323059.png,train\Normal\00323059.png,Normal,Abnormal,0.89209,0.107727,Abnormal,0.89209,Normal,0.107727,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00505638.png,train\Normal\00505638.png,Normal,Abnormal,0.886719,0.113281,Abnormal,0.886719,Normal,0.113281,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00021678.png,train\Normal\00021678.png,Normal,Abnormal,0.868164,0.131958,Abnormal,0.868164,Normal,0.131958,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00022521.png,train\Normal\00022521.png,Normal,Abnormal,0.854492,0.145752,Abnormal,0.854492,Normal,0.145752,,0.0,其他,未命中显著启发式规则。
