epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch_001.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_001.pt,1,1,1.354228,0.16,0.2,0.452381,0.511905,0.910284,0.906746
2,epoch_002.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_002.pt,1,1,1.386205,0.13,0.17,0.404762,0.452381,0.900433,0.916667
3,epoch_003.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_003.pt,1,1,1.327149,0.18,0.22,0.345238,0.357143,0.885106,0.93254
4,epoch_004.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_004.pt,1,1,1.602071,0.26,0.3,0.452381,0.511905,0.910284,0.906746
5,epoch_005.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_005.pt,1,1,1.025208,0.1,0.1,0.321429,0.321429,0.88,0.94246
6,epoch_006.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_006.pt,1,1,1.770099,0.21,0.26,0.428571,0.5,0.908297,0.90873
7,epoch_007.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_007.pt,1,1,1.307975,0.09,0.15,0.130952,0.22619,0.864865,0.954365
8,epoch_008.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_008.pt,1,1,1.446664,0.11,0.19,0.297619,0.452381,0.900648,0.918651
9,epoch_009.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_009.pt,1,1,1.166665,0.11,0.23,0.214286,0.392857,0.890792,0.926587
10,epoch_010.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_010.pt,1,1,1.416545,0.27,0.31,0.369048,0.416667,0.89485,0.924603
11,epoch_011.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_011.pt,1,1,1.492888,0.12,0.22,0.369048,0.511905,0.910284,0.906746
12,epoch_012.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_012.pt,1,1,1.287841,0.14,0.16,0.380952,0.416667,0.894624,0.922619
13,epoch_013.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_013.pt,1,1,1.223578,0.11,0.19,0.25,0.357143,0.885106,0.93254
14,epoch_014.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_014.pt,1,1,1.677807,0.13,0.23,0.27381,0.452381,0.900433,0.916667
15,epoch_015.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_015.pt,1,1,1.646857,0.26,0.28,0.380952,0.392857,0.891026,0.928571
16,epoch_016.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_016.pt,1,1,1.439361,0.28,0.31,0.52381,0.583333,0.922566,0.896825
17,epoch_017.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_017.pt,1,1,1.512653,0.24,0.27,0.297619,0.309524,0.877637,0.940476
18,epoch_018.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_018.pt,1,1,1.571839,0.13,0.27,0.22619,0.380952,0.889126,0.930556
19,epoch_019.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_019.pt,1,1,1.473368,0.13,0.19,0.309524,0.380952,0.888889,0.928571
20,epoch_020.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn06_200ep\weights\epoch_020.pt,1,1,1.24631,0.08,0.16,0.357143,0.52381,0.912281,0.904762
