epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_001.pt,0.935426,0.18,0.21,0.059524,0.107143,0.847251,0.974206,5,1,9,4
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_002.pt,1.167488,0.32,0.35,0.047619,0.083333,0.843813,0.978175,4,2,7,4
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_003.pt,0.863467,0.23,0.27,0.142857,0.166667,0.856263,0.96627,12,2,14,3
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_004.pt,1.125698,0.39,0.42,0.166667,0.178571,0.858025,0.964286,14,2,15,3
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_005.pt,1.146781,0.3,0.39,0.154762,0.178571,0.857732,0.962302,13,1,15,4
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_006.pt,0.998682,0.27,0.34,0.130952,0.178571,0.857732,0.962302,11,2,15,4
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_007.pt,0.926383,0.29,0.33,0.178571,0.214286,0.863354,0.958333,15,2,18,3
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_008.pt,0.867423,0.14,0.19,0.107143,0.190476,0.859504,0.960317,9,2,16,4
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_009.pt,0.852696,0.41,0.44,0.25,0.297619,0.875789,0.94246,21,2,25,4
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_010.pt,0.759181,0.18,0.2,0.107143,0.154762,0.854508,0.968254,9,2,13,3
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_011.pt,1.024936,0.33,0.42,0.178571,0.261905,0.870293,0.948413,15,2,22,4
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_012.pt,0.845277,0.19,0.27,0.190476,0.214286,0.863071,0.956349,16,2,18,4
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_013.pt,0.730887,0.07,0.12,0.178571,0.321429,0.879493,0.938492,15,2,27,4
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_014.pt,0.909521,0.29,0.45,0.25,0.404762,0.892704,0.924603,21,2,34,4
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_015.pt,1.214221,0.4,0.46,0.345238,0.416667,0.89485,0.924603,29,2,35,3
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_016.pt,1.00909,0.14,0.34,0.119048,0.380952,0.888889,0.928571,10,1,32,4
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_017.pt,1.013825,0.32,0.33,0.416667,0.428571,0.896774,0.922619,35,2,36,3
18,epoch_018.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_018.pt,0.842769,0.11,0.19,0.214286,0.238095,0.866667,0.952381,18,2,20,4
19,epoch_019.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_019.pt,0.684965,0.1,0.16,0.261905,0.416667,0.894624,0.922619,22,2,35,4
20,epoch_020.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_020.pt,1.106337,0.33,0.41,0.321429,0.404762,0.892704,0.924603,27,2,34,4
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_021.pt,0.852842,0.09,0.15,0.071429,0.154762,0.854209,0.96627,6,0,13,4
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_022.pt,1.043306,0.14,0.23,0.238095,0.404762,0.892704,0.924603,20,2,34,4
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_023.pt,1.29231,0.35,0.36,0.416667,0.428571,0.896774,0.922619,35,2,36,3
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_024.pt,1.094684,0.25,0.32,0.22619,0.309524,0.877637,0.940476,19,2,26,4
25,epoch_025.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_025.pt,1.065858,0.3,0.3,0.27381,0.27381,0.872651,0.950397,23,2,23,2
26,epoch_026.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_026.pt,0.904285,0.09,0.19,0.178571,0.285714,0.874214,0.946429,15,2,24,3
27,epoch_027.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_027.pt,0.908015,0.25,0.25,0.47619,0.47619,0.904762,0.916667,40,2,40,2
28,epoch_028.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_028.pt,0.919652,0.12,0.18,0.47619,0.52381,0.912281,0.904762,40,2,44,4
29,epoch_029.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_029.pt,0.781635,0.09,0.1,0.309524,0.369048,0.886994,0.930556,26,2,31,4
30,epoch_030.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_030.pt,0.946442,0.11,0.16,0.369048,0.464286,0.902386,0.914683,31,1,39,4
31,epoch_031.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_031.pt,1.025944,0.25,0.26,0.464286,0.5,0.908497,0.910714,39,2,42,3
32,epoch_032.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_032.pt,0.895943,0.08,0.18,0.238095,0.416667,0.894624,0.922619,20,2,35,4
33,epoch_033.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_033.pt,1.072397,0.15,0.2,0.178571,0.27381,0.872117,0.946429,15,1,23,4
34,epoch_034.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_034.pt,1.014407,0.06,0.12,0.119048,0.345238,0.883227,0.934524,10,1,29,4
35,epoch_035.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_035.pt,1.00486,0.13,0.17,0.357143,0.452381,0.900433,0.916667,30,1,38,4
36,epoch_036.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_036.pt,1.123908,0.24,0.27,0.440476,0.452381,0.900433,0.916667,37,2,38,4
37,epoch_037.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_037.pt,1.041402,0.2,0.23,0.309524,0.357143,0.885106,0.93254,26,2,30,4
38,epoch_038.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_038.pt,1.194163,0.16,0.24,0.309524,0.416667,0.894624,0.922619,26,2,35,4
39,epoch_039.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_039.pt,1.460196,0.32,0.44,0.369048,0.464286,0.902386,0.914683,31,2,39,4
40,epoch_040.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_040.pt,1.201003,0.06,0.2,0.166667,0.452381,0.900433,0.916667,14,2,38,4
41,epoch_041.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_041.pt,1.179711,0.15,0.17,0.464286,0.5,0.908497,0.910714,39,2,42,3
42,epoch_042.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_042.pt,1.15327,0.06,0.13,0.119048,0.27381,0.872117,0.946429,10,1,23,4
43,epoch_043.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_043.pt,1.107561,0.15,0.15,0.428571,0.428571,0.896996,0.924603,36,2,36,2
44,epoch_044.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_044.pt,1.165334,0.1,0.12,0.345238,0.416667,0.894624,0.922619,29,2,35,4
45,epoch_045.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_multiseed\yolo11m_gate2_ms_s0401_hn02_200ep\weights\epoch_045.pt,1.18195,0.23,0.26,0.392857,0.464286,0.902386,0.914683,33,2,39,4
