epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_001.pt,1.801013,0.21,0.23,0.559524,0.595238,0.924612,0.894841,47,2,50,3
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_002.pt,2.107677,0.13,0.25,0.333333,0.559524,0.918322,0.89881,28,2,47,4
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_003.pt,1.85888,0.34,0.37,0.440476,0.5,0.908497,0.910714,37,2,42,3
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_004.pt,1.246982,0.15,0.18,0.428571,0.47619,0.904348,0.912698,36,2,40,4
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_005.pt,1.329482,0.23,0.27,0.309524,0.357143,0.88535,0.934524,26,2,30,3
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_006.pt,1.343293,0.08,0.12,0.297619,0.452381,0.900433,0.916667,25,2,38,4
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_007.pt,1.567455,0.18,0.26,0.404762,0.464286,0.902386,0.914683,34,1,39,4
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_008.pt,1.281646,0.16,0.24,0.297619,0.452381,0.900433,0.916667,25,2,38,4
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_009.pt,1.67395,0.08,0.16,0.238095,0.392857,0.890792,0.926587,20,2,33,4
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_010.pt,1.4476,0.17,0.17,0.345238,0.345238,0.883721,0.938492,29,2,29,2
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_011.pt,1.181001,0.09,0.14,0.321429,0.380952,0.888889,0.928571,27,2,32,4
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_012.pt,1.086861,0.1,0.12,0.285714,0.309524,0.877637,0.940476,24,2,26,4
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_013.pt,1.501938,0.17,0.18,0.47619,0.488095,0.906522,0.912698,40,2,41,3
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_014.pt,1.376153,0.15,0.15,0.404762,0.404762,0.893162,0.928571,34,2,34,2
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_015.pt,1.610026,0.23,0.25,0.357143,0.380952,0.889126,0.930556,30,2,32,3
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_016.pt,1.507738,0.06,0.12,0.202381,0.404762,0.892704,0.924603,17,2,34,4
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_017.pt,1.574243,0.12,0.23,0.321429,0.452381,0.900433,0.916667,27,1,38,4
18,epoch_018.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_018.pt,1.619318,0.13,0.15,0.47619,0.488095,0.906522,0.912698,40,2,41,3
19,epoch_019.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_019.pt,1.549494,0.14,0.14,0.238095,0.238095,0.86722,0.956349,20,2,20,2
20,epoch_020.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_020.pt,1.395374,0.1,0.17,0.369048,0.452381,0.900433,0.916667,31,2,38,4
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_021.pt,1.833059,0.22,0.27,0.392857,0.440476,0.898707,0.920635,33,2,37,3
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_022.pt,1.488513,0.1,0.13,0.238095,0.309524,0.877637,0.940476,20,2,26,4
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_023.pt,1.338338,0.09,0.09,0.321429,0.321429,0.88,0.94246,27,2,27,2
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_024.pt,1.654642,0.13,0.15,0.27381,0.333333,0.881356,0.936508,23,2,28,4
25,epoch_025.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_025.pt,1.682694,0.13,0.16,0.345238,0.380952,0.888889,0.928571,29,2,32,4
26,epoch_026.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_026.pt,1.839342,0.2,0.23,0.47619,0.511905,0.91048,0.90873,40,2,43,3
27,epoch_027.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_027.pt,1.882452,0.16,0.2,0.309524,0.380952,0.888889,0.928571,26,2,32,4
28,epoch_028.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_028.pt,2.174251,0.17,0.2,0.25,0.309524,0.877637,0.940476,21,2,26,4
29,epoch_029.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_029.pt,1.642192,0.13,0.16,0.416667,0.47619,0.904555,0.914683,35,1,40,3
30,epoch_030.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_030.pt,1.971778,0.28,0.31,0.488095,0.535714,0.914286,0.902778,41,2,45,4
