model,ratio_id,ratio_percent,dataset_name,action,split,class_name,selected_rank,source_rel_path,target_rel_path,p_abnormal,top1_label,heuristic_group
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00000367.png,train/Normal/00000367.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00000370.png,train/Normal/00000370.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00000426.png,train/Normal/00000426.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00000793.png,train/Normal/00000793.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001038.png,train/Normal/00001038.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001073.png,train/Normal/00001073.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001120.png,train/Normal/00001120.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001280.png,train/Normal/00001280.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001524.png,train/Normal/00001524.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001607.png,train/Normal/00001607.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001883.png,train/Normal/00001883.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00001969.png,train/Normal/00001969.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00002051.png,train/Normal/00002051.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00002244.png,train/Normal/00002244.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00002449.png,train/Normal/00002449.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00002861.png,train/Normal/00002861.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00003923.png,train/Normal/00003923.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00004306.png,train/Normal/00004306.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00005039.png,train/Normal/00005039.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00005176.png,train/Normal/00005176.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00005285.png,train/Normal/00005285.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00005593.png,train/Normal/00005593.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00005623.png,train/Normal/00005623.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00006200.png,train/Normal/00006200.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00007125.png,train/Normal/00007125.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00007156.png,train/Normal/00007156.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00007159.png,train/Normal/00007159.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00008058.png,train/Normal/00008058.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00008225.png,train/Normal/00008225.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00009997.png,train/Normal/00009997.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00010590.png,train/Normal/00010590.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00010984.png,train/Normal/00010984.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00011589.png,train/Normal/00011589.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00012805.png,train/Normal/00012805.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00012816.png,train/Normal/00012816.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00013447.png,train/Normal/00013447.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00015075.png,train/Normal/00015075.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00015255.png,train/Normal/00015255.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00015405.png,train/Normal/00015405.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00015560.png,train/Normal/00015560.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00015782.png,train/Normal/00015782.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00016807.png,train/Normal/00016807.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00017004.png,train/Normal/00017004.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00017719.png,train/Normal/00017719.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00017743.png,train/Normal/00017743.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00017954.png,train/Normal/00017954.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00017978.png,train/Normal/00017978.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00018652.png,train/Normal/00018652.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00018926.png,train/Normal/00018926.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00019908.png,train/Normal/00019908.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00020509.png,train/Normal/00020509.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00021272.png,train/Normal/00021272.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00021408.png,train/Normal/00021408.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00021678.png,train/Normal/00021678.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00022206.png,train/Normal/00022206.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00022239.png,train/Normal/00022239.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00022521.png,train/Normal/00022521.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00022588.png,train/Normal/00022588.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00022864.png,train/Normal/00022864.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00023039.png,train/Normal/00023039.png,,,
yolo11m,hn00,0,yolo11m_gate2_formal_hn00,mirror,train,Normal,,train/Normal/00024094.png,train/Normal/00024094.png,,,
