model,ratio_id,ratio_percent,dataset_name,action,split,class_name,selected_rank,source_rel_path,target_rel_path,p_abnormal,top1_label,heuristic_group
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,1,train/Normal/00467510.png,train/Normal/00467510_hn1.png,0.978027,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,2,train/Normal/00329365.png,train/Normal/00329365_hn1.png,0.953613,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,3,train/Normal/00149587.png,train/Normal/00149587_hn1.png,0.923828,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,4,train/Normal/00130666.png,train/Normal/00130666_hn1.png,0.904297,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,5,train/Normal/00160652.png,train/Normal/00160652_hn1.png,0.898926,Abnormal,反光
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,6,train/Normal/00144495.png,train/Normal/00144495_hn1.png,0.898438,Abnormal,反光
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,7,train/Normal/00323059.png,train/Normal/00323059_hn1.png,0.89209,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,8,train/Normal/00505638.png,train/Normal/00505638_hn1.png,0.886719,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,9,train/Normal/00021678.png,train/Normal/00021678_hn1.png,0.868164,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,10,train/Normal/00022521.png,train/Normal/00022521_hn1.png,0.854492,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,11,train/Normal/00292889.png,train/Normal/00292889_hn1.png,0.851074,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,12,train/Normal/00375607.png,train/Normal/00375607_hn1.png,0.848633,Abnormal,反光
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,13,train/Normal/00500159.png,train/Normal/00500159_hn1.png,0.84668,Abnormal,污渍
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,14,train/Normal/00019908.png,train/Normal/00019908_hn1.png,0.82666,Abnormal,污渍
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,15,train/Normal/00431431.png,train/Normal/00431431_hn1.png,0.823242,Abnormal,污渍
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,16,train/Normal/00314643.png,train/Normal/00314643_hn1.png,0.793457,Abnormal,污渍
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,17,train/Normal/00405652.png,train/Normal/00405652_hn1.png,0.789062,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,18,train/Normal/00397824.png,train/Normal/00397824_hn1.png,0.782227,Abnormal,污渍
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,19,train/Normal/00421443.png,train/Normal/00421443_hn1.png,0.781738,Abnormal,其他
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,20,train/Normal/00161664.png,train/Normal/00161664_hn1.png,0.773438,Abnormal,反光
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,21,train/Normal/00317919.png,train/Normal/00317919_hn1.png,0.752441,Abnormal,污渍
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,22,train/Normal/00288653.png,train/Normal/00288653_hn1.png,0.735352,Abnormal,反光
yolo11m,hn20,20,yolo11m_gate2_formal_hn20,duplicate_hn,train,Normal,23,train/Normal/00281638.png,train/Normal/00281638_hn1.png,0.73291,Abnormal,其他
