"model","ratio_id","ratio_percent","dataset_name","source_dataset_root","score_csv_path","duplication_count","base_image_count","derived_total_image_count","expected_total_image_count","derived_train_normal_count","expected_train_normal_count","derived_val_normal_count","expected_val_normal_count","counts_match_manifest","rebuild_manifest_csv","duplications_only_csv"
"yolo11m","hn00","0","yolo11m_gate2_formal_hn00","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","0","7200","7200","7200","1080","1080","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn00_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn00_duplications_only.csv"
"yolo11m","hn02","2","yolo11m_gate2_formal_hn02","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","22","7200","7222","7222","1102","1102","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn02_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn02_duplications_only.csv"
"yolo11m","hn04","4","yolo11m_gate2_formal_hn04","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","43","7200","7243","7243","1123","1123","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn04_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn04_duplications_only.csv"
"yolo11m","hn06","6","yolo11m_gate2_formal_hn06","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","65","7200","7265","7265","1145","1145","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn06_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn06_duplications_only.csv"
"yolo11m","hn08","8","yolo11m_gate2_formal_hn08","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","86","7200","7286","7286","1166","1166","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn08_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn08_duplications_only.csv"
"yolo11m","hn10","10","yolo11m_gate2_formal_hn10","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","108","7200","7308","7308","1188","1188","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn10_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn10_duplications_only.csv"
"yolo11m","hn12","12","yolo11m_gate2_formal_hn12","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","130","7200","7330","7330","1210","1210","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn12_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn12_duplications_only.csv"
"yolo11m","hn14","14","yolo11m_gate2_formal_hn14","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","151","7200","7351","7351","1231","1231","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn14_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn14_duplications_only.csv"
"yolo11m","hn16","16","yolo11m_gate2_formal_hn16","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","173","7200","7373","7373","1253","1253","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn16_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn16_duplications_only.csv"
"yolo11m","hn18","18","yolo11m_gate2_formal_hn18","C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200","H:\stage1_HN_m_materials\raw_materials\m_full_sweep\materials\gate_hn_assets\yolo11m_train_normal_scores\train_normal_scores.csv","194","7200","7394","7394","1274","1274","120","120","True","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn18_rebuild_manifest.csv","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\yolo11m_gate2_formal_hn18_duplications_only.csv"
