epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_001.pt,1.580893,0.25,0.3,0.511905,0.535714,0.914286,0.902778,43,2,45,4
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_002.pt,1.623117,0.15,0.28,0.440476,0.595238,0.924444,0.892857,37,2,50,4
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_003.pt,1.494616,0.17,0.29,0.285714,0.452381,0.900433,0.916667,24,2,38,4
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_004.pt,1.210151,0.1,0.16,0.285714,0.404762,0.892704,0.924603,24,1,34,4
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_005.pt,1.53428,0.09,0.13,0.22619,0.321429,0.879747,0.940476,19,2,27,3
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_006.pt,1.334536,0.21,0.25,0.345238,0.380952,0.888889,0.928571,29,2,32,4
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_007.pt,1.379302,0.26,0.37,0.357143,0.440476,0.898488,0.918651,30,2,37,4
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_008.pt,1.127232,0.12,0.2,0.452381,0.535714,0.914474,0.904762,38,1,45,3
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_009.pt,1.096265,0.14,0.22,0.345238,0.452381,0.900433,0.916667,29,1,38,4
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_010.pt,1.298417,0.13,0.16,0.25,0.297619,0.87605,0.944444,21,2,25,3
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_011.pt,1.440088,0.2,0.2,0.333333,0.333333,0.881857,0.940476,28,2,28,2
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_012.pt,1.631211,0.17,0.2,0.404762,0.416667,0.894624,0.922619,34,2,35,4
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_013.pt,1.360144,0.21,0.28,0.416667,0.5,0.908297,0.90873,35,2,42,4
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_014.pt,1.547009,0.29,0.39,0.309524,0.404762,0.892704,0.924603,26,2,34,4
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_015.pt,1.359939,0.14,0.3,0.238095,0.440476,0.898488,0.918651,20,1,37,4
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_016.pt,1.771312,0.33,0.36,0.392857,0.452381,0.900433,0.916667,33,2,38,4
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_017.pt,1.432713,0.2,0.28,0.47619,0.511905,0.910284,0.906746,40,1,43,4
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_018.pt,1.410415,0.19,0.23,0.321429,0.357143,0.88535,0.934524,27,2,30,3
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_019.pt,1.214125,0.14,0.21,0.25,0.392857,0.891026,0.928571,21,2,33,3
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_020.pt,1.574805,0.26,0.29,0.321429,0.357143,0.88535,0.934524,27,2,30,3
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_021.pt,1.299808,0.12,0.19,0.357143,0.452381,0.900433,0.916667,30,0,38,4
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_022.pt,1.663903,0.12,0.17,0.261905,0.333333,0.881356,0.936508,22,1,28,4
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_023.pt,1.366327,0.1,0.26,0.27381,0.464286,0.902386,0.914683,23,2,39,4
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_024.pt,1.780115,0.31,0.33,0.5,0.52381,0.912281,0.904762,42,2,44,4
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_025.pt,1.415441,0.11,0.16,0.321429,0.464286,0.902386,0.914683,27,2,39,4
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_026.pt,1.255834,0.15,0.18,0.392857,0.428571,0.896552,0.920635,33,2,36,4
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_027.pt,1.406538,0.16,0.16,0.440476,0.440476,0.898925,0.922619,37,2,37,2
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_028.pt,1.637348,0.11,0.18,0.285714,0.47619,0.904348,0.912698,24,2,40,4
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_029.pt,1.453911,0.14,0.16,0.27381,0.297619,0.875789,0.94246,23,2,25,4
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_030.pt,1.391926,0.11,0.17,0.380952,0.452381,0.900433,0.916667,32,2,38,4
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_031.pt,1.257344,0.18,0.18,0.440476,0.440476,0.898925,0.922619,37,2,37,2
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_032.pt,1.351321,0.14,0.19,0.369048,0.428571,0.896552,0.920635,31,0,36,4
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_033.pt,1.623011,0.27,0.33,0.416667,0.464286,0.902386,0.914683,35,2,39,4
34,epoch33.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_034.pt,1.590784,0.17,0.2,0.333333,0.369048,0.887234,0.93254,28,2,31,3
35,epoch34.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_035.pt,1.509818,0.09,0.12,0.22619,0.285714,0.87395,0.944444,19,2,24,4
36,epoch35.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_036.pt,1.664455,0.18,0.27,0.392857,0.464286,0.902386,0.914683,33,2,39,4
37,epoch36.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_037.pt,1.633696,0.19,0.2,0.369048,0.392857,0.891026,0.928571,31,2,33,3
38,epoch37.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11n_gate2_formal_hn04_200ep\weights\epoch_038.pt,1.588141,0.14,0.19,0.27381,0.345238,0.883227,0.934524,23,2,29,4
