epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_001.pt,1,1,1.124439,0.12,0.22,0.440476,0.547619,0.9163,0.900794
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_002.pt,1,1,1.205128,0.13,0.14,0.488095,0.5,0.908497,0.910714
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_003.pt,1,1,1.650511,0.2,0.23,0.380952,0.404762,0.892704,0.924603
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_004.pt,1,1,0.994965,0.16,0.2,0.380952,0.440476,0.898488,0.918651
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_005.pt,1,1,1.110209,0.14,0.19,0.27381,0.357143,0.885106,0.93254
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_006.pt,1,1,0.972847,0.08,0.18,0.130952,0.380952,0.888889,0.928571
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_007.pt,1,1,1.061353,0.19,0.23,0.357143,0.392857,0.890792,0.926587
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_008.pt,1,1,1.068428,0.24,0.26,0.392857,0.416667,0.894624,0.922619
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_009.pt,1,1,1.001171,0.2,0.32,0.321429,0.416667,0.894624,0.922619
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_010.pt,1,1,1.130273,0.3,0.42,0.535714,0.654762,0.934831,0.882937
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_011.pt,1,1,1.165706,0.31,0.39,0.297619,0.380952,0.888889,0.928571
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_012.pt,1,1,1.054258,0.1,0.26,0.27381,0.440476,0.898488,0.918651
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_013.pt,1,1,1.438338,0.2,0.22,0.309524,0.333333,0.881607,0.938492
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_014.pt,1,1,1.684715,0.4,0.43,0.535714,0.559524,0.918322,0.89881
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_015.pt,1,1,1.143979,0.21,0.27,0.416667,0.511905,0.910284,0.906746
