epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_001.pt,1.0595,0.18,0.18,0.535714,0.535714,0.914661,0.906746,45,2,45,2
2,epoch1.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_002.pt,0.851085,0.07,0.12,0.452381,0.5,0.908297,0.90873,38,1,42,4
3,epoch2.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_003.pt,1.206325,0.28,0.3,0.464286,0.488095,0.906318,0.910714,39,2,41,4
4,epoch3.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_004.pt,1.004202,0.18,0.25,0.404762,0.47619,0.904348,0.912698,34,1,40,4
5,epoch4.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_005.pt,0.785925,0.08,0.24,0.238095,0.535714,0.914286,0.902778,20,2,45,4
6,epoch5.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_006.pt,1.200581,0.28,0.29,0.440476,0.452381,0.900648,0.918651,37,2,38,3
7,epoch6.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_007.pt,0.887736,0.03,0.09,0.154762,0.345238,0.883227,0.934524,13,2,29,4
8,epoch7.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_008.pt,1.097767,0.19,0.3,0.309524,0.428571,0.896552,0.920635,26,2,36,4
9,epoch8.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_009.pt,1.155781,0.08,0.1,0.190476,0.22619,0.864865,0.954365,16,2,19,4
10,epoch9.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_010.pt,1.445008,0.14,0.16,0.154762,0.22619,0.864865,0.954365,13,2,19,4
11,epoch10.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_011.pt,1.153655,0.29,0.29,0.357143,0.357143,0.885593,0.936508,30,2,30,2
12,epoch11.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_012.pt,1.172969,0.2,0.24,0.440476,0.5,0.908297,0.90873,37,2,42,4
13,epoch12.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_013.pt,0.930518,0.18,0.21,0.416667,0.440476,0.898488,0.918651,35,2,37,4
14,epoch13.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_014.pt,1.031641,0.14,0.21,0.297619,0.416667,0.894624,0.922619,25,2,35,4
15,epoch14.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_015.pt,0.998102,0.05,0.11,0.25,0.357143,0.885106,0.93254,21,1,30,4
16,epoch15.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_016.pt,1.114627,0.21,0.28,0.333333,0.440476,0.898488,0.918651,28,2,37,4
17,epoch16.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_017.pt,1.222652,0.09,0.15,0.333333,0.416667,0.894624,0.922619,28,1,35,4
18,epoch17.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_018.pt,1.313724,0.06,0.08,0.190476,0.25,0.86875,0.952381,16,1,21,3
19,epoch18.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_019.pt,1.045642,0.14,0.19,0.27381,0.357143,0.885106,0.93254,23,2,30,4
20,epoch19.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_020.pt,0.960449,0.14,0.18,0.47619,0.547619,0.9163,0.900794,40,2,46,4
21,epoch20.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_021.pt,1.52283,0.24,0.31,0.369048,0.464286,0.902386,0.914683,31,2,39,4
22,epoch21.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_022.pt,1.164851,0.15,0.22,0.333333,0.416667,0.894624,0.922619,28,2,35,4
23,epoch22.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_023.pt,1.312489,0.08,0.1,0.309524,0.369048,0.887234,0.93254,26,2,31,3
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_024.pt,1.192397,0.17,0.23,0.261905,0.345238,0.883227,0.934524,22,2,29,4
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_025.pt,1.359896,0.16,0.22,0.214286,0.321429,0.879493,0.938492,18,2,27,4
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_026.pt,1.210673,0.22,0.32,0.357143,0.428571,0.896552,0.920635,30,2,36,4
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_027.pt,1.411564,0.16,0.24,0.392857,0.5,0.908297,0.90873,33,2,42,4
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_028.pt,1.262952,0.22,0.29,0.321429,0.416667,0.894624,0.922619,27,2,35,4
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_029.pt,1.360129,0.21,0.33,0.464286,0.571429,0.920354,0.896825,39,2,48,4
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_030.pt,1.38027,0.16,0.34,0.345238,0.47619,0.904348,0.912698,29,1,40,4
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_031.pt,1.422267,0.14,0.25,0.357143,0.440476,0.898488,0.918651,30,2,37,4
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_032.pt,1.62981,0.27,0.28,0.404762,0.452381,0.900648,0.918651,34,2,38,3
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_033.pt,1.171555,0.12,0.13,0.452381,0.464286,0.902597,0.916667,38,2,39,3
34,epoch33.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_034.pt,1.259578,0.17,0.2,0.428571,0.464286,0.902386,0.914683,36,1,39,4
35,epoch34.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_035.pt,1.313597,0.11,0.26,0.321429,0.595238,0.924444,0.892857,27,2,50,4
36,epoch35.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_036.pt,1.344694,0.12,0.18,0.261905,0.380952,0.888889,0.928571,22,2,32,4
37,epoch36.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_037.pt,1.510176,0.15,0.21,0.333333,0.404762,0.892704,0.924603,28,2,34,4
38,epoch37.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_038.pt,1.449106,0.34,0.35,0.547619,0.559524,0.918322,0.89881,46,2,47,4
39,epoch38.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_039.pt,1.514631,0.22,0.28,0.47619,0.511905,0.910284,0.906746,40,1,43,4
40,epoch39.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_040.pt,1.149656,0.07,0.14,0.25,0.428571,0.896552,0.920635,21,2,36,4
41,epoch40.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_041.pt,1.293651,0.17,0.25,0.380952,0.464286,0.902597,0.916667,32,2,39,3
42,epoch41.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn20_200ep\weights\epoch_042.pt,1.616477,0.16,0.22,0.357143,0.440476,0.898707,0.920635,30,2,37,3
