epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch0.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_001.pt,1,1,2.954119,0.26,0.3,0.488095,0.547619,0.9163,0.900794
2,epoch1.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_002.pt,1,1,3.132337,0.17,0.25,0.535714,0.547619,0.9163,0.900794
3,epoch2.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_003.pt,1,1,2.245891,0.09,0.13,0.27381,0.297619,0.87605,0.944444
4,epoch3.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_004.pt,1,1,1.626472,0.15,0.18,0.357143,0.380952,0.888889,0.928571
5,epoch4.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_005.pt,1,1,1.89453,0.1,0.21,0.202381,0.333333,0.881356,0.936508
6,epoch5.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_006.pt,1,1,1.817329,0.1,0.18,0.380952,0.52381,0.912281,0.904762
7,epoch6.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_007.pt,1,1,2.106993,0.28,0.31,0.321429,0.345238,0.883227,0.934524
8,epoch7.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_008.pt,1,1,1.955438,0.19,0.28,0.309524,0.392857,0.891026,0.928571
9,epoch8.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_009.pt,1,1,2.322212,0.24,0.27,0.369048,0.428571,0.896552,0.920635
10,epoch9.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_010.pt,1,1,1.959555,0.21,0.27,0.345238,0.464286,0.902386,0.914683
11,epoch10.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_011.pt,1,1,1.70029,0.18,0.28,0.309524,0.452381,0.900433,0.916667
12,epoch11.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_012.pt,1,1,1.932372,0.1,0.11,0.333333,0.345238,0.883475,0.936508
13,epoch12.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_013.pt,1,1,1.943257,0.23,0.27,0.488095,0.52381,0.912473,0.906746
14,epoch13.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_014.pt,1,1,2.019096,0.16,0.25,0.309524,0.392857,0.890792,0.926587
15,epoch14.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_015.pt,1,1,1.69114,0.1,0.13,0.261905,0.285714,0.874214,0.946429
16,epoch15.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_016.pt,1,1,1.869713,0.17,0.27,0.333333,0.5,0.908297,0.90873
17,epoch16.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_017.pt,1,1,1.756967,0.05,0.09,0.297619,0.416667,0.894624,0.922619
18,epoch17.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_018.pt,1,1,2.062499,0.25,0.35,0.452381,0.559524,0.918322,0.89881
19,epoch18.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_019.pt,1,1,1.877603,0.16,0.27,0.321429,0.488095,0.906318,0.910714
