epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch0.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_001.pt,2.780638,0.2,0.2,0.559524,0.559524,0.918681,0.902778,47,2,47,2
2,epoch1.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_002.pt,2.961771,0.16,0.19,0.428571,0.464286,0.902386,0.914683,36,2,39,4
3,epoch2.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_003.pt,2.490821,0.11,0.15,0.416667,0.488095,0.906318,0.910714,35,2,41,4
4,epoch3.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_004.pt,1.704673,0.08,0.18,0.190476,0.357143,0.88535,0.934524,16,2,30,3
5,epoch4.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_005.pt,1.787031,0.24,0.3,0.321429,0.357143,0.885106,0.93254,27,1,30,4
6,epoch5.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_006.pt,1.817408,0.2,0.22,0.369048,0.380952,0.888889,0.928571,31,2,32,4
7,epoch6.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_007.pt,1.48459,0.12,0.15,0.238095,0.285714,0.87395,0.944444,20,2,24,4
8,epoch7.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_008.pt,1.423109,0.11,0.17,0.297619,0.440476,0.898488,0.918651,25,1,37,4
9,epoch8.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_009.pt,2.135032,0.09,0.16,0.261905,0.440476,0.898488,0.918651,22,2,37,4
10,epoch9.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_010.pt,1.917343,0.07,0.11,0.416667,0.47619,0.904348,0.912698,35,2,40,4
11,epoch10.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_011.pt,1.973667,0.17,0.2,0.369048,0.392857,0.891026,0.928571,31,2,33,3
12,epoch11.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_012.pt,2.104512,0.1,0.13,0.297619,0.392857,0.890792,0.926587,25,2,33,4
13,epoch12.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_013.pt,2.031728,0.09,0.1,0.440476,0.452381,0.900433,0.916667,37,2,38,4
14,epoch13.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_014.pt,1.427002,0.21,0.23,0.52381,0.535714,0.914286,0.902778,44,2,45,4
15,epoch14.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_015.pt,2.138155,0.16,0.2,0.309524,0.345238,0.883227,0.934524,26,2,29,4
16,epoch15.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_016.pt,2.063255,0.18,0.27,0.369048,0.5,0.908297,0.90873,31,2,42,4
17,epoch16.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_017.pt,2.526799,0.34,0.4,0.547619,0.630952,0.930649,0.886905,46,2,53,4
18,epoch17.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_018.pt,2.324636,0.12,0.25,0.392857,0.607143,0.926503,0.890873,33,2,51,4
19,epoch18.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_019.pt,2.003607,0.19,0.24,0.345238,0.428571,0.896552,0.920635,29,2,36,4
20,epoch19.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_020.pt,2.700132,0.21,0.22,0.428571,0.452381,0.900648,0.918651,36,2,38,3
21,epoch20.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_021.pt,2.1497,0.18,0.22,0.380952,0.464286,0.902386,0.914683,32,2,39,4
22,epoch21.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_022.pt,2.444314,0.27,0.32,0.511905,0.559524,0.918322,0.89881,43,2,47,4
23,epoch22.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_023.pt,2.251441,0.25,0.28,0.5,0.511905,0.910284,0.906746,42,0,43,4
24,epoch23.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_024.pt,2.729959,0.21,0.31,0.333333,0.428571,0.896774,0.922619,28,1,36,3
25,epoch24.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_025.pt,2.103552,0.2,0.27,0.464286,0.511905,0.910284,0.906746,39,2,43,4
26,epoch25.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_026.pt,2.516856,0.23,0.29,0.416667,0.47619,0.904348,0.912698,35,2,40,4
27,epoch26.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_027.pt,2.30582,0.15,0.23,0.333333,0.464286,0.902386,0.914683,28,1,39,4
28,epoch27.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_028.pt,2.367433,0.18,0.24,0.416667,0.511905,0.910284,0.906746,35,2,43,4
29,epoch28.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_029.pt,2.286574,0.12,0.26,0.440476,0.511905,0.910284,0.906746,37,1,43,4
30,epoch29.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_030.pt,2.77236,0.29,0.35,0.452381,0.47619,0.904555,0.914683,38,2,40,3
31,epoch30.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_031.pt,2.386093,0.19,0.27,0.309524,0.416667,0.894624,0.922619,26,2,35,4
32,epoch31.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_032.pt,2.583388,0.27,0.37,0.404762,0.452381,0.900433,0.916667,34,2,38,4
33,epoch32.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_033.pt,2.310938,0.1,0.23,0.357143,0.52381,0.912281,0.904762,30,2,44,4
34,epoch33.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_034.pt,2.612813,0.13,0.2,0.333333,0.416667,0.89485,0.924603,28,2,35,3
35,epoch34.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_035.pt,3.032985,0.29,0.36,0.428571,0.464286,0.902386,0.914683,36,2,39,4
36,epoch35.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_036.pt,2.418373,0.09,0.16,0.214286,0.345238,0.883227,0.934524,18,2,29,4
37,epoch36.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_037.pt,2.917201,0.12,0.26,0.285714,0.452381,0.900433,0.916667,24,2,38,4
38,epoch37.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_038.pt,2.850331,0.28,0.45,0.416667,0.583333,0.922395,0.894841,35,2,49,4
39,epoch38.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_039.pt,2.941045,0.21,0.29,0.440476,0.511905,0.910284,0.906746,37,2,43,4
40,epoch39.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_040.pt,2.242377,0.11,0.16,0.333333,0.404762,0.892934,0.926587,28,2,34,3
41,epoch40.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_041.pt,2.419566,0.17,0.2,0.392857,0.428571,0.896552,0.920635,33,0,36,4
42,epoch41.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_042.pt,2.129639,0.21,0.28,0.511905,0.571429,0.920354,0.896825,43,2,48,4
43,epoch42.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_043.pt,2.552722,0.2,0.24,0.428571,0.464286,0.902386,0.914683,36,2,39,4
44,epoch43.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_044.pt,2.207723,0.07,0.17,0.297619,0.440476,0.898488,0.918651,25,1,37,4
45,epoch44.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_045.pt,2.817226,0.22,0.34,0.357143,0.5,0.908297,0.90873,30,2,42,4
46,epoch45.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn20_200ep\weights\epoch_046.pt,2.72422,0.16,0.28,0.297619,0.452381,0.900648,0.918651,25,2,38,3
