dataset_name,model,ratio_id,source_rel_path,rebuilt_rel_path,source_exists,p_abnormal,heuristic_group
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00323059.png,train/Normal/00323059_hn1.png,1,0.203491,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00022588.png,train/Normal/00022588_hn1.png,1,0.095093,水膜
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00021678.png,train/Normal/00021678_hn1.png,1,0.087036,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00394189.png,train/Normal/00394189_hn1.png,1,0.081787,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00350271.png,train/Normal/00350271_hn1.png,1,0.053406,反光
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00449921.png,train/Normal/00449921_hn1.png,1,0.040314,污渍
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00491918.png,train/Normal/00491918_hn1.png,1,0.039276,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00335362.png,train/Normal/00335362_hn1.png,1,0.034821,污渍
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00314262.png,train/Normal/00314262_hn1.png,1,0.032196,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00464987.png,train/Normal/00464987_hn1.png,1,0.031799,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00313867.png,train/Normal/00313867_hn1.png,1,0.028656,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00462963.png,train/Normal/00462963_hn1.png,1,0.023331,反光
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00317919.png,train/Normal/00317919_hn1.png,1,0.022888,污渍
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00415850.png,train/Normal/00415850_hn1.png,1,0.022079,阴影
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00345686.png,train/Normal/00345686_hn1.png,1,0.02121,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00342738.png,train/Normal/00342738_hn1.png,1,0.020569,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00347487.png,train/Normal/00347487_hn1.png,1,0.020416,污渍
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00467510.png,train/Normal/00467510_hn1.png,1,0.015839,其他
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00282092.png,train/Normal/00282092_hn1.png,1,0.014557,污渍
yolo11x_gate2_hn02,yolo11x,hn02,train/Normal/00335278.png,train/Normal/00335278_hn1.png,1,0.014114,其他
