uniform_rank,img_rel_path,image_id,path_stub,p_abnormal
1,train/Normal/00467510.png,Normal_00467510,train/Normal/00467510.png,0.978027
2,train/Normal/00329365.png,Normal_00329365,train/Normal/00329365.png,0.953613
3,train/Normal/00149587.png,Normal_00149587,train/Normal/00149587.png,0.923828
4,train/Normal/00130666.png,Normal_00130666,train/Normal/00130666.png,0.904297
5,train/Normal/00160652.png,Normal_00160652,train/Normal/00160652.png,0.898926
6,train/Normal/00144495.png,Normal_00144495,train/Normal/00144495.png,0.898438
7,train/Normal/00323059.png,Normal_00323059,train/Normal/00323059.png,0.89209
8,train/Normal/00505638.png,Normal_00505638,train/Normal/00505638.png,0.886719
9,train/Normal/00021678.png,Normal_00021678,train/Normal/00021678.png,0.868164
10,train/Normal/00022521.png,Normal_00022521,train/Normal/00022521.png,0.854492
11,train/Normal/00292889.png,Normal_00292889,train/Normal/00292889.png,0.851074
12,train/Normal/00375607.png,Normal_00375607,train/Normal/00375607.png,0.848633
13,train/Normal/00500159.png,Normal_00500159,train/Normal/00500159.png,0.84668
14,train/Normal/00019908.png,Normal_00019908,train/Normal/00019908.png,0.82666
15,train/Normal/00431431.png,Normal_00431431,train/Normal/00431431.png,0.823242
16,train/Normal/00314643.png,Normal_00314643,train/Normal/00314643.png,0.793457
17,train/Normal/00405652.png,Normal_00405652,train/Normal/00405652.png,0.789062
18,train/Normal/00397824.png,Normal_00397824,train/Normal/00397824.png,0.782227
19,train/Normal/00421443.png,Normal_00421443,train/Normal/00421443.png,0.781738
20,train/Normal/00161664.png,Normal_00161664,train/Normal/00161664.png,0.773438
21,train/Normal/00317919.png,Normal_00317919,train/Normal/00317919.png,0.752441
22,train/Normal/00288653.png,Normal_00288653,train/Normal/00288653.png,0.735352
23,train/Normal/00281638.png,Normal_00281638,train/Normal/00281638.png,0.73291
24,train/Normal/00022588.png,Normal_00022588,train/Normal/00022588.png,0.731934
25,train/Normal/00348831.png,Normal_00348831,train/Normal/00348831.png,0.712402
26,train/Normal/00350801.png,Normal_00350801,train/Normal/00350801.png,0.693359
27,train/Normal/00300113.png,Normal_00300113,train/Normal/00300113.png,0.683594
28,train/Normal/00458420.png,Normal_00458420,train/Normal/00458420.png,0.675781
29,train/Normal/00388181.png,Normal_00388181,train/Normal/00388181.png,0.674805
30,train/Normal/00414024.png,Normal_00414024,train/Normal/00414024.png,0.65918
31,train/Normal/00453020.png,Normal_00453020,train/Normal/00453020.png,0.64502
32,train/Normal/00314789.png,Normal_00314789,train/Normal/00314789.png,0.63916
33,train/Normal/00365492.png,Normal_00365492,train/Normal/00365492.png,0.633789
34,train/Normal/00347413.png,Normal_00347413,train/Normal/00347413.png,0.631348
35,train/Normal/00359446.png,Normal_00359446,train/Normal/00359446.png,0.623535
36,train/Normal/00449921.png,Normal_00449921,train/Normal/00449921.png,0.621582
37,train/Normal/00437560.png,Normal_00437560,train/Normal/00437560.png,0.604004
38,train/Normal/00022864.png,Normal_00022864,train/Normal/00022864.png,0.600586
39,train/Normal/00141992.png,Normal_00141992,train/Normal/00141992.png,0.594238
40,train/Normal/00339405.png,Normal_00339405,train/Normal/00339405.png,0.59375
41,train/Normal/00160245.png,Normal_00160245,train/Normal/00160245.png,0.59082
42,train/Normal/00351805.png,Normal_00351805,train/Normal/00351805.png,0.588867
43,train/Normal/00022239.png,Normal_00022239,train/Normal/00022239.png,0.572754
44,train/Normal/00341441.png,Normal_00341441,train/Normal/00341441.png,0.571777
45,train/Normal/00331791.png,Normal_00331791,train/Normal/00331791.png,0.571289
46,train/Normal/00025314.png,Normal_00025314,train/Normal/00025314.png,0.568359
47,train/Normal/00143693.png,Normal_00143693,train/Normal/00143693.png,0.551758
48,train/Normal/00158209.png,Normal_00158209,train/Normal/00158209.png,0.537109
49,train/Normal/00340160.png,Normal_00340160,train/Normal/00340160.png,0.53418
50,train/Normal/00384016.png,Normal_00384016,train/Normal/00384016.png,0.53418
51,train/Normal/00261378.png,Normal_00261378,train/Normal/00261378.png,0.530762
52,train/Normal/00314262.png,Normal_00314262,train/Normal/00314262.png,0.527344
53,train/Normal/00016807.png,Normal_00016807,train/Normal/00016807.png,0.524902
54,train/Normal/00397769.png,Normal_00397769,train/Normal/00397769.png,0.520508
55,train/Normal/00491047.png,Normal_00491047,train/Normal/00491047.png,0.498047
56,train/Normal/00382971.png,Normal_00382971,train/Normal/00382971.png,0.487793
