setting_id,setting_name,score_variant,image_id,img_rel_path,path_stub,pool_rank,pool_score_anchor,embedding_index,calibrated_p,raw_tta_variance,R,C,D,S,pi,duplication_count,selected_flag
A2,weighted_hn14_risk_only,risk_only,Normal_00499653,train/Normal/00499653.png,train/Normal/00499653.png,57,0.481445,6415,0.908628,0.024427,0.762295,1e-06,0.526348,0.762295,0.04219527,11,1
A2,weighted_hn14_risk_only,risk_only,Normal_00500159,train/Normal/00500159.png,train/Normal/00500159.png,13,0.84668,6416,0.971695,0.026241,0.922919,0.0,0.762644,0.922919,0.06185073,10,1
A2,weighted_hn14_risk_only,risk_only,Normal_00144495,train/Normal/00144495.png,train/Normal/00144495.png,6,0.898438,5539,0.883974,0.119208,0.703675,0.0,0.821599,0.703675,0.03595522,9,1
A2,weighted_hn14_risk_only,risk_only,Normal_00397824,train/Normal/00397824.png,train/Normal/00397824.png,18,0.782227,6120,0.959868,0.051737,0.891628,0.0,0.433681,0.891628,0.05772781,8,1
A2,weighted_hn14_risk_only,risk_only,Normal_00436092,train/Normal/00436092.png,train/Normal/00436092.png,105,0.32373,6218,0.897501,0.097321,0.735548,0.0,0.87857,0.735548,0.03928617,7,1
A2,weighted_hn14_risk_only,risk_only,Normal_00388181,train/Normal/00388181.png,train/Normal/00388181.png,29,0.674805,6095,0.79643,0.178265,0.514468,0.0,0.733532,0.514468,0.01921916,7,1
A2,weighted_hn14_risk_only,risk_only,Normal_00431431,train/Normal/00431431.png,train/Normal/00431431.png,15,0.823242,6215,0.821254,0.008727,0.565115,0.006117,0.795857,0.565115,0.0231895,6,1
A2,weighted_hn14_risk_only,risk_only,Normal_00329365,train/Normal/00329365.png,train/Normal/00329365.png,2,0.953613,5859,0.819198,0.028638,0.56083,0.0,0.762608,0.56083,0.02283916,6,1
A2,weighted_hn14_risk_only,risk_only,Normal_00458420,train/Normal/00458420.png,train/Normal/00458420.png,28,0.675781,6289,0.834598,0.101474,0.593323,0.0,0.822759,0.593323,0.02556231,5,1
A2,weighted_hn14_risk_only,risk_only,Normal_00323059,train/Normal/00323059.png,train/Normal/00323059.png,7,0.89209,5832,0.795805,0.10887,0.513224,0.0,0.600111,0.513224,0.01912633,5,1
A2,weighted_hn14_risk_only,risk_only,Normal_00380312,train/Normal/00380312.png,train/Normal/00380312.png,101,0.3396,6082,0.801341,0.334185,0.524299,0.0,0.881019,0.524299,0.0199607,4,1
A2,weighted_hn14_risk_only,risk_only,Normal_00479528,train/Normal/00479528.png,train/Normal/00479528.png,74,0.408691,6355,0.813554,0.027103,0.549152,0.0,0.837139,0.549152,0.02189792,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00350801,train/Normal/00350801.png,train/Normal/00350801.png,26,0.693359,5935,0.76227,0.015948,0.448658,9e-05,0.878667,0.448658,0.01461667,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00368992,train/Normal/00368992.png,train/Normal/00368992.png,73,0.412109,6017,0.750163,0.173271,0.426415,0.0,0.760015,0.426415,0.0132033,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00431168,train/Normal/00431168.png,train/Normal/00431168.png,133,0.275146,6214,0.703433,0.037557,0.345863,0.0,0.569517,0.345863,0.00868612,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00029682,train/Normal/00029682.png,train/Normal/00029682.png,110,0.316895,5474,0.694619,0.169718,0.331615,0.0,0.838944,0.331615,0.0079852,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00015075,train/Normal/00015075.png,train/Normal/00015075.png,178,0.183838,5436,0.692057,0.032652,0.327529,0.0,0.967102,0.327529,0.00778964,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00513364,train/Normal/00513364.png,train/Normal/00513364.png,160,0.222046,6447,0.690745,0.335057,0.325446,0.0,0.955997,0.325446,0.00769087,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00314643,train/Normal/00314643.png,train/Normal/00314643.png,16,0.793457,5772,0.676491,0.030787,0.30325,0.0,0.864666,0.30325,0.00667758,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00384016,train/Normal/00384016.png,train/Normal/00384016.png,50,0.53418,6091,0.662924,0.098606,0.282853,0.0,0.919335,0.282853,0.00580951,3,1
A2,weighted_hn14_risk_only,risk_only,Normal_00344240,train/Normal/00344240.png,train/Normal/00344240.png,147,0.245117,5912,0.782992,0.222585,0.488042,0.0,0.888295,0.488042,0.01729546,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00300113,train/Normal/00300113.png,train/Normal/00300113.png,27,0.683594,5735,0.772236,0.966663,0.467393,0.0,0.898056,0.467393,0.01586288,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00317919,train/Normal/00317919.png,train/Normal/00317919.png,21,0.752441,5794,0.74978,0.083027,0.42572,0.0,0.819927,0.42572,0.0131603,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00467510,train/Normal/00467510.png,train/Normal/00467510.png,1,0.978027,6314,0.746414,0.044542,0.419641,0.0,0.733924,0.419641,0.01278714,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00149587,train/Normal/00149587.png,train/Normal/00149587.png,3,0.923828,5548,0.739142,0.064799,0.406658,0.0,0.832478,0.406658,0.01200816,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00416011,train/Normal/00416011.png,train/Normal/00416011.png,143,0.256836,6190,0.713597,0.091162,0.362667,0.0,0.955302,0.362667,0.00955067,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00348831,train/Normal/00348831.png,train/Normal/00348831.png,25,0.712402,5925,0.700673,0.056499,0.341369,0.0,0.866117,0.341369,0.00846186,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00320863,train/Normal/00320863.png,train/Normal/00320863.png,170,0.204712,5817,0.686996,0.003274,0.319533,0.147778,0.836474,0.319533,0.00741394,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00288624,train/Normal/00288624.png,train/Normal/00288624.png,111,0.313965,5691,0.685649,0.096865,0.317422,0.0,0.930267,0.317422,0.0073163,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00168417,train/Normal/00168417.png,train/Normal/00168417.png,186,0.172119,5579,0.655397,0.044768,0.271842,0.0,0.928851,0.271842,0.005366,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00399982,train/Normal/00399982.png,train/Normal/00399982.png,153,0.233154,6130,0.637183,0.051011,0.246103,0.0,0.787914,0.246103,0.00439796,2,1
A2,weighted_hn14_risk_only,risk_only,Normal_00160652,train/Normal/00160652.png,train/Normal/00160652.png,5,0.898926,5568,0.85121,0.021318,0.6294,4e-06,0.811244,0.6294,0.02876545,1,1
A2,weighted_hn14_risk_only,risk_only,Normal_00158209,train/Normal/00158209.png,train/Normal/00158209.png,48,0.537109,5562,0.838084,0.508869,0.600807,0.0,0.32979,0.600807,0.02621124,1,1
