epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
1,epoch_001.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_001.pt,1.791874,0.18,0.21,0.488095,0.511905,0.910284,0.906746,41,2,43,4
2,epoch_002.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_002.pt,1.930265,0.09,0.14,0.309524,0.440476,0.898488,0.918651,26,2,37,4
3,epoch_003.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_003.pt,1.881824,0.2,0.28,0.27381,0.440476,0.898488,0.918651,23,2,37,4
4,epoch_004.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_004.pt,1.376243,0.16,0.16,0.27381,0.27381,0.872651,0.950397,23,2,23,2
5,epoch_005.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_005.pt,1.542516,0.28,0.34,0.47619,0.571429,0.920354,0.896825,40,2,48,4
6,epoch_006.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_006.pt,1.227891,0.17,0.23,0.392857,0.47619,0.904348,0.912698,33,1,40,4
7,epoch_007.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_007.pt,1.316096,0.12,0.14,0.321429,0.357143,0.885106,0.93254,27,1,30,4
8,epoch_008.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_008.pt,1.420703,0.09,0.12,0.297619,0.369048,0.887234,0.93254,25,2,31,3
9,epoch_009.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_009.pt,1.690154,0.16,0.26,0.238095,0.380952,0.888889,0.928571,20,2,32,4
10,epoch_010.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_010.pt,1.352635,0.13,0.2,0.369048,0.404762,0.892704,0.924603,31,2,34,4
11,epoch_011.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_011.pt,1.946516,0.22,0.29,0.452381,0.571429,0.920354,0.896825,38,0,48,4
12,epoch_012.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_012.pt,1.430653,0.13,0.18,0.392857,0.47619,0.904555,0.914683,33,2,40,3
13,epoch_013.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_013.pt,1.785371,0.15,0.24,0.297619,0.440476,0.898488,0.918651,25,2,37,4
14,epoch_014.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_014.pt,1.848482,0.29,0.42,0.440476,0.559524,0.918322,0.89881,37,2,47,4
15,epoch_015.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_015.pt,1.485356,0.24,0.25,0.452381,0.47619,0.904555,0.914683,38,1,40,3
16,epoch_016.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_016.pt,2.128646,0.16,0.24,0.369048,0.488095,0.906318,0.910714,31,2,41,4
17,epoch_017.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_017.pt,1.840659,0.14,0.18,0.404762,0.488095,0.906318,0.910714,34,2,41,4
18,epoch_018.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_018.pt,1.371105,0.15,0.16,0.452381,0.464286,0.902386,0.914683,38,2,39,4
19,epoch_019.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_019.pt,1.531544,0.13,0.13,0.345238,0.345238,0.883721,0.938492,29,2,29,2
20,epoch_020.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_020.pt,1.45528,0.13,0.14,0.345238,0.380952,0.889126,0.930556,29,2,32,3
21,epoch_021.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_021.pt,1.582564,0.19,0.25,0.428571,0.464286,0.902386,0.914683,36,2,39,4
22,epoch_022.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_022.pt,1.647392,0.17,0.24,0.321429,0.440476,0.898488,0.918651,27,2,37,4
23,epoch_023.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_023.pt,1.487521,0.21,0.27,0.404762,0.47619,0.904348,0.912698,34,2,40,4
24,epoch_024.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_024.pt,1.768543,0.15,0.19,0.357143,0.416667,0.894624,0.922619,30,2,35,4
25,epoch_025.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_025.pt,2.40828,0.35,0.38,0.452381,0.488095,0.906522,0.912698,38,2,41,3
26,epoch_026.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_026.pt,1.555526,0.22,0.26,0.416667,0.452381,0.900648,0.918651,35,2,38,3
27,epoch_027.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_027.pt,2.132554,0.24,0.24,0.5,0.5,0.908696,0.912698,42,2,42,2
28,epoch_028.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_028.pt,1.704741,0.14,0.14,0.321429,0.321429,0.88,0.94246,27,2,27,2
29,epoch_029.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_029.pt,1.561689,0.2,0.2,0.47619,0.47619,0.904762,0.916667,40,2,40,2
30,epoch_030.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep\weights\epoch_030.pt,1.367847,0.06,0.13,0.309524,0.464286,0.902386,0.914683,26,0,39,4
