"view_relative_path","smoke_tag","setting","split","class_name","file_name","source_relative_path","source_exists_in_base_dataset","view_size_bytes"
"weighted_hn14_risk_consistency\train\Abnormal\00000004.png","","weighted_hn14_risk_consistency","train","Abnormal","00000004.png","train\\Abnormal\\00000004.png","True","729914"
"weighted_hn14_risk_consistency\train\Abnormal\00000043.png","","weighted_hn14_risk_consistency","train","Abnormal","00000043.png","train\\Abnormal\\00000043.png","True","520218"
"weighted_hn14_risk_consistency\train\Abnormal\00000078.png","","weighted_hn14_risk_consistency","train","Abnormal","00000078.png","train\\Abnormal\\00000078.png","True","119276"
"weighted_hn14_risk_consistency\train\Abnormal\00000079.png","","weighted_hn14_risk_consistency","train","Abnormal","00000079.png","train\\Abnormal\\00000079.png","True","99081"
"weighted_hn14_risk_consistency\train\Abnormal\00000082.png","","weighted_hn14_risk_consistency","train","Abnormal","00000082.png","train\\Abnormal\\00000082.png","True","130739"
"weighted_hn14_risk_consistency\train\Abnormal\00000085.png","","weighted_hn14_risk_consistency","train","Abnormal","00000085.png","train\\Abnormal\\00000085.png","True","97969"
"weighted_hn14_risk_consistency\train\Abnormal\00000086.png","","weighted_hn14_risk_consistency","train","Abnormal","00000086.png","train\\Abnormal\\00000086.png","True","129679"
"weighted_hn14_risk_consistency\train\Abnormal\00000087.png","","weighted_hn14_risk_consistency","train","Abnormal","00000087.png","train\\Abnormal\\00000087.png","True","121634"
"weighted_hn14_risk_consistency\train\Abnormal\00000088.png","","weighted_hn14_risk_consistency","train","Abnormal","00000088.png","train\\Abnormal\\00000088.png","True","97858"
"weighted_hn14_risk_consistency\train\Abnormal\00000089.png","","weighted_hn14_risk_consistency","train","Abnormal","00000089.png","train\\Abnormal\\00000089.png","True","105462"
"weighted_hn14_risk_consistency\train\Abnormal\00000090.png","","weighted_hn14_risk_consistency","train","Abnormal","00000090.png","train\\Abnormal\\00000090.png","True","97760"
"weighted_hn14_risk_consistency\train\Abnormal\00000091.png","","weighted_hn14_risk_consistency","train","Abnormal","00000091.png","train\\Abnormal\\00000091.png","True","138318"
"weighted_hn14_risk_consistency\train\Abnormal\00000101.png","","weighted_hn14_risk_consistency","train","Abnormal","00000101.png","train\\Abnormal\\00000101.png","True","592930"
"weighted_hn14_risk_consistency\train\Abnormal\00000144.png","","weighted_hn14_risk_consistency","train","Abnormal","00000144.png","train\\Abnormal\\00000144.png","True","657444"
"weighted_hn14_risk_consistency\train\Abnormal\00000153.png","","weighted_hn14_risk_consistency","train","Abnormal","00000153.png","train\\Abnormal\\00000153.png","True","480919"
"weighted_hn14_risk_consistency\train\Abnormal\00000266.png","","weighted_hn14_risk_consistency","train","Abnormal","00000266.png","train\\Abnormal\\00000266.png","True","173280"
"weighted_hn14_risk_consistency\train\Abnormal\00000301.png","","weighted_hn14_risk_consistency","train","Abnormal","00000301.png","train\\Abnormal\\00000301.png","True","178683"
