image_id,y,WaterLevel,PF,DE,FS,RB,AF,OB,BE,RO,IN,FO,Defect
00453955,1,10,0,0,1,0,0,1,0,0,0,0,1
00741371,1,0,1,1,0,0,0,0,0,0,0,0,1
00942193,1,0,0,0,1,0,0,1,0,0,0,0,1
01286316,1,0,0,1,0,0,0,0,0,0,0,0,1
01242898,1,20,0,0,1,0,0,0,0,0,0,0,1
00584456,1,5,1,0,0,0,0,0,0,0,0,0,1
00224777,1,0,0,0,1,0,0,1,0,0,0,0,1
00714715,0,10,0,0,0,0,0,0,0,0,0,0,0
00648957,1,0,0,0,1,1,0,1,1,1,0,0,1
00498619,1,20,0,0,1,0,0,1,0,0,0,0,1
00964083,1,5,0,0,1,0,1,1,0,0,0,0,1
00313411,0,10,0,0,0,0,0,0,0,0,0,0,0
01120142,1,10,0,0,1,0,0,1,0,0,0,0,1
00597341,1,10,0,0,0,1,0,1,1,0,0,0,1
00172625,1,20,1,0,0,0,0,0,0,0,0,0,1
00743227,1,0,0,0,1,1,0,0,0,0,0,0,1
00591983,1,10,0,0,0,1,0,0,1,0,1,0,1
00525062,1,0,0,0,1,0,0,1,0,0,0,0,1
01243761,1,10,0,1,0,0,0,0,0,0,0,0,1
00415878,1,0,0,0,1,0,1,1,0,0,0,0,1
01194658,1,5,0,0,1,1,0,0,0,0,0,0,1
00509897,1,10,1,0,0,0,0,0,0,0,0,0,1
00122186,1,20,0,0,1,1,0,1,0,0,1,0,1
01033586,1,0,0,1,0,0,1,0,0,0,0,0,1
00855888,1,10,0,0,0,0,1,0,0,0,0,0,1
00940738,1,10,0,0,1,0,0,1,0,0,0,0,1
00540354,1,30,0,0,0,0,1,0,0,0,0,0,1
00561490,1,20,1,0,0,0,0,0,0,0,0,0,1
00688666,1,0,1,0,0,0,0,0,0,0,0,0,1
00674804,1,0,0,0,1,1,1,1,0,0,0,1,1
01215886,1,10,0,1,1,0,0,0,0,0,0,0,1
01032052,1,0,0,1,0,0,0,0,0,0,0,0,1
00434814,1,0,0,0,1,0,1,1,0,0,0,0,1
00446350,1,10,0,0,1,1,1,1,0,0,1,1,1
00477395,1,20,0,1,0,0,0,0,0,0,0,0,1
00199868,1,10,0,0,0,1,0,1,0,0,0,0,1
00694131,1,0,1,0,0,0,0,0,0,0,0,0,1
01282033,1,20,0,1,0,0,0,0,1,0,0,0,1
00218686,1,10,0,0,0,0,0,1,0,0,0,0,1
00685040,1,10,1,0,0,0,0,0,0,0,0,0,1
00636649,1,10,1,0,0,0,0,0,0,0,0,0,1
00415379,1,5,0,0,1,1,0,1,1,0,0,0,1
00067544,1,20,0,0,1,1,1,1,0,0,0,0,1
00203941,1,10,0,0,1,0,1,1,0,0,0,0,1
00466170,1,10,0,0,0,0,0,1,0,0,0,0,1
00453670,1,0,0,0,1,0,0,1,0,0,0,0,1
00574757,1,0,1,0,0,0,0,0,0,0,0,1,1
00715402,1,40,0,1,0,0,0,0,0,0,0,0,1
00307098,1,10,0,0,1,1,0,1,0,0,0,0,1
01186163,1,10,0,0,0,0,1,0,1,0,0,0,1
00599297,1,0,0,0,1,0,1,0,0,0,0,0,1
00258758,1,10,1,0,0,0,0,0,0,0,0,0,1
00590480,1,5,0,0,1,1,0,1,0,0,0,0,1
00063659,1,20,0,0,1,0,1,0,0,0,0,0,1
00291460,1,10,1,0,0,0,0,0,0,0,0,0,1
00170470,1,10,0,0,0,0,1,1,0,0,0,0,1
01252090,1,0,0,0,0,0,1,1,0,0,0,0,1
01249279,1,0,0,1,1,0,1,0,0,0,0,0,1
00007167,1,10,0,0,1,0,0,1,0,0,0,0,1
00650213,1,0,0,0,1,0,0,1,1,1,0,0,1
00629502,1,10,1,0,0,0,0,0,0,0,0,0,1
01005321,1,20,0,0,1,0,0,1,1,0,0,0,1
00330551,1,0,0,0,0,0,1,0,0,0,0,0,1
00963860,1,20,0,0,1,1,0,0,0,0,0,0,1
00816091,1,10,0,0,1,0,0,1,1,0,0,0,1
00670699,1,0,0,0,1,1,1,1,0,0,0,0,1
00506466,1,40,0,0,1,0,0,1,1,0,1,0,1
00929128,1,10,0,0,1,1,0,0,0,1,0,0,1
00725197,1,5,1,0,0,0,0,0,1,0,0,0,1
00034648,1,0,0,0,1,1,0,0,0,0,0,0,1
01050536,0,5,0,0,0,0,0,0,0,0,0,0,0
00411388,0,0,0,0,0,0,0,0,0,0,0,0,0
00589542,0,5,0,0,0,0,0,0,0,0,0,0,0
00093479,1,10,0,0,0,0,1,0,0,0,0,0,1
00472065,1,10,1,0,1,0,0,1,0,0,0,0,1
00756306,1,10,0,1,0,0,0,0,0,0,0,0,1
00049120,1,10,0,0,1,0,0,0,0,0,0,0,1
00504146,1,10,0,0,1,0,0,1,0,0,0,0,1
