split,main,holdout,count
defect_pool,PF,BE,58
defect_pool,PF,RO,6
defect_pool,PF,IN,42
defect_pool,PF,FO,10
defect_pool,DE,BE,47
defect_pool,DE,RO,7
defect_pool,DE,IN,11
defect_pool,DE,FO,25
defect_pool,FS,BE,504
defect_pool,FS,RO,204
defect_pool,FS,IN,220
defect_pool,FS,FO,44
defect_pool,RB,BE,260
defect_pool,RB,RO,69
defect_pool,RB,IN,108
defect_pool,RB,FO,26
defect_pool,AF,BE,200
defect_pool,AF,RO,62
defect_pool,AF,IN,86
defect_pool,AF,FO,26
defect_pool,OB,BE,511
defect_pool,OB,RO,164
defect_pool,OB,IN,217
defect_pool,OB,FO,30
