ratio_id,ratio_percent,backflow_count,manifest_csv,manifest_json
hn02,2,22,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn02_top022.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn02_top022.json
hn04,4,43,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn04_top043.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn04_top043.json
hn06,6,65,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn06_top065.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn06_top065.json
hn08,8,86,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn08_top086.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn08_top086.json
hn10,10,108,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn10_top108.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn10_top108.json
hn12,12,130,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn12_top130.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn12_top130.json
hn14,14,151,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn14_top151.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn14_top151.json
hn16,16,173,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn16_top173.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn16_top173.json
hn18,18,194,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn18_top194.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn18_top194.json
hn20,20,216,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn20_top216.csv,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_backflow\manifests\hn20_top216.json
